row_i,col_j,schema,solenoid_length_m,n_pc,n_par,ri,rf,th,v,valid,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,sigma_tape,util,f_struct,f_struct_tape,f_filler,f_tape_min,f_tape_built,fill,n_tp_min,n_tp,n_bund,n_tape,n_tot,n_par_min,pitch,pitch_turn,i0,i_tape,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m,piece_length_m
52,46,2,9.0,2250,10,2.538926174496644,2.649926174496644,0.111,182.26048763813662,1,2.600204427972605,182.26048763813662,0.5405918932771562,21.51758944025429,2388.4524278682306,3237.319339399997,5395.5322323333285,67.12701379823609,8.11168737090138,21.517589451550865,77.06440714579735,749.9999957742868,17108.29838636704,0.9999999943657158,0.10275254344000018,0.004504504504504497,0.09824803893549568,0.006646730576861271,0.009009009009008993,0.9017519610645044,8.0,10.0,1.0,22500.0,2250.0,8.0,11.100000000000021,111.00000000000021,9553.809711472923,955.3809711472923,1294.9277357599988,1.3554045714401801,366778.3594535878,415.29225687568595,415.29225687568595,9.099775029161897,9.099775029161897,0.10467028653492291,1000.0,86.93751904582572,3967.623196838436,23.98177814039352,23.98177814039352,2.5e+16,0.8972474565599998,0.004504504504504497,0.8927429520554954,99.09446767816017,130920.27814888586,33.0,0,1,1,mechanical,366.77835945358777,163.01260420159457,16.30126042015946
52,47,2,9.0,2250,10,2.5919463087248316,2.7029463087248318,0.111,189.95222464092453,1,2.5512087950518216,189.95222464092453,0.5082483391512309,21.220580181852014,2355.4844001855777,3245.6861272310143,5409.4768787183575,66.56329543177144,8.002460973163993,21.22058018378489,76.22652831649505,749.9999992595389,16922.28928626193,0.9999999990127185,0.10163537118900279,0.004504504504504497,0.09713086668449829,0.006538087587648496,0.009009009009008993,0.9028691333155018,8.0,10.0,1.0,22500.0,2250.0,8.0,11.100000000000021,111.00000000000021,9421.937600742312,942.1937600742312,1298.2744508924059,1.3779272437445569,374273.90434185066,422.15410196828947,422.15410196828947,9.510876927544668,9.510876927544668,0.10613528154986024,1000.0,89.61088893966563,3977.509606642631,23.621344275250305,23.621344275250305,2.5e+16,0.8983646288109972,0.004504504504504497,0.8938601243064928,99.21847379802088,133762.12872385042,33.0,0,1,1,mechanical,374.27390434185065,166.34395748526697,16.634395748526696
52,48,2,9.0,2250,10,2.6449664429530193,2.7559664429530195,0.111,197.802927562148,1,2.5038573556373,197.802927562148,0.47862334554829516,20.934747215904473,2323.7569409654006,3253.81725413588,5423.0287568931335,66.0165404162614,7.895772449996678,20.934747223896085,75.42080836197083,749.99999686663,16743.41945635755,0.9999999958221735,0.10056107823608784,0.004504504504504497,0.09605657373158334,0.00643390380615095,0.009009009009008993,0.9039434262684167,8.0,10.0,1.0,22500.0,2250.0,8.0,11.100000000000021,111.00000000000021,9295.027763861604,929.5027763861605,1301.526901654352,1.4002399290452843,381769.44923011353,428.94203873636536,428.94203873636536,9.929496444492365,9.929496444492365,0.10758440161824236,1000.0,92.29494513272162,3987.028159141916,23.275340558810615,23.275340558810615,2.4999999999999996e+16,0.8994389217639122,0.004504504504504497,0.8949344172594077,99.33772031579444,136604.12952650574,33.0,0,1,1,mechanical,381.76944923011354,169.67531076893934,16.967531076893934
52,49,2,9.0,2250,10,2.697986577181208,2.808986577181208,0.111,205.81259640180733,1,2.4580646704741653,205.81259640180733,0.45143463063711525,20.659470614959176,2293.2012382604726,3261.723246928279,5436.205411547132,65.48589809371704,7.791514870757757,20.659470619411735,74.64557454808954,749.9999982142741,16571.317549675907,0.9999999976190322,0.09952743296775768,0.004504504504504497,0.09502292846325318,0.0063339127972967015,0.009009009009008993,0.9049770715367469,8.0,10.0,1.0,22500.0,2250.0,8.0,11.100000000000021,111.00000000000021,9172.804953041892,917.2804953041892,1304.6892987713118,1.4223449702139908,389264.9941183765,435.6570667224506,435.6570667224506,10.355484926414434,10.355484926414434,0.10901790729436357,1000.0,94.98884342416497,3996.1972994593966,22.94292060784062,22.94292060784062,2.4999999999999996e+16,0.9004725670322423,0.004504504504504497,0.8959680625277379,99.4524549405791,139446.24255586948,33.0,0,1,1,mechanical,389.26499411837653,173.0066640526118,17.30066640526118
52,50,2,9.0,2250,10,2.7510067114093957,2.862006711409396,0.111,213.9812311599021,1,2.4137511436958827,213.9812311599021,0.426434518729329,20.394172818429077,2263.7531828456313,3269.414010408603,5449.0233506810055,64.97057442570174,7.689588576247821,20.39417282040532,73.89925168140886,749.9999991897325,16405.633873272793,0.9999999989196434,0.09853233568166186,0.004504504504504497,0.09402783117715736,0.006237867933978868,0.009009009009008993,0.9059721688228427,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,9055.012731382527,905.5012731382527,1307.7656041634414,1.4442449093760363,396760.5390066394,442.3002552355125,442.3002552355125,10.788698465136186,10.788698465136186,0.11043606780741866,1000.0,97.69180195685529,4005.0344422513067,22.623299343577138,22.623299343577138,2.5e+16,0.9014676643183381,0.004504504504504497,0.8969631598138337,99.56291073933572,142288.43560785116,33.0,0,1,1,mechanical,396.76053900663936,176.33801733628417,17.633801733628417
52,51,2,9.0,2250,10,2.8040268456375843,2.9150268456375845,0.111,222.3088318364327,1,2.370842576154287,222.3088318364327,0.4034050549819838,20.138315472412835,2235.3530174378284,3276.8988648849963,5461.498108141661,64.46982731597457,7.589900539963782,20.138315480518838,73.18035793412817,749.999996604175,16246.03946137648,0.9999999954722333,0.09757381102062901,0.004504504504504497,0.09306930651612451,0.006145540739207279,0.009009009009008993,0.9069306934838756,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8941.412069751315,894.1412069751316,1310.7595459539987,1.4659424436865869,404256.0838949024,448.87272757013216,448.87272757013216,11.228997757613447,11.228997757613447,0.11183915831180485,1000.0,100.40309608113533,4013.5560240777745,22.315748056014346,22.315748056014346,2.4999999999999996e+16,0.902426188979371,0.004504504504504497,0.8979216844748665,99.66930697671037,145130.68152529848,33.0,0,1,1,mechanical,404.25608389490236,179.66937061995662,17.96693706199566
52,52,2,9.0,2250,10,2.857046979865771,2.9680469798657714,0.111,230.7953984313986,1,2.3292697499823043,230.7953984313986,0.3821539010921372,19.891396482249927,2207.9450095297457,3284.1865826348253,5473.644304391376,63.982962403284276,7.492363795232534,19.891396491282077,72.4875002702283,749.9999961358582,16092.22505999071,0.9999999948478109,0.09665000085826347,0.004504504504504497,0.09214549635375897,0.006056719367719824,0.009009009009008993,0.9078545036462411,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8831.780038118985,883.1780038118984,1313.6746330539302,1.4874403884426,411751.6287831651,455.37564748764794,455.37564748764794,11.676247960392805,11.676247960392805,0.11322745762279907,1000.0,103.12205365672469,4021.7775533269164,22.0195898612371,22.0195898612371,2.4999999999999996e+16,0.9033499991417365,0.004504504504504497,0.8988454946372321,99.77184990473295,147972.95750943926,33.0,0,1,1,mechanical,411.75162878316513,183.00072390362894,18.300072390362896
52,53,2,9.0,2250,10,2.91006711409396,3.02106711409396,0.111,239.4409309448005,1,2.288968040719831,239.4409309448005,0.3625108743258095,19.652947249003574,2181.4771446394006,3291.2854234831716,5485.475705805286,63.50932927278057,7.396896920909286,19.65294724982677,71.81936947664227,749.9999996405229,15943.90002381461,0.9999999995206973,0.09575915934808732,0.004504504504504497,0.09125465484358282,0.005971207209432732,0.009009009009008993,0.9087453451564173,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8725.908578557604,872.5908578557604,1316.5141693932687,1.5087416485526473,419247.1736714281,461.8102064657056,461.8102064657056,12.130318541317136,12.130318541317136,0.11460124650598853,1000.0,105.84805062031556,4029.7136422645585,21.73419554334084,21.73419554334084,2.5e+16,0.9042408406519127,0.004504504504504497,0.8997363361474082,99.8707333123625,150815.24419776333,33.0,0,1,1,mechanical,419.24717367142813,186.3320771873014,18.633207718730137
52,54,2,9.0,2250,10,2.9630872483221466,3.074087248322147,0.111,248.2454293766377,1,2.249877060628957,248.2454293766377,0.3443250144889078,19.422530123410688,2155.90084369859,3298.203168440031,5497.005280733385,63.04831804070871,7.303423579199457,19.422530131325825,71.17473523208758,749.9999964736614,15800.79122152347,0.9999999952982153,0.09489964742231449,0.004504504504504497,0.09039514291780999,0.005888821619378004,0.009009009009008993,0.9096048570821901,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8623.60337479436,862.360337479436,1319.2812673760125,1.5298491941687569,426742.71855969087,468.1776131968531,468.1776131968531,12.591083130423508,12.591083130423508,0.11596080623592527,1000.0,108.5805069758365,4037.37804516755,21.458979734231885,21.458979734231885,2.4999999999999996e+16,0.9051003525776855,0.004504504504504497,0.900595848073181,99.96613913612329,153657.52492391306,33.0,0,1,1,mechanical,426.74271855969084,189.6634304709737,18.96634304709737
52,55,2,9.0,2250,10,3.0161073825503353,3.1271073825503355,0.111,257.20889372691084,1,2.2119403382431164,257.20889372691084,0.3274620849099534,19.199736125177303,2131.1707098946845,3304.947150092935,5508.245250154891,62.59935627234783,7.211872099913026,19.199736129462675,70.55244173695598,749.9999980530755,15662.642065604256,0.9999999974041007,0.09406992256013735,0.004504504504504497,0.08956541805563285,0.005809392783977622,0.009009009009008993,0.9104345819443672,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8524.682839578738,852.4682839578738,1321.978860037174,1.550766034249905,434238.26344795385,474.479088068668,474.479088068668,13.05841937154143,13.05841937154143,0.11730641700324146,1000.0,111.3188835286018,4044.783739797943,21.19339737503286,21.19339737503286,2.5e+16,0.9059300774398626,0.004504504504504497,0.9014255729353582,100.05823859582495,156499.78589319813,33.0,0,1,1,mechanical,434.23826344795384,192.99478375464616,19.299478375464616
52,56,2,9.0,2250,10,3.069127516778523,3.1801275167785232,0.111,266.3313239956195,1,2.1751050105757814,266.3313239956195,0.31180244776614313,18.98418272834258,2107.2442828460303,3311.524283571974,5519.207139286624,62.16190619764799,7.1221751060995135,18.98418272953121,69.95140259673587,749.9999994495587,15529.211376475392,0.9999999992660783,0.09326853686409964,0.004504504504504497,0.08876403235959514,0.005732762650275752,0.009009009009008993,0.9112359676404049,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8428.977131384123,842.8977131384123,1324.6097134287897,1.571495203726191,441733.8083362167,480.7158535008001,480.7158535008001,13.532208775746957,13.532208775746957,0.11863835723039741,1000.0,114.06267830788664,4051.9429358520442,20.936940538807843,20.936940538807843,2.5000000000000004e+16,0.9067314631359004,0.004504504504504497,0.9022269586313959,100.14719240808513,159342.01508116478,33.0,0,1,1,mechanical,441.7338083362167,196.32613703831854,19.632613703831854
52,57,2,9.0,2250,10,3.1221476510067117,3.233147651006712,0.111,275.61272018276395,1,2.1393215493715645,275.61272018276395,0.2972392392286611,18.775511899595383,2084.0818208550913,3317.9410939990544,5529.901823331757,61.73546219285527,7.034269176566897,18.775511919174463,69.37059645813149,749.9999907622409,15400.272413705217,0.999999987682988,0.0924941297500933,0.004504504504504497,0.0879896252455888,0.005658783977073444,0.009009009009008993,0.9120103747544113,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8336.327283420365,833.6327283420366,1327.1764375996217,1.5920397466149936,449229.35322447977,486.8891292689212,486.8891292689212,14.012336577547337,14.012336577547337,0.11995690260252156,1000.0,116.81142371587703,4058.867132325293,20.689135481211853,20.689135481211853,2.5e+16,0.9075058702499067,0.004504504504504497,0.9030013657454022,100.23315159773983,162184.2021292097,33.0,0,1,1,mechanical,449.2293532244798,199.65749032199102,19.9657490321991
52,58,2,9.0,2250,10,3.1751677852348994,3.2861677852348996,0.111,285.0530822883439,1,2.1045435148713034,285.0530822883439,0.2836767992525195,18.573388338848204,2061.6461056121543,3324.203741259755,5540.339568766259,61.319548499736705,6.948094541265594,18.57338833977473,68.80906315413331,749.9999995547868,15275.612020217623,0.9999999994063824,0.09174541759330612,0.004504504504504497,0.08724091308880162,0.005587319485961938,0.009009009009008993,0.9127590869111984,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8246.584422448619,824.6584422448619,1329.681496503902,1.6124026971509327,456724.89811274264,493.00013129992345,493.00013129992345,14.49869159444574,14.49869159444574,0.12126232495453854,1000.0,119.56468424864298,4065.5672030430724,20.449539918237924,20.449539918237924,2.5e+16,0.9082545824066939,0.004504504504504497,0.9037500779021894,100.31625864714321,165026.33892406835,33.0,0,1,1,mechanical,456.72489811274266,202.9888436056634,20.29888436056634
52,59,2,9.0,2250,10,3.228187919463087,3.3391879194630874,0.111,294.6524103123595,1,2.070727307248765,294.6524103123595,0.2710293308431427,18.37749766253775,2039.9022405416938,3330.3180472236363,5550.5300787060605,60.913717156878576,6.863594805940407,18.37749766930882,68.26589854358996,749.9999966877489,15155.029476676997,0.9999999955836653,0.09102119846010004,0.004504504504504497,0.08651669395559554,0.0055182410214118715,0.009009009009008993,0.9134833060444045,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8159.608962166776,815.9608962166776,1332.1272188894545,1.6325870823786506,464220.4430010055,499.05006071629043,499.05006071629043,14.99116609035819,14.99116609035819,0.12255489259799664,1000.0,122.32205318421735,4072.0533479905175,20.2177406463214,20.2177406463214,2.5e+16,0.9089788015399,0.004504504504504497,0.9044742970353955,100.3966469709291,167868.41757651218,33.0,0,1,1,mechanical,464.2204430010055,206.3201968893358,20.63201968893358
52,60,2,9.0,2250,10,3.281208053691275,3.392208053691275,0.111,304.41070425481064,1,2.0378319708760477,304.41070425481064,0.2592197239876573,18.187545017338273,2018.8174969245517,3336.289515269349,5560.482525448915,60.51754612007477,6.780716702825376,18.18754501774204,67.74025174614356,749.9999997989989,15038.335887643898,0.9999999997319986,0.09032033568573072,0.004504504504504497,0.08581583118122622,0.005451428880526856,0.009009009009008993,0.9141841688187738,7.0,10.0,1.0,22500.0,2250.0,7.0,11.100000000000021,111.00000000000021,8075.269987698207,807.5269987698207,1334.5158061077398,1.6525958985157512,471715.9878892684,505.04010897272406,505.04010897272406,15.489655643210446,15.489655643210446,0.12383486886796242,1000.0,125.08315133539747,4078.3352345712706,19.993351210118924,19.993351210118924,2.4999999999999996e+16,0.9096796643142693,0.004504504504504497,0.9051751598097648,100.4744427388841,170710.43228517746,33.0,0,1,1,mechanical,471.7159878892684,209.65155017300816,20.965155017300816
52,61,2,9.0,2250,10,3.3342281879194626,3.445228187919463,0.111,314.32796411569757,1,2.005818985919266,314.32796411569757,0.24817855174966683,18.00325355143284,1998.361144209049,3342.1233536995974,5570.205589499329,60.13063755104831,6.699409864486603,18.00325355757759,67.23132062144087,749.9999968883765,14925.3531779599,0.9999999958511686,0.08964176120049638,0.004504504504504497,0.08513725669599188,0.005386771117081588,0.009009009009008993,0.9148627433040082,6.0,10.0,1.0,22500.0,2250.0,6.0,11.100000000000021,111.00000000000021,7993.444576836197,799.3444576836197,1336.849341479839,1.6724321143776086,479211.53277753125,510.9714496030282,510.9714496030282,15.99405901693127,15.99405901693127,0.12510251248852716,1000.0,127.84762431048733,4084.421962747456,19.776009909213176,19.776009909213176,2.4999999999999996e+16,0.9103582387995036,0.004504504504504497,0.9058537342949992,100.54976450674509,173552.37772933158,33.0,0,1,1,mechanical,479.21153277753126,212.98290345668056,21.298290345668054
52,62,2,9.0,2250,10,3.3872483221476513,3.4982483221476515,0.111,324.40418989502024,1,1.9746520973985113,324.40418989502024,0.23784318748380628,17.824363188367492,1978.504313908795,3347.824493825929,5579.707489709882,59.75261625573284,6.619626618214,17.824363190025444,66.73834886590018,749.9999991462524,14815.913448229865,0.99999999886167,0.08898446525582726,0.004504504504504497,0.08447996075132276,0.005324162966499364,0.009009009009008993,0.9155200392486773,6.0,10.0,1.0,22500.0,2250.0,6.0,11.100000000000021,111.00000000000021,7914.017255635182,791.4017255635182,1339.1297975303717,1.6920986577036374,486707.07766579423,516.8452405898049,516.8452405898049,16.50427803796794,16.50427803796794,0.12635807677674057,1000.0,130.61514118427903,4090.3221525206322,19.565377876210256,19.565377876210256,2.5e+16,0.9110155347441727,0.004504504504504497,0.9065110302396683,100.62272435660337,176394.25003542655,33.0,0,1,1,mechanical,486.70707766579426,216.314256740353,21.6314256740353
52,63,2,9.0,2250,10,3.440268456375838,3.5512684563758383,0.111,334.6393815927782,1,1.944297143405251,334.6393815927782,0.22815704325149982,17.65062936624392,1959.2198596530784,3353.3976095029734,5588.996015838289,59.383128255204696,6.541321798636344,17.65062937380402,66.26062229059852,749.9999960426766,14709.858148512898,0.9999999947235687,0.0883474968536242,0.004504504504504497,0.0838429923491197,0.005263506276805637,0.009009009009008993,0.9161570076508804,6.0,10.0,1.0,22500.0,2250.0,6.0,11.100000000000021,111.00000000000021,7836.879438612314,783.6879438612314,1341.3590438011895,1.7115984165742195,494202.622554057,522.6626194823365,522.6626194823365,17.020217476380278,17.020217476380278,0.12760180985724992,1000.0,133.38539238135456,4096.043935952374,19.36113739097573,19.36113739097573,2.499999999999999e+16,0.9116525031463758,0.004504504504504497,0.9071479986418713,100.69342784924791,179236.04582314563,33.0,0,1,1,mechanical,494.202622554057,219.64561002402533,21.964561002402533
52,64,2,9.0,2250,10,3.4932885906040267,3.604288590604027,0.111,345.0335392089722,1,1.9147219094601107,345.0335392089722,0.21906889888217873,17.48182198577706,1940.482240421257,3358.847133060571,5598.078555100952,59.02183947395865,6.4644525764745655,17.48182200249032,65.7974661568867,749.9999911098581,14607.037486828875,0.9999999881464775,0.08772995591575794,0.004504504504504497,0.08322545141125344,0.005204709024625267,0.009009009009008993,0.9167745485887466,6.0,10.0,1.0,22500.0,2250.0,6.0,11.100000000000021,111.00000000000021,7761.92896168503,776.192896168503,1343.5388532242287,1.7309342302104258,501698.16744232,528.4247052462399,528.4247052462399,17.541784931514083,17.541784931514083,0.1288339541544723,1000.0,136.15808849956923,4101.595023720664,19.1629902780878,19.1629902780878,2.5000000000000004e+16,0.9122700440842421,0.004504504504504497,0.9077655395797376,100.76197489335107,182077.76289233437,33.0,0,1,1,mechanical,501.69816744231997,222.97696330769776,22.297696330769778
52,65,2,9.0,2250,10,3.5463087248322136,3.657308724832214,0.111,355.5866627436014,1,1.8858959888881048,355.5866627436014,0.21053231756845436,17.317724389605395,1922.2674072462023,3364.1772711731683,5606.962118621947,58.66843453176861,6.388978301572792,17.317724393037107,65.34824230086122,749.9999981456585,14507.309790791216,0.9999999975275449,0.08713098994990909,0.004504504504504497,0.08262648544540459,0.005147684855372171,0.009009009009008993,0.9173735145545955,6.0,10.0,1.0,22500.0,2250.0,6.0,11.100000000000021,111.00000000000021,7689.06962898481,768.906962898481,1345.6709084692675,1.7501088862514786,509193.7123305827,534.1325973007898,534.1325973007898,18.068890722212505,18.068890722212505,0.13005474631552144,1000.0,138.93295888160958,4106.982731756277,18.970656467629606,18.970656467629606,2.5e+16,0.9128690100500909,0.004504504504504497,0.9083645055455865,100.82846011556029,184919.400139205,33.0,0,1,1,mechanical,509.19371233058274,226.3083165913701,22.63083165913701
52,66,2,9.0,2250,10,3.599328859060403,3.7103288590604033,0.111,366.29875219666684,1,1.8577906485938156,366.29875219666684,0.2025051357176595,17.15813236727749,1904.5526927678045,3369.3920206953762,5615.653367825627,58.32261562682077,6.31486035855961,17.158132377404744,64.91234604694343,749.999994442667,14410.540822421464,0.9999999925902227,0.08654979537057261,0.004504504504504497,0.08204529086606811,0.00509235264459859,0.009009009009008993,0.917954709133932,6.0,10.0,1.0,22500.0,2250.0,6.0,11.100000000000021,111.00000000000021,7618.210771071219,761.8210771071219,1347.7568082781506,1.7691251250175617,516689.2572188458,539.7873713231132,539.7873713231132,18.601447781491235,18.601447781491235,0.13126441759754398,1000.0,141.70974984647535,4112.213966301961,18.783872706272234,18.783872706272234,2.4999999999999996e+16,0.9134502046294274,0.004504504504504497,0.9089457001249229,100.89297271386663,187760.95657531847,33.0,0,1,1,mechanical,516.6892572188458,229.63966987504259,22.96396698750426
52,67,2,9.0,2250,10,3.652348993288591,3.763348993288591,0.111,377.1698075681675,1,1.8303787229504906,377.1698075681675,0.1949490067851026,17.002853396970615,1887.3167270637416,3374.4951801504244,5624.158633584041,57.98410149908159,6.24206203367196,17.002853398939695,64.48920454914803,749.9999989030123,14316.603409910887,0.9999999985373497,0.08598560619129758,0.004504504504504497,0.08148110168679308,0.005038636148300167,0.009009009009008993,0.918518898313207,6.0,10.0,1.0,22500.0,2250.0,6.0,11.100000000000021,111.00000000000021,7549.266908254967,754.9266908254967,1349.79807206017,1.7879856262390108,524184.8021071087,545.3900852809533,545.3900852809533,19.13937155557871,19.13937155557871,0.13246319306931917,1000.0,144.48822432932675,4117.295322901856,18.602391288521883,18.602391288521883,2.499999999999999e+16,0.9140143938087024,0.004504504504504497,0.909509889304198,100.95559771276616,190602.4329564537,33.0,0,1,1,mechanical,524.1848021071087,232.97102315871498,23.2971023158715
