row_i,col_j,ri,th,rf,v,a,b0,scan,stress,j_crit,je_max,je_sc,margin,converged
0,49,0.8322033898305085,0.011990001546958506,0.844193391377467,2.1757492057457077,0.06314601233715486,3.22594396425199,1445.406674868841,287.3981844026752,1044.82251848324,417.929007393296,417.93076444339533,2.4999894895862615,True
0,50,0.8489830508474576,0.011756294498307729,0.8607393453457653,2.26437271323105,0.06314601233715486,3.132120369318256,1467.281645628787,281.8808623520783,1049.810572219217,419.9242288876868,419.92571185275057,2.4999911712654055,True
0,51,0.8657627118644068,0.011531465281897968,0.8772941771463048,2.3547652956717404,0.06314601233715486,3.0420714323680085,1487.6578314449914,276.447926529534,1054.6472562014985,421.85890248059945,421.86015541556435,2.499992574938941,True
0,52,0.882542372881356,0.0113150206278404,0.8938573935091964,2.4469269530677784,0.06314601233715486,2.955607964744832,1506.5746724695816,271.10280604274743,1059.337516590418,423.73500663616727,423.73606633516823,2.499993747882909,True
0,53,0.899322033898305,0.011106502921023886,0.9104285368193289,2.5408576854191645,0.06314601233715486,2.872511263231957,1523.9875882363428,265.8407292705352,1063.8884006556955,425.5553602622782,425.5493210979816,2.5000354786390035,True
0,54,0.9161016949152542,0.010905487056170116,0.9270071819714243,2.636557492725899,0.06314601233715486,2.792701915879832,1540.1244606093987,260.6801284164088,1068.2997439805588,427.3198975922235,427.3146584737255,2.5000306514087107,True
0,55,0.9328813559322033,0.010711577618014667,0.943592933550218,2.7340263749879816,0.06314601233715486,2.7159738355465994,1554.931733591945,255.61378927108302,1072.5787097547534,429.03148390190137,429.0269346172143,2.5000265093186465,True
0,56,0.9496610169491525,0.010524406348295101,0.9601854232974476,2.8332643322054123,0.06314601233715486,2.642178591301486,1568.4559461292795,250.64294331066972,1076.7296762835617,430.6918705134247,430.687916536128,2.5000229515221166,True
0,57,0.9664406779661017,0.010343629866276571,0.9767843078323782,2.934271364378191,0.06314601233715486,2.571176207126892,1580.744260557542,245.7684052331722,1080.7568879285848,432.30275517143394,432.29931536858123,2.500019892483809,True
0,58,0.9832203389830508,0.010168927613858458,0.9933892665969093,3.037047471506318,0.06314601233715486,2.5028346074028027,1591.8441301222097,240.99062120987796,1084.6644570530027,433.8657828212011,433.86278750299317,2.500017259593898,True
0,59,1.0,0.010000000000000009,1.01,3.141592653589793,0.06314601233715486,2.4370291039448087,1601.8030092737333,236.30971247527938,1088.456366187939,435.3825464751756,435.3799357347397,2.5000149911618657,True
1,0,0.01,0.1335447134023497,0.1435447134023497,0.0003141592653589793,0.06441862359852428,30.553584902910714,1.8368834668005485e-06,27.81363736661386,461.7618581779795,184.7047432711918,184.6943502313991,2.5001406789078775,True
1,1,0.026779661016949154,0.11889887202737218,0.14567853304432132,0.0022529939386445163,0.06441862359852428,28.33936614641267,0.000967001780684813,71.97269180650663,482.1984951544133,192.87939806176533,192.87274246161044,2.5000862693202515,True
1,2,0.043559322033898305,0.10611532271869689,0.1496746447525952,0.0059609035672781455,0.06441862359852428,26.296393176167467,0.01836362399830487,112.94201245974264,502.9113104348836,201.16452417395345,201.17202184968062,2.499906825068687,True
1,3,0.06033898305084746,0.09505045552646763,0.15538943857731508,0.01143788815125987,0.06441862359852428,24.4259963568244,0.1200130951715336,150.69835098201253,523.6763830044645,209.4705532017858,209.46251618452143,2.500095924290068,True
1,4,0.0771186440677966,0.08552320174261656,0.16264184581041316,0.01868394769058968,0.06441862359852428,22.729495701265805,0.4619425949807959,185.35963875452185,544.219299835449,217.6877199341796,217.69654930142352,2.4998986046486236,True
1,5,0.09389830508474575,0.07733830444589962,0.17123660953064537,0.02769908218526759,0.06441862359852428,21.192363820748366,1.2969867341111072,216.9611874908351,564.4315696722168,225.77262786888673,225.7623235381072,2.500114105961283,True
1,6,0.1106779661016949,0.07030462125457713,0.18098258735627204,0.03848329163529359,0.06441862359852428,19.80538090491772,2.9605575240890016,245.69925276820496,584.1460631892406,233.65842527569626,233.65203417456792,2.5000683826822963,True
1,7,0.12745762711864406,0.0642466541493496,0.19170428126799366,0.051036576040667685,0.06441862359852428,18.55282862868869,5.84223426407018,271.7038047635702,603.3023194274779,241.32092777099115,241.32911782011092,2.4999151568489357,True
1,8,0.14423728813559322,0.05901004895513684,0.20324733709073006,0.06535893540138989,0.06441862359852428,17.417711220230146,10.350966631289571,295.048822292139,621.8998378669277,248.75993514677108,248.74878911547046,2.500112020960386,True
