row_i,col_j,ri,th,rf,v,b0,scan,stress,j_crit,je_max,je_sc,margin,converged
14,54,0.9161016949152542,0.05508474576271186,0.971186440677966,2.636557492725899,10.646194418073566,325263.2957210725,749.9999999999999,3830.0696271359366,383.00696271359357,328.4425090688082,11.661309122241368,True
14,55,0.9328813559322033,0.05508474576271186,0.9879661016949152,2.7340263749879816,10.550013841281782,354014.5543278838,750.0000000000001,3842.9945415276898,384.2994541527689,330.0035060887042,11.64531427885709,True
14,56,0.9496610169491525,0.05508474576271186,1.0047457627118643,2.8332643322054123,10.456393797032698,384725.8527961423,750.0000000000002,3855.6676928872776,385.56676928872764,331.57991011112694,11.628170390646028,True
14,57,0.9664406779661017,0.05508474576271186,1.0215254237288136,2.934271364378191,10.365222653719185,417492.61084241356,750.0,3868.097860257648,386.8097860257647,333.17032187022414,11.609971255976221,True
14,58,0.9832203389830508,0.05508474576271186,1.0383050847457627,3.037047471506318,10.276395476561465,452413.09986024455,750.0000000000005,3880.2933801747035,388.02933801747025,334.77344705551366,11.590803913224503,True
14,59,1.0,0.05508474576271186,1.055084745762712,3.141592653589793,10.189813519775443,489588.47641422896,750.0,3892.2621757642773,389.22621757642764,336.3880876452966,11.570749139810388,True
15,0,0.01,0.058305084745762716,0.06830508474576272,0.0003141592653589793,20.80022289386363,3.945525589388889e-07,29.524985099199462,2849.2790205268952,284.92790205268943,284.917363247524,10.00036988988826,True
15,1,0.026779661016949154,0.058305084745762716,0.08508474576271187,0.0022529939386445163,20.756918255436897,0.0002783032284431652,78.73802818767955,2852.3092545053614,285.23092545053606,285.22052480687216,10.00036465270762,True
15,2,0.043559322033898305,0.058305084745762716,0.10186440677966102,0.0059609035672781455,20.698880474421344,0.007049544891049902,127.35867569028831,2856.381569788513,285.6381569788512,285.62793941470335,10.000357722853334,True
15,3,0.06033898305084746,0.058305084745762716,0.11864406779661017,0.01143788815125987,20.626588272960305,0.06102799239200724,175.18886346820858,2861.471988947693,286.1471988947692,286.13720605636627,10.0003492324029,True
15,4,0.0771186440677966,0.058305084745762716,0.13542372881355932,0.01868394769058968,20.540623992503708,0.30809407024383667,222.0446735608902,2867.551151216863,286.75511512168623,286.7453847614497,10.000339337989509,True
15,5,0.09389830508474575,0.058305084745762716,0.15220338983050846,0.02769908218526759,20.44169231474154,1.1227558273363933,267.7596653748309,2874.582585107449,287.4582585107448,287.44950148557433,10.00030464568995,True
15,6,0.1106779661016949,0.058305084745762716,0.16898305084745763,0.03848329163529359,20.331539010199478,3.2879236415807687,312.21616666816294,2882.4563349855002,288.24563349855,288.25986174308355,9.999506409097421,True
15,7,0.12745762711864406,0.058305084745762716,0.18576271186440677,0.051036576040667685,20.20873985409792,8.224232292956513,355.22048663729885,2891.2901175544225,289.1290117554422,289.1407165898558,9.999595185536247,True
15,8,0.14423728813559322,0.058305084745762716,0.20254237288135593,0.06535893540138989,20.07537198687341,18.26715737950447,396.696583705802,2900.9518852114834,290.09518852114826,290.10478439059875,9.999669227466532,True
15,9,0.1610169491525424,0.058305084745762716,0.2193220338983051,0.08145036971746017,19.932314844138634,36.97213135917613,436.55682282519126,2911.394845578635,291.1394845578634,291.1473068804203,9.999731327669124,True
15,10,0.17779661016949153,0.058305084745762716,0.23610169491525423,0.09931087898887854,19.779607917346844,69.42674432094601,474.6926889991137,2922.6338600634585,292.2633860063458,292.2507392968136,10.000432734903004,True
15,11,0.19457627118644066,0.058305084745762716,0.2528813559322034,0.11894046321564498,19.620037799551664,122.62097850417022,511.1439977050302,2934.4804168152364,293.4480416815236,293.4378876780122,10.00034603587123,True
15,12,0.21135593220338983,0.058305084745762716,0.26966101694915257,0.14033912239775956,19.453430368372015,205.7061615648018,545.8339452480562,2946.9626696502996,294.6962669650299,294.68822348403046,10.000272948844186,True
15,13,0.228135593220339,0.058305084745762716,0.28644067796610173,0.16350685653522223,19.281481132306002,330.3807978346843,578.7986921636854,2959.9681945324164,295.9968194532416,296.00946258596895,9.999572880791822,True
15,14,0.24491525423728813,0.058305084745762716,0.30322033898305084,0.18844366562803297,19.103181010709328,510.9298097599498,609.9313080885845,2973.5880811695697,297.3588081169569,297.36844944834047,9.99967577826762,True
15,15,0.26169491525423727,0.058305084745762716,0.32,0.2151495496761918,18.919482001245754,764.6072961223579,639.2452019758609,2987.765307809282,298.77653078092817,298.7620632603442,10.00048424891789,True
15,16,0.27847457627118644,0.058305084745762716,0.33677966101694917,0.24362450867969873,18.733256186129392,1112.2173792401377,666.907813833136,3002.29011737908,300.22901173790797,300.2188382095728,10.00033887041852,True
