row_i,col_j,solenoid_length_m,ri,rf,th,a,v,v_bore,b0,scan,je_sc,je_max,je_coil,stress,length_sc,j_crit,margin,converged,f_sc,length_sc_km,pancake_length_m
0,20,2.0,0.5745762711864406,0.5797774498982468,0.0052011787118061426,0.018862122292152797,2.0743175486537924,2.0743175486537924,4.130737586603805,255964.67395718035,999.2522482765046,999.2522482765046,729.7142349774817,750.0000000000002,45914.19621425206,1665.4204137941745,1.6666666666666667,True,0.7302602883667082,45.91419621425206,91.82839242850412
0,21,2.0,0.5983050847457626,0.6033017275233298,0.004996642777567173,0.018862122292152797,2.249185400581272,2.249185400581272,3.967604421293964,229620.3004190959,1007.1448587927354,1007.1448587927354,737.1632961064278,750.0000000000001,46019.41193482061,1678.574764654559,1.6666666666666667,True,0.7319337329389394,46.01941193482061,92.03882386964122
0,22,2.0,0.6220338983050847,0.6268414238390921,0.0048075255340074285,0.018862122292152797,2.431128830332408,2.431128830332408,3.816843340471469,206869.91872608135,1014.5613729922476,1014.5613729922476,744.8489244095724,750.0000000000002,46159.295617427975,1690.935621653746,1.6666666666666667,True,0.7341585676702713,46.15929561742797,92.31859123485594
0,23,2.0,0.6457627118644067,0.650394864704875,0.004632152840468251,0.018862122292152797,2.620147837907198,2.620147837907198,3.6771006695328006,187111.23337021618,1021.5435579580345,1021.5435579580345,752.7623915593456,750.0,46330.85613731306,1702.5725965967242,1.6666666666666667,True,0.736887219047266,46.330856137313056,92.66171227462611
0,24,2.0,0.6694915254237287,0.6739606090968455,0.004469083673116825,0.018862122292152797,2.816242423305644,2.816242423305644,3.547212959905011,169860.38004825255,1028.1284413277046,1028.1284413277046,760.8953757695975,750.0000000000003,46531.48073848856,1713.5474022128412,1.6666666666666667,True,0.7400781314706092,46.531480738488554,93.06296147697711
0,25,2.0,0.6932203389830508,0.6975374100216961,0.004317071038645315,0.018862122292152797,3.0194125865277455,3.0194125865277455,3.426174756379392,154725.4241104971,1034.348963750534,1034.348963750534,769.2399149093029,750.0000000000001,46758.87234553563,1723.9149395842235,1.6666666666666667,True,0.7436947702060341,46.75887234553563,93.51774469107126
0,26,2.0,0.7169491525423728,0.7211241830165082,0.004175030474135366,0.018862122292152797,3.2296583275735014,3.2296583275735014,3.313112694889922,141386.46257677735,1040.2345266921832,1040.2345266921832,777.7883713500368,750.0000000000001,47010.99928708666,1733.7242111536386,1.6666666666666667,True,0.7477048217417925,47.01099928708666,94.02199857417332
0,27,2.0,0.7406779661016948,0.7447199805756143,0.004042014473919497,0.018862122292152797,3.446979646442913,3.446979646442913,3.2072645279911733,129580.52692017812,1045.811454607389,1045.811454607389,786.5334052532143,750.0,47286.05464331048,1743.019091012315,1.6666666666666667,True,0.7520795472148362,47.286054643310486,94.57210928662097
0,28,2.0,0.7644067796610169,0.7683239712463267,0.003917191585309787,0.018862122292152797,3.67137654313598,3.67137654313598,3.1079620192177724,119090.01635127632,1051.1033866630726,1051.1033866630726,795.4679539371514,749.9999999999999,47582.42312168373,1751.8389777717878,1.6666666666666667,True,0.7567932555735697,47.58242312168373,95.16484624336746
0,29,2.0,0.7881355932203389,0.7919354224308794,0.0037998292105405618,0.018862122292152797,3.9028490176527026,3.9028490176527026,3.0146168994954543,109733.75534030714,1056.1316102026392,1056.1316102026392,804.5852156228692,749.9999999999999,47898.653870183356,1760.219350337732,1.6666666666666667,True,0.761822871174639,47.89865387018336,95.79730774036672
0,30,2.0,0.8118644067796609,0.8155536861517398,0.0036892793720789685,0.018862122292152797,4.141397069993079,4.141397069993079,2.926709265305618,101360.02127427256,1060.9153457959221,1060.9153457959221,813.8786363289263,750.0000000000001,48233.43800941925,1768.1922429932035,1.6666666666666667,True,0.7671475764339487,48.23343800941925,96.4668760188385
0,31,2.0,0.835593220338983,0.8391781872024987,0.003584966863515726,0.018862122292152797,4.387020700157112,4.387020700157112,2.8437779377390497,93841.0650114137,1065.471991867052,1065.471991867052,823.341899021076,749.9999999999998,48585.58994239822,1775.7866531117536,1.6666666666666667,True,0.7727485145604946,48.58558994239822,97.17117988479644
0,32,2.0,0.859322033898305,0.8628084132315351,0.0034863793332301496,0.018862122292152797,4.639719908144801,4.639719908144801,2.765412406735894,87068.77260117448,1069.8173354227486,1069.8173354227486,832.9689143718979,750.0000000000002,48954.03170933511,1783.0288923712476,1.6666666666666667,True,0.7786085407213393,48.95403170933511,97.90806341867022
0,33,2.0,0.883050847457627,0.8864439064010949,0.0033930589434679748,0.018862122292152797,4.899494693956144,4.899494693956144,2.691246064814463,80951.20646931962,1073.9657342299388,1073.9657342299388,842.7538126593149,750.0000000000001,49337.779812736015,1789.9428903832313,1.6666666666666667,True,0.7847120124959956,49.33777981273602,98.67555962547203
0,34,2.0,0.9067796610169491,0.9100842563378475,0.00330459532089844,0.018862122292152797,5.166345057591142,5.166345057591142,2.6209504959401952,75409.82961497833,1077.930274849998,1077.930274849998,852.690936467923,750.0000000000001,49735.93405908189,1796.5504580833303,1.6666666666666667,True,0.7910446124046208,49.73593405908189,99.47186811816378
0,35,2.0,0.9305084745762711,0.9337290941479005,0.003220619571629446,0.018862122292152797,5.440270999049797,5.440270999049797,2.554230632589752,70377.26410639762,1081.7229101773305,1081.7229101773305,862.7748339501886,749.9999999999998,50147.66805636164,1802.8715169622176,1.6666666666666667,True,0.7975931967723149,50.14766805636164,100.29533611272328
0,36,2.0,0.954237288135593,0.9573780873136646,0.0031407991780715294,0.018862122292152797,5.721272518332105,5.721272518332105,2.490820630954923,65795.47040925127,1085.3545795144173,1085.3545795144173,873.0002524767539,749.9999999999997,50572.22107901333,1808.9242991906956,1.6666666666666667,True,0.8043456663418974,50.57222107901333,101.14444215802666
0,37,2.0,0.9779661016949152,0.9810309353248495,0.0030648336299343715,0.018862122292152797,6.00934961543807,6.00934961543807,2.4304803431367854,61614.260326646065,1088.8353137139643,1088.8353137139643,883.3621325558377,750.0000000000002,51008.89106817431,1814.7255228566073,1.6666666666666667,True,0.8112908549436484,51.00889106817431,102.01778213634861
0,38,2.0,1.0016949152542372,1.0046873659234465,0.00299245066920939,0.018862122292152797,6.304502290367688,6.304502290367688,2.3729922879702245,57790.076030806966,1092.1743275087915,1092.1743275087915,893.8556019402462,750.0000000000001,51457.028579493744,1820.2905458479859,1.6666666666666667,True,0.8184184332359259,51.457028579493745,102.91405715898749
