length,row_i,col_j,ri,rebco_pancake_length,scan,slope_deg
2m,31,54,1.3737288135593222,3286.224337723767,2.542457455390362,41.52039050561463
2m,29,55,1.3989830508474577,3076.643686553467,2.7320780967916,38.80884715926821
2m,30,55,1.3989830508474577,3181.4340121386117,2.564249461845392,39.858002511224214
2m,31,55,1.3989830508474577,3286.2243377237555,2.41191639954773,40.88188239234386
2m,32,55,1.3989830508474577,3391.0146633088934,2.273211947736468,41.880660877602736
2m,29,56,1.4242372881355934,3076.643686553471,2.5951138039816968,38.20018078034688
2m,30,56,1.4242372881355934,3181.434012138619,2.435437731634451,39.24208736800589
2m,31,56,1.4242372881355934,3286.2243377237633,2.290513892071311,40.25964338862593
2m,32,56,1.4242372881355934,3391.0146633089066,2.1585642906786258,41.252980203396184
2m,30,57,1.4494915254237288,3181.434012138615,2.315451033742683,38.64227278201049
2m,31,57,1.4494915254237288,3286.224337723764,2.177445721534301,39.653237342055775
2m,32,57,1.4494915254237288,3391.0146633089093,2.051802987145415,40.64083645133899
2m,33,57,1.4494915254237288,3495.804988894057,1.9370768002921703,41.605219305057894
2m,30,58,1.4747457627118643,3181.4340121386126,2.203528899866707,38.05809027688879
2m,31,58,1.4747457627118643,3286.2243377237687,2.0719923145606445,39.06222965112712
2m,32,58,1.4747457627118643,3391.014663308912,1.9522458533328315,40.043828864472026
2m,33,58,1.4747457627118643,3495.8049888940436,1.8429100153799176,41.003000873984334
2m,34,58,1.4747457627118643,3600.595314479176,1.742801974848338,41.939908507617446
5m,10,20,0.5150847457627119,1085.6275004357444,17.292193357509753,41.392336452099705
5m,10,21,0.5403389830508475,1085.6275004357449,14.910653095549533,39.51653636153095
5m,11,22,0.5655932203389831,1190.417826020887,10.98068817924276,40.89584925903102
5m,11,23,0.5908474576271187,1190.4178260208885,9.603010784935393,39.210078410230906
5m,12,24,0.6161016949152542,1295.208151606034,7.256226022172281,40.459831282412196
5m,12,25,0.6413559322033898,1295.20815160603,6.420647233212509,38.93127441440973
5m,13,25,0.6413559322033898,1399.9984771911757,5.576926366844584,41.55138804014461
5m,13,26,0.6666101694915254,1399.9984771911763,4.9581522925619685,40.07379735891832
5m,13,27,0.6918644067796611,1399.998477191174,4.4307581521211175,38.677294622657975
5m,14,27,0.6918644067796611,1504.7888027763222,3.8849476112441494,41.08364087876171
5m,14,28,0.7171186440677967,1504.788802776318,3.4857655986135105,39.72957321529618
5m,15,28,0.7171186440677967,1609.5791283614612,3.083490963680349,41.980970540360396
5m,14,29,0.7423728813559323,1504.7888027763202,3.1413703088231393,38.4454232553905
5m,15,29,0.7423728813559323,1609.5791283614612,2.7771427452752175,40.66901840422169
5m,15,30,0.7676271186440679,1609.5791283614624,2.5115016001296135,39.42068609693976
5m,16,30,0.7676271186440679,1714.3694539466055,2.2376046708065354,41.51151533337432
5m,15,31,0.7928813559322034,1609.5791283614608,2.2799032530391017,38.233185266804654
5m,16,31,0.7928813559322034,1714.3694539466048,2.0302154144756996,40.29885045514857
5m,16,32,0.818135593220339,1714.369453946607,1.8486080428156817,39.141940642249686
5m,17,32,0.818135593220339,1819.159779531748,1.6575066962182672,41.09264598698684
5m,16,33,0.8433898305084746,1714.3694539466098,1.6888224326601886,38.0383799102956
5m,17,33,0.8433898305084746,1819.1597795317496,1.5135728320740898,39.96627978825832
5m,18,33,0.8433898305084746,1923.9501051168968,1.3653975392357642,41.81277809701306
5m,17,34,0.8686440677966102,1819.1597795317464,1.3864451917577545,38.889116684713855
5m,18,34,0.8686440677966102,1923.950105116892,1.2502119075585665,40.71655633984146
5m,18,35,0.8938983050847458,1923.9501051168936,1.1481045745531533,39.66580566787121
5m,19,35,0.8938983050847458,2028.740430702038,1.0409682872321704,41.401582949122464
5m,18,36,0.9191525423728814,1923.9501051168909,1.0572345715886784,38.65874956506363
