conductor_length_m,n_pancakes,thickness_m,scan_bin,scan_yr_mid,pancake_length_p60_m,rebco_total_km,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged
2.0,500,0.004,2.0,2.5,4648.4985703306365,2324.2492851653183,44,47,2.0,1.196949152542373,1.4739466744749057,0.2769975219325327,2.324249285165317,0.4648498570330633,9.001839628346811,9.001839628346811,20.885777768185175,2.0133301063595708,99.99897808193064,284.33130926537865,750.0000000000002,4648.4985703306365,2324249.2851653183,568.6626185307573,5.686684298561968,True
2.0,500,0.004,3.0,3.5,4438.917919160336,2219.458959580168,42,41,2.0,1.0454237288135593,1.3414121296529289,0.2959884008393694,2.219458959580173,0.4438917919160345,6.866960909504423,6.866960909504423,23.10158250678315,3.3161919623367777,96.59384725008424,269.7815153424258,750.0000000000002,4438.917919160336,2219458.959580168,539.5630306848516,5.585894402651832,True
2.0,500,0.004,4.0,4.5,4187.4211377560005,2093.7105688780002,40,39,2.0,0.9949152542372882,1.289564381997827,0.2946491277605388,2.11466863399503,0.4229337267990057,6.219450956936407,6.219450956936407,23.62708243965933,4.216395020081792,96.76767518448456,266.5670651375811,750.0000000000001,4229.337267990052,2114668.633995026,533.1341302751622,5.509423774610256,True
2.0,500,0.004,5.0,5.5,4019.756616819771,2009.8783084098854,38,37,2.0,0.9444067796610168,1.237605874688268,0.2931990950272511,2.0098783084098857,0.401975661681977,5.603999147891443,5.603999147891443,24.19091671319201,5.430239651714985,97.07039487532944,263.2104061634011,750.0,4019.756616819772,2009878.308409886,526.4208123268022,5.423083041981039,True
2.0,500,0.004,6.0,6.5,3914.9662912346266,1957.4831456173133,37,36,2.0,0.9191525423728814,1.2115806343115043,0.2924280919386229,1.9574831456173136,0.3914966291234626,5.308295047190107,5.308295047190107,24.4887326768884,6.194977718781085,97.27680810674748,261.474640145722,750.0000000000001,3914.966291234627,1957483.1456173137,522.949280291444,5.375888564493002,True
2.0,500,0.004,7.0,7.5,3768.2598354154234,1884.1299177077117,36,34,2.0,0.8686440677966102,1.166597983669307,0.2979539158726968,1.9050879828247416,0.3810175965649482,4.740930453429728,4.740930453429728,25.42753034468253,7.768309080864761,96.80001939742654,256.16396543301374,750.0,3810.175965649479,1905087.9828247395,512.3279308660275,5.292642853330336,True
2.0,500,0.004,8.0,8.5,3914.96629123463,1957.483145617315,37,32,2.0,0.818135593220339,1.136851831234894,0.3187162380145548,1.9574831456173136,0.3914966291234626,4.205624003192404,4.205624003192404,27.098173134778083,8.97897939406596,94.51975107609655,247.2763882301036,749.9999999999999,3914.9662912346303,1957483.1456173153,494.5527764602072,5.23226913771757,True
2.0,500,0.004,9.0,9.5,3558.67918424514,1779.33959212257,34,33,2.0,0.8433898305084746,1.1332956139410384,0.2899057834325638,1.800297657239598,0.3600595314479195,4.469269960370684,4.469269960370684,25.45451468377565,9.416884793986236,98.15554384827746,256.0148191642414,750.0,3600.595314479199,1800297.6572395994,512.0296383284827,5.216512672172091,True
2.0,500,0.004,10.0,10.5,3600.5953144791984,1800.2976572395992,34,32,2.0,0.818135593220339,1.1146292618027205,0.2964936685823814,1.800297657239598,0.3600595314479195,4.205624003192404,4.205624003192404,26.13639167801466,10.375391867216637,97.47034527433806,252.3083535818183,750.0,3600.5953144791984,1800297.6572395992,504.6167071636366,5.177130600526269,True
2.0,500,0.004,11.0,11.5,3432.930793542966,1716.465396771483,32,32,2.0,0.818135593220339,1.099564729634735,0.281429136414396,1.695507331654454,0.3391014663308907,4.205624003192404,4.205624003192404,25.463754994155053,11.515882896956896,99.67889645681927,255.96379055605684,749.9999999999997,3391.0146633089093,1695507.3316544546,511.92758111211367,5.135766940737349,True
