length,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged,slope_deg
6m,1,28,6.0,1.4486206896551723,1.4623394951408348,0.0137188054856622,0.1254591776287646,0.0250918355257529,39.555828962573194,39.555828962573194,4.225045292349561,12.623530070125122,272.3990983234255,497.37548545547554,750.0000000000005,250.9183552575205,376377.5328862807,994.7509709109512,3.651814477483553,True,0.11574053663981919
6m,1,29,6.0,1.5,1.5132530841044811,0.0132530841044811,0.1254591776287646,0.0250918355257529,42.411500823462205,42.411500823462205,4.080970064092386,11.49587825320858,274.20535543102056,500.82283837037176,750.0,250.9183552575257,376377.53288628854,1001.6456767407436,3.6529034057933223,True,0.05844682814169333
7m,1,20,7.0,1.0375862068965518,1.0566551155858273,0.0190689086892754,0.1254591776287646,0.0250918355257529,23.67534369586784,23.67534369586784,5.885744238869137,18.550177791859102,256.3781929222505,461.0837832526126,750.0000000000001,250.91835525752904,439107.1217006758,922.1675665052252,3.5969032935062564,True,0.18495709154264478
7m,1,21,7.0,1.0889655172413792,1.1071498517782083,0.0181843345368291,0.1254591776287646,0.0250918355257529,26.078113324424297,26.078113324424297,5.610379046486071,16.279905740845223,257.3184052524485,466.69643746751666,749.9999999999999,250.91835525753552,439107.1217006872,933.3928749350332,3.6273848115112695,True,0.17630444458200986
7m,1,22,7.0,1.140344827586207,1.157722428889732,0.0173776013035249,0.1254591776287646,0.0250918355257529,28.596988895790854,28.596988895790854,5.359538283936876,14.375757230417676,258.31778147450297,471.9413238754583,750.0,250.9183552575364,439107.1217006887,943.8826477509168,3.6539592526814952,True,0.168141373701827
7m,1,23,7.0,1.1917241379310346,1.208363073533444,0.0166389356024094,0.1254591776287646,0.0250918355257529,31.231970409967506,31.231970409967506,5.130095667477605,12.765606640281424,259.3735279743094,476.8533332089752,750.0000000000002,250.91835525752543,439107.1217006695,953.7066664179504,3.676962232292317,True,0.16042416580513363
7m,1,24,7.0,1.243103448275862,1.2590635725280368,0.0159601242521747,0.1254591776287646,0.0250918355257529,33.98305786695422,33.98305786695422,4.919433112243968,11.393911427673473,260.4832779389768,481.4630959140985,750.0000000000003,250.9183552575261,439107.1217006706,962.926191828197,3.696691010060849,True,0.15311575154927567
7m,1,25,7.0,1.2944827586206895,1.3098169753511195,0.0153342167304297,0.1254591776287646,0.0250918355257529,36.85025126675106,36.85025126675106,4.725341766968917,10.217395026452078,261.6449917709562,485.79760969174794,750.0000000000002,250.91835525752836,439107.12170067464,971.595219383496,3.713410345855309,True,0.14617958259431843
7m,1,26,7.0,1.3458620689655172,1.360617361800101,0.0147552928345837,0.1254591776287646,0.0250918355257529,39.83355060935797,39.83355060935797,4.5459452543952965,9.201975209717684,262.8568834014115,489.8807600391603,750.0000000000003,250.918355257536,439107.121700688,979.7615200783206,3.727357288118327,True,0.13959833534065463
7m,1,27,7.0,1.3972413793103449,1.4114596588669472,0.0142182795566023,0.1254591776287646,0.0250918355257529,42.93295589477496,42.93295589477496,4.379639526352902,8.32054604607668,264.1173651745625,493.73375430635053,750.0000000000005,250.9183552575208,439107.1217006614,987.4675086127012,3.7387451141656527,True,0.13334227483330738
7m,1,28,7.0,1.4486206896551723,1.4623394951408348,0.0137188054856622,0.1254591776287646,0.0250918355257529,46.148467123002064,46.148467123002064,4.22504529234956,7.551354407315782,265.425006219849,497.37548545547554,750.0000000000001,250.9183552575205,439107.1217006608,994.7509709109512,3.747766591694108,True,0.12739012191413143
7m,1,29,7.0,1.5,1.5132530841044811,0.0132530841044811,0.1254591776287646,0.0250918355257529,49.48008429403925,49.48008429403925,4.080970064092385,6.876796778008692,266.77850073550934,500.82283837037176,749.9999999999997,250.9183552575257,439107.12170066993,1001.6456767407436,3.754596693433701,True,0.06471218332627117
8m,1,17,8.0,0.883448275862069,0.9057680457354336,0.0223197698733644,0.1254591776287646,0.0250918355257529,19.61562339092456,19.61562339092456,6.900886015230699,18.375879344202037,252.11841701794737,441.6092176097006,750.0000000000003,250.9183552575257,501836.7105150513,883.2184352194012,3.5031888811063263,True,0.2199446756157861
