row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_sc,je_max,je_coil,stress,length_sc,j_crit,margin,converged,f_sc,length_sc_km,pancake_length_m
69,56,10.0,0.8528282828282828,1.2019191919191918,0.34909090909090906,22.84930853740083,22.84930853740083,27.777236328442896,0.042092842445929514,487.7086098368033,487.70860983680336,64.65388611852399,750.0000000000001,4978859.010718473,812.847683061339,1.666666666666667,True,0.13256662854518483,4978.859010718474,1991.5436042873894
69,57,10.0,0.8678787878787879,1.216969696969697,0.34909090909090906,23.66290282341567,23.66290282341567,27.535330543302607,0.038792998657340705,490.12273048829786,490.12273048829786,64.1290753308427,750.0000000000001,4986109.289555265,816.8712174804965,1.6666666666666667,True,0.13084289167113794,4986.109289555265,1994.4437158221058
69,58,10.0,0.8829292929292929,1.232020202020202,0.34909090909090906,24.490729636418024,24.490729636418024,27.299636748987677,0.03580206219007432,492.5002935558003,492.50029355580034,63.61859719235444,750.0000000000001,4993611.566471342,820.8338225930006,1.666666666666667,True,0.1291747396393104,4993.611566471342,1997.4446265885367
69,59,10.0,0.897979797979798,1.247070707070707,0.34909090909090906,25.332788976407908,25.332788976407908,27.069893550535475,0.03308656785909859,494.8423925721789,494.8423925721789,63.121853792374104,750.0,5001353.2529617585,824.7373209536315,1.6666666666666667,True,0.12755951135121674,5001.353252961759,2000.5413011847033
69,60,10.0,0.9130303030303031,1.2621212121212122,0.34909090909090906,26.189080843385312,26.189080843385312,26.845854697226194,0.030617152724774513,497.1500716195295,497.1500716195295,62.63828178485093,749.9999999999999,5009322.650645573,828.5834526992159,1.6666666666666667,True,0.12599471540011806,5009.322650645573,2003.729060258229
69,61,10.0,0.9280808080808081,1.2771717171717172,0.34909090909090906,27.059605237350226,27.059605237350226,26.62728797285349,0.028367996626785155,499.42432831703576,499.42432831703576,62.167349856521675,749.9999999999999,5017508.877174782,832.373880528393,1.6666666666666667,True,0.12447801665171924,5017.508877174781,2007.0035508699127
69,62,10.0,0.9431313131313132,1.2922222222222222,0.34909090909090906,27.94436215830267,27.94436215830267,26.413974183792366,0.026316346497576748,501.6661165838192,501.6661165838192,61.70855641816537,750.0000000000003,5025901.799305548,836.1101943063653,1.6666666666666667,True,0.12300722408437766,5025.901799305548,2010.360719722219
69,63,10.0,0.9581818181818181,1.3072727272727271,0.34909090909090906,28.843351606242628,28.843351606242628,26.20570623483914,0.024442110823710256,503.876349196988,503.876349196988,61.26142749607981,750.0,5034491.972341034,839.7939153283133,1.6666666666666667,True,0.12158027975258263,5034.491972341034,2013.7967889364133
69,64,10.0,0.9732323232323232,1.3223232323232323,0.34909090909090906,29.75657358117012,29.75657358117012,26.002288283965886,0.022727513012813828,506.05590016299226,506.05590016299226,60.825514803588945,749.9999999999998,5043270.585254911,843.4265002716538,1.6666666666666667,True,0.12019524875413576,5043.270585254912,2017.3082341019644
69,65,10.0,0.9882828282828283,1.3373737373737373,0.34909090909090906,30.684028083085124,30.684028083085124,25.803534968147112,0.021156794365201206,508.20560691854604,508.20560691854604,60.400393974680256,749.9999999999998,5052229.410886805,847.0093448642434,1.6666666666666667,True,0.11885031009577406,5052.2294108868045,2020.8917643547218
69,66,10.0,1.0033333333333332,1.3524242424242423,0.34909090909090906,31.625715111987645,31.625715111987645,25.609270693302584,0.01971595893194037,510.3262723757274,510.3262723757274,59.985662943910874,749.9999999999999,5061360.760675465,850.5437872928791,1.6666666666666667,True,0.11754374836447078,5061.360760675465,2024.5443042701859
69,67,10.0,1.0183838383838384,1.3674747474747475,0.34909090909090906,32.581634667877694,32.581634667877694,25.41932898217353,0.01839255383569269,512.4186668244296,512.4186668244296,59.58094045847764,750.0000000000002,5070657.443457913,854.0311113740494,1.6666666666666667,True,0.1162739461224427,5070.657443457912,2028.262977383165
69,68,10.0,1.0334343434343434,1.3825252525252525,0.34909090909090906,33.55178675075527,33.55178675075527,25.23355187462794,0.017175479692789864,514.4835297040341,514.4835297040341,59.185864709892954,749.9999999999999,5080112.727917965,857.4725495067236,1.6666666666666667,True,0.11503937695331215,5080.112727917965,2032.0450911671858
69,69,10.0,1.0484848484848486,1.3975757575757577,0.34909090909090906,34.53617136062036,34.53617136062036,25.051789375484947,0.01605482664916679,516.521571255045,516.521571255045,58.80009207407075,750.0000000000001,5089720.30831579,860.8692854250751,1.6666666666666667,True,0.1138385990950933,5089.72030831579,2035.8881233263162
69,70,10.0,1.0635353535353536,1.4126262626262627,0.34909090909090906,35.534788497472974,35.534788497472974,24.873898945471527,0.015021732264317664,518.5334740603913,518.5334740603913,58.42329594980786,750.0,5099474.273170959,864.2224567673189,1.6666666666666667,True,0.11267024960283192,5099.474273170959,2039.7897092683836
69,71,10.0,1.0785858585858585,1.4276767676767677,0.34909090909090906,36.54763816131309,36.54763816131309,24.699745031385493,0.014068258074747974,520.5198944852017,520.5198944852017,58.0551656867151,750.0000000000003,5109369.076609606,867.5331574753362,1.6666666666666667,True,0.11153303899005075,5109.369076609606,2043.7476306438423
69,72,10.0,1.0936363636363635,1.4427272727272726,0.34909090909090906,37.574720352140744,37.574720352140744,24.529198631945295,0.013187282164223225,522.4814640230398,522.4814640230398,57.695405594560285,750.0000000000001,5119399.512116542,870.8024400383998,1.6666666666666667,True,0.11042574630363555,5119.399512116542,2047.7598048466168
69,73,10.0,1.1086868686868687,1.4577777777777778,0.34909090909090906,38.61603506995593,38.61603506995593,24.36213689616689,0.012372405480824114,524.4187905558578,524.4187905558578,57.34373402681932,749.9999999999999,5129560.688462583,874.0313175930963,1.6666666666666667,True,0.10934721459167743,5129.560688462583,2051.824275385033
69,74,10.0,1.1237373737373737,1.4728282828282828,0.34909090909090906,39.671582314758616,39.671582314758616,24.19844275142616,0.011617869985241353,526.3324595342774,526.3324595342774,56.99988253195645,750.0000000000003,5139848.007601781,877.2207658904624,1.6666666666666667,True,0.1082963467280595,5139.84800760178,2055.9392030407125
69,75,10.0,1.1387878787878787,1.4878787878787878,0.34909090909090906,40.74136208654883,40.74136208654883,24.038004558648215,0.01091848700291571,528.2230350842182,528.2230350842182,56.66359506658739,749.9999999999995,5150257.144354203,880.3717251403637,1.6666666666666667,True,0.10727210156132841,5150.257144354203,2060.102857741681
69,76,10.0,1.1538383838383839,1.502929292929293,0.34909090909090906,41.82537438532658,41.82537438532658,23.880715792316078,0.010269574394334745,530.0910610453616,530.0910610453616,56.33462726527355,750.0000000000002,5160784.027710805,883.4851017422693,1.6666666666666667,True,0.1062734903587684,5160.784027710804,2064.313611084322
