solenoid_length_m,ri,rf,th,b0,scan,stress,margin,rebco_pancake_length,rebco_total_length,converged
7.0,1.0959322033898309,1.1359845447682433,0.0400523413784126,8.299896405341451,2.232270653071098,749.9999999999998,4.82463798064445,561.6758725100325,982932.7768925568,True
4.0,1.4494915254237288,1.502375042065386,0.0528835166416572,8.292832333684466,2.242880906379229,750.0000000000001,5.385981282418522,980.8371748506012,980837.174850601,True
4.0,1.4242372881355934,1.4780246742397745,0.0537873861041811,8.43722450451142,2.353467414086364,750.0000000000001,5.386067582950905,980.8371748506022,980837.1748506022,True
6.0,1.1464406779661018,1.1918043538793957,0.0453636759132938,8.636323214577082,2.3573566607719627,749.9999999999998,5.069810485955466,666.4661980951657,999699.2971427486,True
7.0,1.070677966101695,1.111640588779074,0.0409626226773789,8.492098177799624,2.379448632684668,750.0,4.796716625617175,561.6758725100257,982932.7768925448,True
4.0,1.3989830508474577,1.453705149369783,0.0547220985223253,8.586688473806241,2.471741843757797,749.9999999999997,5.385030546984204,980.8371748506,980837.1748506,True
6.0,1.121186440677966,1.1675317659878188,0.0463453253098526,8.827030161750052,2.5059596379679885,750.0000000000001,5.044986587111441,666.4661980951702,999699.2971427552,True
7.0,1.0454237288135593,1.0873381554474533,0.041914426633894,8.693329676446329,2.5403984545648246,749.9999999999998,4.767299278493869,561.6758725100212,982932.7768925373,True
4.0,1.3737288135593222,1.4294180417039886,0.0556892281446663,8.74149386411027,2.5984016194637753,750.0,5.382816881728063,980.837174850598,980837.174850598,True
6.0,1.0959322033898309,1.1433017030764003,0.0473694996865696,9.02626575616742,2.6678477286035474,749.9999999999999,5.018610607574028,666.4661980951768,999699.2971427653,True
7.0,1.0201694915254238,1.063080092450548,0.0429106009251241,8.904236652332717,2.7168133805006884,750.0000000000001,4.7363233644598015,561.675872510022,982932.7768925384,True
4.0,1.3484745762711865,1.40516503215655,0.0566904558853635,8.901929589217062,2.734222914191336,750.0,5.379371163856801,980.83717485059,980837.17485059,True
6.0,1.070677966101695,1.119116927280689,0.0484389611789939,9.23460958343942,2.8445801023428983,750.0000000000001,4.990620510811917,666.4661980951738,999699.2971427608,True
4.0,1.3232203389830508,1.380947917281525,0.0577275782984745,9.068305596776828,2.8800713694260063,749.9999999999997,5.374635753728614,980.837174850597,980837.1748505968,True
7.0,0.9949152542372882,1.038869507993892,0.0439542537566038,9.125527376074524,2.9106476928323937,750.0000000000005,4.703722593725195,561.6758725100237,982932.7768925416,True
4.0,1.297966101694915,1.3567686191443469,0.0588025174494315,9.240954801834842,3.036914533706683,749.9999999999998,5.368550704773273,980.837174850598,980837.174850598,True
6.0,1.0454237288135593,1.0949804393672768,0.0495567105537175,9.452694462224608,3.037945104534662,749.9999999999998,4.960951026241384,666.466198095161,999699.2971427414,True
7.0,0.9696610169491526,1.014709800542149,0.0450487835929966,9.357980325972571,3.124165573684377,750.0000000000002,4.669426649727963,561.6758725100236,982932.7768925412,True
4.0,1.2727118644067796,1.3326291961935786,0.0599173317867989,9.4202352360001,3.2058363392542075,750.0,5.361053667551098,980.8371748506006,980837.1748506008,True
6.0,1.0201694915254238,1.070895504365272,0.0507260128398481,9.681212644230392,3.2500011250604173,749.9999999999998,4.929533400351652,666.4661980951752,999699.2971427628,True
7.0,0.9444067796610168,0.9906046925969594,0.0461979129359424,9.602453030073177,3.360000853437866,749.9999999999999,4.633360844720397,561.6758725100241,982932.776892542,True
4.0,1.2474576271186442,1.3085318552493252,0.061074228130681,9.60653244063948,3.3880540034153506,749.9999999999999,5.35207978791752,980.837174850591,980837.1748505912,True
