candidate_rank,source_file,pareto_rank,row_i,col_j,schema,solenoid_length_m,n_pc,n_par,ri,rf,th,v,valid,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,sigma_tape,util,f_struct,f_struct_tape,f_filler,f_tape_min,f_tape_built,fill,n_tp_min,n_tp,n_bund,n_tape,n_tot,n_par_min,pitch,pitch_turn,i0,i_tape,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m,piece_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
4,thickness_grids_L3000mm.csv,145,88,119,2,3.0,750,10,6.409395973154362,6.645395973154362,0.236,387.17324083017405,1,0.9900077602503852,387.17324083017405,2.087544559851037,14.903852118860396,3517.30910005105,3539.6017374367343,5899.336229061224,34.40880825080124,2.285649838550964,14.903852121670774,140.7080895833408,749.9999991047515,66414.2182833368,0.9999999988063356,0.1876107863350654,0.0021186440677966,0.1854921422672688,0.0042106014247956,0.0042372881355932,0.8145078577327312,10.0,10.0,1.0,7500.0,750.0,10.0,23.599999999999977,235.99999999999977,14069.2364002042,1406.92364002042,1415.840694974694,1.0063379807550497,307596.2885450002,1045.0613042514826,1045.0613042514826,10.55919253912763,10.55919253912763,0.0710770628593237,1000.0,148.55977602825905,14703.214542219835,18.345704088837653,18.345704088837653,2.5000000000000004e+16,0.8123892136649346,0.0021186440677966,0.810270569597138,191.2238544249244,211361.18903118867,33.0,0,1,1,mechanical,307.5962885450002,410.1283847266669,41.012838472666694,0.08754455985103693,0.08754455985103693,2,0.2,pareto,closest
5,thickness_grids_L3000mm.csv,144,89,118,2,3.0,750,10,6.356375838926175,6.596375838926175,0.24,380.794146453456,1,1.0029768511724404,380.794146453456,2.0944825423785316,14.737163300343848,3536.9191920825265,3536.919193780982,5894.865322968303,34.22472628533155,2.32925478956317,14.910004337246672,139.06219756578062,698.162434605367,66749.85483157476,0.9308832461404896,0.199183156630856,0.0020833333333333,0.1970998232975227,0.0041666666646657,0.0041666666666666,0.8029001767024773,10.0,10.0,1.0,7500.0,750.0,10.0,24.00000000000002,240.00000000000023,14147.676768330108,1414.767676833011,1414.7676775123928,1.0000000004802074,305192.0213618536,1044.3924984267617,1044.3924984267617,10.43574555433044,10.43574555433044,0.0706829832470107,1000.0,147.64155493920498,14775.727487010536,18.40266400784307,18.40266400784307,2.5e+16,0.8008168433691439,0.0020833333333333,0.7987335100358106,191.6960424085947,210225.60807065215,33.0,0,1,1,mechanical,305.19202136185356,406.9226951491381,40.69226951491381,0.0944825423785316,0.0944825423785316,2,0.2,pareto,closest
6,thickness_grids_L3000mm.csv,143,88,118,2,3.0,750,10,6.356375838926175,6.592375838926174,0.236,380.794146453456,1,1.0013512148213612,380.794146453456,2.1081167889614925,14.958318147050267,3530.16308270386,3537.2551988074865,5895.425331345811,34.50747261654979,2.310025718487004,14.958318154632966,140.92903925519678,749.9999975964961,66518.50652845281,0.999999996795328,0.1879053862757708,0.0021186440677966,0.1857867422079742,0.0042287924693963,0.0042372881355932,0.8142132577920258,10.0,10.0,1.0,7500.0,750.0,10.0,23.599999999999977,235.99999999999977,14120.65233081544,1412.065233081544,1414.9020795229949,1.0020090052321873,305097.77358224586,1040.5009882592276,1040.5009882592276,10.436694526208289,10.436694526208289,0.0708182580076491,1000.0,147.3729348875118,14692.552705078431,18.41942785268837,18.41942785268837,2.500000000000001e+16,0.8120946137242292,0.0021186440677966,0.8099759696564326,191.1543288389179,209568.33954973385,33.0,0,1,1,mechanical,305.09777358224585,406.79703144299447,40.679703144299445,0.10811678896149246,0.10811678896149246,2,0.2,pareto,closest
7,thickness_grids_L3000mm.csv,150,90,122,2,3.0,750,10,6.568456375838926,6.812456375838925,0.244,406.6284557971994,1,0.9740861705133146,406.6284557971994,1.8915850004920316,14.520086349671011,3542.901069319724,3542.901069976837,5904.835116628062,33.57304650405935,2.25226210878185,14.580397896396514,140.28723562971635,730.8032500128406,68460.17098730152,0.9744043333504542,0.1919630702617311,0.0020491803278688,0.1899138899338622,0.0040983606549775,0.0040983606557377,0.8100861100661377,10.0,10.0,1.0,7500.0,750.0,10.0,24.399999999999977,243.99999999999977,14171.604277278895,1417.1604277278896,1417.160427990735,1.0000000001854732,315280.32899247843,1097.1930472017918,1097.1930472017918,10.92634750979755,10.92634750979755,0.0705636412387893,1000.0,154.84387310488256,15548.985680725582,17.96958259614967,17.96958259614967,2.500000000000001e+16,0.8080369297382689,0.0020491803278688,0.8059877494104001,196.66101085613744,222784.98230808985,33.0,0,1,1,mechanical,315.2803289924784,420.37377198997126,42.03737719899713,-0.1084149995079684,0.1084149995079684,2,0.2,pareto,closest
8,thickness_grids_L3000mm.csv,142,88,117,2,3.0,750,10,6.303355704697986,6.539355704697986,0.236,374.4680407162163,1,1.01067150051328,374.4680407162163,2.1480876106293056,14.980210686577946,3535.3297220323916,3535.3297226083137,5892.21620434719,34.608189846866196,2.3349145011638637,15.024980636274323,140.52038706291444,736.093590587481,66325.62269369554,0.981458120783308,0.1909001638647121,0.0021186440677966,0.1887815197969155,0.0042372881349029,0.0042372881355932,0.8112184802030845,10.0,10.0,1.0,7500.0,750.0,10.0,23.599999999999977,235.99999999999977,14141.318888129566,1414.1318888129567,1414.1318890433256,1.0000000001629048,302599.25861949153,1031.331560104726,1031.331560104726,10.314506931973304,10.314506931973304,0.0707147620325155,1000.0,145.86073169885745,14584.388470833092,18.514662860558452,18.514662860558452,2.5000000000000004e+16,0.8090998361352879,0.0021186440677966,0.8069811920674913,190.44756132792776,207085.6363270222,33.0,0,1,1,mechanical,302.59925861949154,403.46567815932207,40.34656781593221,0.14808761062930564,0.14808761062930564,2,0.2,pareto,closest
9,thickness_grids_L3000mm.csv,151,90,123,2,3.0,750,10,6.621476510067114,6.865476510067114,0.244,413.2195047318317,1,0.966397693102065,413.2195047318317,1.850610469316285,14.514215164212846,3541.4685000679315,3544.496714738959,5907.494524564931,33.48372964462302,2.229441876044548,14.514215168116037,140.92262487742474,749.9999987248927,68770.24094018321,0.999999998299857,0.1878968334893511,0.0020491803278688,0.1858476531614823,0.0040948592514866,0.0040983606557377,0.8141523468385177,10.0,10.0,1.0,7500.0,750.0,10.0,24.399999999999977,243.99999999999977,14165.874000271722,1416.5874000271722,1417.7986858955835,1.0008550731627208,317778.84395523276,1108.7118188973263,1108.7118188973263,11.049990982188008,11.049990982188008,0.0705921851331459,1000.0,156.53277995781406,15705.871929111603,17.872378489269842,17.872378489269842,2.5000000000000004e+16,0.8121031665106488,0.0020491803278688,0.81005398618278,197.65317262859813,225680.48786833577,33.0,0,1,1,mechanical,317.7788439552328,423.70512527364366,42.37051252736437,-0.14938953068371497,0.14938953068371497,2,0.2,pareto,closest
10,thickness_grids_L3000mm.csv,152,91,123,2,3.0,750,10,6.621476510067114,6.8694765100671145,0.248,413.2195047318317,1,0.9669239978455988,413.2195047318317,1.8465845473744835,14.291884824218693,3544.3874364062385,3544.3874368442252,5907.312394740376,33.2188372369244,2.2474356111853937,14.474063935509818,138.8261965093309,693.9655360251687,68857.7934686282,0.9252873813668916,0.2000476814806779,0.002016129032258,0.1980315524484199,0.0040322580640178,0.0040322580645161,0.8019684475515801,10.0,10.0,1.0,7500.0,750.0,10.0,24.800000000000026,248.00000000000023,14177.549745624954,1417.7549745624954,1417.7549747376902,1.000000000123572,317873.0917348404,1110.4279281860004,1110.4279281860004,11.048873776771648,11.048873776771648,0.0705340498141147,1000.0,156.6459576033111,15743.147190788271,17.865920872224443,17.865920872224443,2.5000000000000004e+16,0.799952318519322,0.002016129032258,0.797936189487064,197.88817499279205,226015.14897415135,33.0,0,1,1,mechanical,317.87309173484044,423.8307889797872,42.38307889797872,-0.15341545262551648,0.15341545262551648,2,0.2,pareto,closest
11,thickness_grids_L3000mm.csv,153,90,124,2,3.0,750,10,6.674496644295302,6.918496644295302,0.244,419.8635423059425,1,0.9558969422053166,419.8635423059425,1.83317146331476,14.46409995421585,3529.2403888286644,3546.6785513319705,5911.130918886618,33.396190945254716,2.207072469557235,14.46409996053286,140.68578592603197,749.9999979262518,68654.66353190354,0.9999999972350024,0.1875810484200371,0.0020491803278688,0.1855318680921682,0.0040782100054666,0.0040983606557377,0.8144681319078317,10.0,10.0,1.0,7500.0,750.0,10.0,24.399999999999977,243.99999999999977,14116.961555314658,1411.6961555314658,1418.6714205327885,1.0049410526294849,320277.35891798703,1113.4186808306283,1113.4186808306283,11.173932286876964,11.173932286876964,0.0708367729189945,1000.0,157.74197251553133,15718.088712255145,17.803745131851727,17.803745131851727,2.5e+16,0.8124189515799629,0.0020491803278688,0.8103697712520941,197.7302241855108,227543.33113292337,33.0,0,1,1,mechanical,320.27735891798704,427.03647855731606,42.7036478557316,-0.16682853668524,0.16682853668524,2,0.2,pareto,closest
12,thickness_grids_L3000mm.csv,154,91,124,2,3.0,750,10,6.674496644295302,6.922496644295302,0.248,419.8635423059425,1,0.960116105802014,419.8635423059425,1.801160265100426,14.297586867671916,3545.801543182639,3545.8015444565926,5909.669240760988,33.13206429318199,2.2248949309256125,14.40520324742288,139.6656993111105,715.8919851268764,69274.18685831086,0.9545226468358352,0.1950932573806616,0.002016129032258,0.1930771283484035,0.0040322580630673,0.0040322580645161,0.8069228716515965,10.0,10.0,1.0,7500.0,750.0,10.0,24.800000000000026,248.00000000000023,14183.206172730555,1418.3206172730556,1418.320617782637,1.000000000359285,320371.6066975947,1123.776815185406,1123.776815185406,11.17277959349212,11.17277959349212,0.0705059200170591,1000.0,158.46583649697544,15938.75826190914,17.763035281757634,17.763035281757634,2.499999999999999e+16,0.8049067426193384,0.002016129032258,0.8028906135870804,199.11687216959612,229202.4557703437,33.0,0,1,1,mechanical,320.3716066975947,427.1621422634596,42.71621422634596,-0.19883973489957407,0.19883973489957407,2,0.2,pareto,closest
0,thickness_grids_L3000mm.csv,109,79,96,2,3.0,750,10,5.18993288590604,5.39193288590604,0.202,253.8601959537312,1,1.1987163103154237,253.8601959537312,3.9660687141967466,17.31170902553272,3496.965223157609,3496.9652248149487,5828.275374691581,40.28830468557628,2.7896869032589033,17.389053468659554,138.47875982236738,729.1765788237559,55945.418968236416,0.9722354384316746,0.1899111461393196,0.0024752475247524,0.1874358986145671,0.0049504950471587,0.0049504950495049,0.8125641013854329,10.0,10.0,1.0,7500.0,750.0,10.0,20.199999999999996,201.99999999999991,13987.86089263044,1398.7860892630438,1398.7860899259797,1.0000000004739364,249329.33827498587,765.7318982005104,765.7318982005104,7.827158444266688,7.827158444266688,0.0714905593983175,1000.0,109.48520350298011,10710.95127307859,21.370136057334275,21.370136057334275,2.5e+16,0.8100888538606804,0.0024752475247524,0.8076136063359279,163.1379484798574,146226.2732175942,33.0,0,1,1,mechanical,249.32933827498587,332.4391176999812,33.243911769998114,-0.03393128580325344,0.03393128580325344,4,0.2,pareto,closest
