source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m
thickness_grids_L8000mm.csv,11,52,95,8.0,1.4394343434343435,1.5788276706458526,0.139393327211509,52.07431673327074,3.872374362294422,52.07431673327074,7.1540721700112835,23.628473129850704,1996.1524160591696,2023.6314179430956,3372.7190299051595,75.60927490162832,12.3912965544459,23.62847312985981,73.24575061743639,746.2499999967802,0.9949999999957068,0.0981517596217788,0.0116762731198686,0.0118370085068445,0.9077667446316434,11.0,22000.0,12.672120655591735,1197.6914496355018,1214.1788507658573,1.0137659838311222,208607.2949409565,208.9707521234767,208.9707521234767,291.3570983140753,291.3570983140753,4.0,4790.765798542007,72.83927457851883,52.242688030869175,26.200054590050858,26.200054590050858,2.5e+16,0.9018482403782212,0.0059185042534222,0.8959297361247989,11.353329715105918,85443.74084060769,43.0,0,1,1,mechanical,208.60729494095645,104.30364747047824
thickness_grids_L8000mm.csv,12,53,95,8.0,1.4394343434343435,1.584162840526477,0.1447284970921334,52.07431673327074,3.916407615925084,52.07431673327074,6.837716899148934,23.021349106189263,2019.3001558618796,2019.3001558619471,3365.500259769912,74.07685232090762,12.602004654686516,23.50966618081205,72.43655121321214,604.155205548344,0.8055402740644587,0.1198972557845747,0.011400657321478,0.0114006573214784,0.8858030728761644,11.0,22000.0,13.157136099284855,1211.5800935171278,1211.5800935171685,1.0000000000000333,208976.03541201417,214.54058830490504,214.54058830490504,292.30430021232894,292.30430021232894,4.0,4846.320374068511,73.07607505308223,53.63514707622627,26.157569962711374,26.157569962711374,2.5e+16,0.8801027442154252,0.0057003286607392,0.874402415554686,11.504631586996435,86727.97954086773,43.0,1,1,1,packing,208.97603541201417,104.48801770600708
thickness_grids_L8000mm.csv,13,53,96,8.0,1.4545757575757576,1.599304254667891,0.1447284970921334,53.17561851171512,3.912276545502463,53.17561851171512,6.403949691524406,23.025971879316455,2019.705638896484,2019.705638897647,3366.176064829412,73.76173724879196,12.532644272582631,23.269271888805985,73.08612389430718,667.8890047442603,0.8905186729923471,0.1094285478202959,0.0114006573214718,0.0114006573214784,0.8962717808404432,11.0,22000.0,13.157136099284855,1211.8233833378902,1211.8233833385882,1.000000000000576,211069.03425100577,219.67480814039197,219.67480814039197,299.1793364781522,299.1793364781522,4.0,4847.293533351561,74.79483411953805,54.91870203509799,25.855277331155857,25.855277331155857,2.5e+16,0.890571452179704,0.0057003286607392,0.8848711235189648,11.64236980246612,88638.55358555632,43.0,1,1,1,packing,211.06903425100575,105.53451712550287
thickness_grids_L8000mm.csv,14,53,97,8.0,1.4697171717171718,1.6144456688093052,0.1447284970921334,54.28844427642083,3.9081186708685176,54.28844427642083,6.00222544572746,23.0306267006942,2020.113933019049,2020.11393302008,3366.856555033467,73.45128724925634,12.464113583565348,23.033251108931427,73.73504553199497,745.3056195779997,0.9937408261039996,0.098932630581458,0.0114006573214726,0.0114006573214784,0.9067676980792811,11.0,22000.0,13.157136099284855,1212.0683598114294,1212.068359812048,1.0000000000005105,213162.03308999736,224.8833190570154,224.8833190570154,306.14911561933314,306.14911561933314,4.0,4848.273439245718,76.53727890483329,56.22082976425386,25.55927279394863,25.55927279394863,2.5e+16,0.901067369418542,0.0057003286607392,0.8953670407578027,11.78046601406434,90572.52695813768,43.0,0,1,1,mechanical,213.16203308999735,106.58101654499868
thickness_grids_L8000mm.csv,15,53,98,8.0,1.484858585858586,1.6295870829507193,0.1447284970921334,55.412794027387896,3.864311566378588,55.412794027387896,5.8643411560081855,22.801517588565854,2000.0178012199897,2024.4267077238023,3374.044512873004,73.14539134439397,12.396393384849617,22.80151758856828,72.88108574022348,746.2499999991079,0.9949999999988106,0.0976630964694279,0.0112631973790758,0.0114006573214784,0.9080372321913112,11.0,22000.0,13.157136099284855,1200.0106807319935,1214.6560246342813,1.012204344625795,215255.03192898896,225.51745181128925,225.51745181128925,313.2131074709925,313.2131074709925,4.0,4800.042722927974,78.30327686774812,56.37936295282231,25.26940602711736,25.26940602711736,2.5e+16,0.902336903530572,0.0057003286607392,0.8966365748698328,11.797169447159003,91590.70460877848,43.0,0,1,1,mechanical,215.25503192898896,107.62751596449448
thickness_grids_L8000mm.csv,16,54,98,8.0,1.484858585858586,1.6350238751147843,0.1501652892561983,55.412794027387896,3.903173145693083,55.412794027387896,5.634254993122675,22.202132729823063,2020.5998081687217,2020.59980816916,3367.6663469486,71.68925508863953,12.60309442798962,22.689338654575764,71.93537587771819,599.541232178577,0.7993883095714361,0.119984034486375,0.010987892129882,0.0109878921298844,0.8855099115785671,11.0,22000.0,13.651389932381676,1212.359884901233,1212.359884901496,1.0000000000002167,215630.79602806683,230.9164269915214,230.9164269915214,314.21123450612936,314.21123450612936,4.0,4849.439539604932,78.55280862653234,57.72910674788035,25.229238559171705,25.229238559171705,2.5000000000000004e+16,0.8800159655136249,0.0054939460649422,0.8745220194486827,11.93844109194784,92842.36830643714,43.0,1,1,1,packing,215.63079602806684,107.81539801403342
thickness_grids_L8000mm.csv,17,54,99,8.0,1.5,1.6501652892561984,0.1501652892561983,56.54866776461627,3.8989581347215743,56.54866776461627,5.2885796396232445,22.20668509686823,2021.014115753048,2021.0141157540777,3368.3568595901293,71.39503962961047,12.535246450713908,22.464153483137693,72.55922802974932,660.707987863902,0.880943983818536,0.1098204189483715,0.0109878921298788,0.0109878921298844,0.8956735271165706,11.0,22000.0,13.651389932381676,1212.6084694518288,1212.6084694524463,1.0000000000005094,217723.79486705843,236.28109929567128,236.28109929567128,321.3792137599578,321.3792137599578,4.0,4850.433877807315,80.34480343998945,59.07027482391783,24.94629799375312,24.94629799375312,2.5e+16,0.8901795810516284,0.0054939460649422,0.8846856349866862,12.077188570779938,94826.21071867962,43.0,1,1,1,packing,217.7237948670584,108.8618974335292
thickness_grids_L8000mm.csv,18,57,95,8.0,1.4394343434343435,1.6065197428833793,0.1670853994490358,52.07431673327074,4.2087356201939,52.07431673327074,5.126914551827687,21.449477357034393,1991.0524956517445,1991.0524956526783,3318.420826087797,68.45817986260452,13.43260608570932,21.463281523082003,73.62816827597256,740.94324035238,0.98792432046984,0.0993708617153403,0.010772934115935,0.0107729341159401,0.9060156053426296,12.0,24000.0,13.923783287419647,1194.6314973910464,1194.631497391607,1.0000000000004692,229659.52753794164,251.60917890878224,251.60917890878224,352.6050711365066,352.6050711365066,4.0,4778.525989564186,88.15126778412665,62.90229472719556,23.816104149025332,23.816104149025332,2.5e+16,0.9006291382846596,0.00538646705797,0.8952426712266895,12.465164943811102,103218.06588776766,43.0,0,1,1,mechanical,229.65952753794164,114.82976376897082
thickness_grids_L8000mm.csv,19,57,96,8.0,1.4545757575757576,1.6216611570247934,0.1670853994490358,53.17561851171512,4.16333341198096,53.17561851171512,4.993457157112424,21.244902258402508,1972.0627667227252,1995.3828423257287,3325.6380705428815,68.17205075859385,13.359580252917464,21.24490225841043,72.8380014107586,746.2499999968721,0.9949999999958296,0.0976053620248762,0.0106470306388123,0.0107729341159401,0.9077811050330938,12.0,24000.0,13.923783287419647,1183.237660033635,1197.2297053954371,1.0118252197630393,231942.79899865977,252.59660271272327,252.59660271272327,360.8390519198313,360.8390519198313,4.0,4732.95064013454,90.20976297995784,63.14915067818082,23.542806400172964,23.542806400172964,2.5000000000000004e+16,0.9023946379751238,0.00538646705797,0.8970081709171537,12.489747378895132,104448.6078996689,43.0,0,1,1,mechanical,231.94279899865973,115.97139949932986
thickness_grids_L8000mm.csv,20,58,96,8.0,1.4545757575757576,1.6275044383226205,0.1729286807468625,53.17561851171512,4.20344601683873,53.17561851171512,4.805562148852115,20.729937250171226,1991.5559447985304,1991.5559447996516,3319.2599079994193,66.88905377985473,13.563211662819658,21.14216739215456,72.03559264575632,610.7418810820453,0.8143225081093938,0.1179476876845773,0.0104089153529938,0.0104089153529996,0.8872567699919226,12.0,24000.0,14.410723395571884,1194.9335668791182,1194.933566879791,1.000000000000563,232383.37202901443,258.5117173586021,258.5117173586021,362.0951487781622,362.0951487781622,4.0,4779.734267516473,90.52378719454056,64.62792933965054,23.501936291912553,23.501936291912553,2.5000000000000004e+16,0.8820523123154227,0.0052044576764998,0.8768478546389229,12.636011893202143,105865.188554253,43.0,1,1,1,packing,232.3833720290144,116.1916860145072
