target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,ri,rf,th,v,v_bore,valid,b0,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,pancake_length_m,search_pool,pick_rule,note
2.5,0.25,in_window,7.0,305.30661257750415,2.464054903835523,-0.035945096164477164,0.035945096164477164,5,thickness_grids_L7000mm.csv,42,80,97,1.4697171717171718,1.7969084787266607,0.3271913070094889,47.50238874186823,47.50238874186823,1,5.45707403692116,14.64844456955045,1879.5465585753973,1879.5465585766792,3132.577597627799,46.632071808585614,17.3721289756217,14.80870742977619,74.00735198711594,666.2554724925088,0.8883406299900118,0.1110795408707852,0.0077936055921079,0.0077936055921132,0.8928172619252714,17.0,29750.0,19.24654747114641,1127.7279351452385,1127.7279351460077,1.000000000000682,305306.61257750413,468.3294375714572,468.3294375714572,736.5000411668295,736.5000411668295,4.0,4510.911740580954,184.12501029170735,117.0823593928643,16.47891486702876,16.47891486702876,2.5e+16,0.8889204591292148,0.0038968027960566,0.8850236563331582,17.033649814703693,187206.07971795715,43.0,1,1,1,packing,174.4609214728595,pareto,closest,
2.5,0.25,in_window,8.0,282.0732400910738,2.5616889442120105,0.061688944212010544,0.061688944212010544,6,thickness_grids_L8000mm.csv,36,68,98,1.484858585858586,1.7218093051729415,0.2369507193143557,55.412794027387896,55.412794027387896,1,4.753301290923272,17.199402122082837,1940.6717640973252,1940.671764098037,3234.452940163396,55.60221628212829,15.36646940143926,17.425701633182644,71.76352430764221,649.929770462522,0.8665730272833627,0.1104173521033999,0.0088626023422753,0.0088626023422785,0.8940139490677392,14.0,28000.0,16.92505137959683,1164.403058458395,1164.4030584588224,1.000000000000367,282073.2400910738,362.7041963227776,362.7041963227776,535.027248519819,535.027248519819,4.0,4657.61223383358,133.75681212995474,90.6760490806944,19.334237423302344,19.334237423302344,2.4999999999999996e+16,0.8895826478966,0.0044313011711392,0.8851513467254607,14.981232022047749,152211.05177678802,43.0,1,1,1,packing,141.0366200455369,pareto,closest,
2.5,0.25,in_window,9.0,283.259312961964,2.5502011417169443,0.05020114171694434,0.05020114171694434,7,thickness_grids_L9000mm.csv,35,63,95,1.4394343434343435,1.6431037649219469,0.2036694214876034,58.58360632492958,58.58360632492958,1,4.5430231972901,18.763707954779992,1959.791561083273,1959.7915610832856,3266.319268472143,60.98197858380756,14.764807893543775,18.850605749493297,71.00608545688765,708.6364571993164,0.9448486095990886,0.1002010053751947,0.009574338581399,0.0095743385813991,0.9045861639155048,13.0,29250.0,15.66687857596949,1175.874936649964,1175.8749366499712,1.0000000000000062,283259.312961964,317.96253061495787,317.96253061495787,459.9214588490524,459.9214588490524,4.0,4703.499746599856,114.9803647122631,79.49063265373947,20.853221738266125,20.853221738266125,2.4999999999999996e+16,0.8997989946248053,0.0047871692906995,0.8950118253341057,14.022041591566248,143113.3604462746,43.0,0,1,1,mechanical,125.89302798309512,pareto,closest,
2.5,0.25,in_window,10.0,270.50424388785376,2.470383560040311,-0.02961643995968899,0.02961643995968899,8,thickness_grids_L10000mm.csv,32,56,98,1.484858585858586,1.6462023262932357,0.1613437404346495,69.26599253423487,69.26599253423487,1,3.982699140769619,20.58430720246948,2012.8176474559543,2012.8176474569732,3354.6960790949556,68.27843384965604,13.210668552085,21.00053737905508,68.16582121044534,603.1758872394984,0.8042345163193312,0.1130115156333815,0.010226613040916,0.0102266130409212,0.8921017908870791,11.0,27500.0,14.667612766786329,1207.6905884735727,1207.690588474184,1.000000000000506,270504.24388785375,270.8163105949661,270.8163105949661,371.3585686835925,371.3585686835925,4.0,4830.762353894291,92.83964217089812,67.70407764874153,23.20696104320717,23.20696104320717,2.4999999999999996e+16,0.8869884843666185,0.0051133065204606,0.8818751778461579,12.935003617288269,126130.32110238523,43.0,1,1,1,packing,108.20169755514152,pareto,closest,
3.5,0.25,outside_window,4.0,251.45900338148644,9.480757611595273,5.980757611595273,5.980757611595273,0,thickness_grids_L4000mm.csv,4,97,99,1.5,1.980082032445669,0.4800820324456689,28.274333882308134,28.274333882308134,1,6.003864787804329,13.185982013280004,1834.884940500724,1834.8849405017197,3058.141567502866,38.656880582249165,17.601319636290803,13.190640761428396,87.26349640629151,743.7408820043229,0.9916545093390972,0.1173305092105778,0.007186271859463,0.0071862718594669,0.8862626267191557,23.0,23000.0,20.873131845463867,1100.9309643004344,1100.9309643010315,1.0000000000005425,251459.00338148643,543.1145610735581,543.1145610735581,896.1924251924479,896.1924251924479,4.0,4403.723857201738,224.04810629811195,135.77864026838952,14.938753577499345,14.938753577499345,2.4999999999999996e+16,0.8826694907894221,0.0035931359297334,0.8790763548596887,18.349076657216063,166043.13436740413,43.0,0,1,1,mechanical,251.45900338148644,pareto,closest,no design within +/-0.25 yr; nearest is 9.481 yr at 251.5 km
3.5,0.25,outside_window,5.0,301.513508708037,3.9893164340729297,0.4893164340729297,0.4893164340729297,0,thickness_grids_L5000mm.csv,34,98,99,1.5,1.9899902050811145,0.4899902050811142,35.34291735288517,35.34291735288517,1,6.189544620967478,12.259019633829643,1820.2422862041192,1820.242286204766,3033.7371436746103,37.283267112494165,18.824216968493573,12.348504732146928,81.08580262559848,694.8376695265298,0.9264502260353732,0.1166974765211725,0.006734828504281,0.0067348285042834,0.8866699377309692,22.0,27500.0,22.272282049141555,1092.1453717224715,1092.1453717228596,1.0000000000003553,301513.508708037,619.2533439534237,619.2533439534237,1038.3349125004395,1038.3349125004395,4.0,4368.581486889887,259.58372812510993,154.81333598835593,13.878619508012184,13.878619508012184,2.4999999999999996e+16,0.8833025234788274,0.0033674142521417,0.8799351092266857,19.59816293763893,212593.00194809333,43.0,0,1,1,mechanical,241.21080696642963,pareto,closest,no design within +/-0.25 yr; nearest is 3.989 yr at 301.5 km
3.5,0.25,in_window,6.0,283.6187786668313,3.5790190793536203,0.07901907935362029,0.07901907935362029,5,thickness_grids_L6000mm.csv,30,82,99,1.5,1.8436541169268443,0.3436541169268443,42.411500823462205,42.411500823462205,1,5.463336424449269,14.484612530271209,1843.5913807843913,1879.0215436113,3131.7025726855,45.46863437311845,17.149954534266918,14.484612530278316,76.1116621784651,746.249999996039,0.9949999999947188,0.1019921771241126,0.0077085931130055,0.0078567369544266,0.9019361913531008,18.0,27000.0,19.091895384824685,1106.1548284706346,1127.41292616678,1.01921801283961,283618.7786668313,470.3036123616514,470.3036123616514,768.7346755654879,768.7346755654879,4.0,4424.619313882538,192.183668891372,117.57590309041284,16.129717538410695,16.129717538410695,2.5e+16,0.8980078228758873,0.0039283684772133,0.894079454398674,17.069671409100614,174273.8194424464,43.0,0,1,1,mechanical,189.07918577788757,pareto,closest,
3.5,0.25,in_window,7.0,266.1909895902802,3.4275810484959988,-0.07241895150400124,0.07241895150400124,4,thickness_grids_L7000mm.csv,31,71,98,1.484858585858586,1.7429975512702789,0.2581389654116927,48.48619477396441,48.48619477396441,1,4.939768892920066,16.770519782754505,1924.0553893940332,1924.0553893947592,3206.758982324599,53.34164053460899,15.711819312907858,16.916263250301835,74.1347066071954,681.2479873060611,0.9083306497414148,0.1088219091851632,0.0087162354447758,0.008716235444779,0.8955362085372263,15.0,26250.0,17.20926436077952,1154.43323363642,1154.4332336368554,1.0000000000003773,266190.9895902802,376.33412159824326,376.33412159824326,564.7626289816234,564.7626289816234,4.0,4617.73293454568,141.19065724540584,94.0835303995608,18.81837082352485,18.81837082352485,2.5e+16,0.8911780908148368,0.0043581177223895,0.8868199730924472,15.261519357367304,146314.76660355393,43.0,1,1,1,packing,152.10913690873156,pareto,closest,
3.5,0.25,in_window,8.0,256.7331441310795,3.4688780824566647,-0.031121917543335265,0.031121917543335265,4,thickness_grids_L8000mm.csv,28,63,97,1.4697171717171718,1.6733865932047751,0.2036694214876034,54.28844427642083,54.28844427642083,1,4.482275632979245,18.81733081222673,1965.3922463933704,1965.3922463941049,3275.6537439901745,60.80976398834824,14.484845172360462,19.140001131123675,71.81756358800607,625.8796142825184,0.8345061523766913,0.1147466093305094,0.0095743385813955,0.0095743385813991,0.8900405599601902,13.0,26000.0,15.66687857596949,1179.235347836022,1179.2353478364628,1.000000000000374,256733.14413107943,307.7656423158607,307.7656423158607,442.6384673615974,442.6384673615974,4.0,4716.941391344088,110.65961684039937,76.94141057896518,21.256434610203236,21.256434610203236,2.4999999999999996e+16,0.8852533906694906,0.0047871692906995,0.880466221378791,13.79415738058419,127614.49812665864,43.0,1,1,1,packing,128.36657206553974,pareto,closest,
3.5,0.25,in_window,9.0,245.369905418426,3.406119940339836,-0.09388005966016388,0.09388005966016388,5,thickness_grids_L9000mm.csv,25,55,99,1.5,1.6557037037037037,0.1557037037037037,63.61725123519331,63.61725123519331,1,3.945401886385124,21.36852034021058,2016.4592482658873,2016.459248267621,3360.7654137793684,69.6203873342398,12.854442102033996,21.59412687322021,70.65408788080678,665.756368064306,0.8876751574190747,0.1061260414019535,0.0105970504281545,0.0105970504281636,0.8991724838121282,11.0,24750.0,14.154882154882152,1209.875548959532,1209.8755489605726,1.00000000000086,245369.905418426,256.14451996918217,256.14451996918217,349.97229438228624,349.97229438228624,4.0,4839.5021958381285,87.49307359557156,64.03612999229554,23.905518372774843,23.905518372774843,2.5e+16,0.8938739585980464,0.0052985252140818,0.8885754333839646,12.577680545273354,111268.39910800876,43.0,1,1,1,packing,109.05329129707822,pareto,closest,
