target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,schema,n_pc,n_par,ri,rf,th,v,valid,b0,v_bore,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,sigma_tape,util,f_struct,f_struct_tape,f_filler,f_tape_min,f_tape_built,fill,n_tp_min,n_tp,n_bund,n_tape,n_tot,n_par_min,pitch,pitch_turn,i0,i_tape,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,pancake_length_m,piece_length_m,search_pool,pick_rule,note
4,0.25,in_window,3.0,400.28665943305367,4.025152341211555,0.025152341211555296,0.025152341211555296,9,thickness_grids_L3000mm.csv,173,117,195,2,750,10,1.4698693467336683,1.9278693467336685,0.458,20.36238260491654,1,9.777982160424791,20.36238260491654,25.63884468032444,2348.5181727177182,2370.192445325822,3950.320742209703,41.443354950278305,15.805407397430592,25.63884468704204,287.04392196823727,749.9999992900529,52586.44650458106,0.999999999053404,0.3827252296532692,0.0054585152838427,0.3772667143694265,0.0108171995615317,0.0109170305676855,0.6227332856305735,50.0,50.0,5.0,37500.0,3750.0,10.0,9.16,91.59999999999998,9394.072690870871,939.4072690870872,948.0769781303288,1.0092289141552702,400286.6594330537,1278.8157952136116,1278.8157952136116,28.98212028902882,28.98212028902882,1.0,9394.072690870871,28.98212028902882,1278.8157952136116,41.53554610035785,41.53554610035785,2.5e+16,0.6172747703467307,0.0054585152838427,0.611816255062888,56.04236896376053,81117.23106434259,32.0,0,1,1,mechanical,533.7155459107382,53.371554591073824,pareto,closest,
4,0.25,in_window,4.0,298.56465201692373,3.973228545642544,-0.026771454357456204,0.026771454357456204,6,thickness_grids_L4000mm.csv,135,66,197,2,1000,10,1.4849346733668345,1.6829346733668342,0.198,27.709236563188515,1,7.58861107333986,27.709236563188515,38.903832478338536,2567.652943570343,2576.4366272605,4294.061045434167,64.72759069789007,12.625812940000506,38.90383248407259,270.9362730755052,749.9999995834547,35763.58804596667,0.9999999994446064,0.3612483643013087,0.0075757575757575,0.3536726067255511,0.0150998600418534,0.0151515151515151,0.6463273932744489,30.0,30.0,3.0,30000.0,3000.0,10.0,6.599999999999998,65.99999999999999,10270.611774281371,1027.0611774281374,1030.5746509042,1.0034208998969862,298564.6520169237,710.9055634325499,710.9055634325499,13.478739563293374,13.478739563293374,1.0,10270.611774281371,13.478739563293374,710.9055634325499,60.90603969379118,60.906039693791186,2.5000000000000012e+16,0.6387516356986913,0.0075757575757575,0.6311758781229337,41.657607956113615,45110.98923263011,32.0,0,1,1,mechanical,298.56465201692373,29.85646520169237,pareto,closest,
4,0.25,in_window,5.0,317.368741672923,4.019866440722247,0.019866440722246637,0.019866440722246637,6,thickness_grids_L5000mm.csv,119,61,167,2,1250,10,1.2589547738693467,1.434954773869347,0.176,24.89660534346811,1,8.272414689440604,24.89660534346811,42.4888878635081,2492.681421325807,2507.8959342382877,4179.826557063813,71.9912976371121,14.016414597582877,42.48888786846237,261.2474062047105,749.9999996614908,30653.028994686018,0.9999999995486546,0.3483298750968311,0.0085227272727272,0.3398071478241038,0.0169420458334978,0.0170454545454545,0.6601928521758962,30.0,30.0,3.0,37500.0,3750.0,10.0,5.8666666666666645,58.66666666666664,9970.725685303229,997.0725685303228,1003.1583736953152,1.0061036732501454,317368.74167292303,584.6533478928914,584.6533478928914,11.761830063617994,11.761830063617994,1.0,9970.725685303229,11.761830063617994,584.6533478928914,65.19999343198599,65.19999343198597,2.499999999999999e+16,0.6516701249031689,0.0085227272727272,0.6431473976304416,37.73131399431923,43486.191669328146,32.0,0,1,1,mechanical,253.8949933383384,25.389499333833843,pareto,closest,
4,0.25,in_window,6.0,266.6103922675212,4.049944744089083,0.04994474408908278,0.04994474408908278,4,thickness_grids_L6000mm.csv,111,41,181,2,1500,10,1.3644120603015075,1.4644120603015076,0.1,35.09071538961841,1,6.203158182775863,35.09071538961841,54.57536378844836,2728.76818942242,2728.7681896971976,4547.946982828663,93.84295621450592,10.666400759038163,55.56972654208444,253.65952877240105,700.1968051543934,25365.95287724012,0.933595740205858,0.3622689034070486,0.0099999999999999,0.3522689034070486,0.019999999997986,0.0199999999999999,0.6477310965929514,20.0,20.0,2.0,30000.0,3000.0,10.0,5.000000000000004,50.00000000000004,10915.07275768968,1091.5072757689682,1091.507275878879,1.0000000001006963,266610.3922675212,406.70095156164894,406.70095156164894,6.827346022294644,6.827346022294644,1.0,10915.07275768968,6.827346022294644,406.70095156164894,85.57739159971138,85.57739159971138,2.5000000000000004e+16,0.6377310965929514,0.0099999999999999,0.6277310965929513,31.386554829647597,30468.612218032747,32.0,0,1,1,mechanical,177.7402615116808,17.77402615116808,pareto,closest,
4,0.25,in_window,7.0,283.7714605394886,3.9984498985605614,-0.001550101439438567,0.001550101439438567,3,thickness_grids_L7000mm.csv,103,39,165,2,1750,10,1.243889447236181,1.336889447236181,0.093,34.02604558868478,1,6.384881401328968,34.02604558868478,58.22941544484539,2707.6678181853094,2707.6678192916233,4512.779698819372,100.54082720573098,11.024346591769325,59.0611913073818,251.57137058737743,710.0454388023553,23396.137464626092,0.9467272517364738,0.3543031992596231,0.010752688172043,0.3435505110875801,0.0215053763352992,0.021505376344086,0.6564494889124198,20.0,20.0,2.0,35000.0,3500.0,10.0,4.649999999999999,46.499999999999986,10830.67127274124,1083.067127274124,1083.067127716649,1.0000000004085854,283771.4605394886,360.5978776548507,360.5978776548507,6.148121094899604,6.148121094899604,1.0,10830.67127274124,6.148121094899604,360.5978776548507,90.1807402144128,90.1807402144128,2.4999999999999996e+16,0.6456968007403768,0.010752688172043,0.6349441125683338,29.524901234427514,30536.43291183704,32.0,0,1,1,mechanical,162.15512030827918,16.21551203082792,pareto,closest,
4,0.25,in_window,8.0,301.08960844413554,3.968878544725098,-0.031121455274901955,0.031121455274901955,5,thickness_grids_L8000mm.csv,99,38,153,2,2000,10,1.153497487437186,1.242497487437186,0.089,33.44053103661741,1,6.4899406547290415,33.44053103661741,60.575986565218,2695.6314021522,2695.631404632826,4492.719007721377,105.74165165395485,11.32886285274697,61.65970593489307,246.1331308190446,699.9885776598967,21905.84864289496,0.933318103546529,0.3516244959908949,0.0112359550561797,0.3403885409347151,0.02247191009168,0.0224719101123595,0.6596114590652848,20.0,20.0,2.0,40000.0,4000.0,10.0,4.449999999999998,44.499999999999986,10782.5256086088,1078.25256086088,1078.2525618531306,1.0000000009202394,301089.6084441355,332.991548085076,332.991548085076,5.728253242357766,5.728253242357766,1.0,10782.5256086088,5.728253242357766,332.991548085076,93.42732134489668,93.42732134489668,2.4999999999999996e+16,0.648375504009105,0.0112359550561797,0.6371395489529252,28.35270992840516,31135.1080674663,32.0,0,1,1,mechanical,150.54480422206777,15.054480422206776,pareto,closest,
4,0.25,in_window,9.0,317.0035907278099,4.038277794103437,0.038277794103437124,0.038277794103437124,4,thickness_grids_L9000mm.csv,93,37,143,2,2250,10,1.0781708542713568,1.164170854271357,0.086,32.86756702542783,1,6.555612935905272,32.86756702542783,62.5155083271582,2688.1668580678047,2688.1668584729346,4480.278097454891,110.52764488423496,11.590347386865316,63.57949203204105,239.93575156537077,701.3741141226458,20634.4746346219,0.9351654854968612,0.342093822304104,0.0116279069767441,0.3304659153273598,0.0232558139499835,0.0232558139534883,0.6695340846726401,20.0,20.0,2.0,45000.0,4500.0,10.0,4.300000000000003,43.000000000000036,10752.66743227122,1075.266743227122,1075.2667433891738,1.0000000001507083,317003.59072780993,320.12886238585406,320.12886238585406,5.537610423402321,5.537610423402321,1.0,10752.66743227122,5.537610423402321,320.12886238585406,95.02192021679838,95.02192021679838,2.5e+16,0.657906177695896,0.0116279069767441,0.6462782707191518,27.78996564092355,32141.386152025072,32.0,0,1,1,mechanical,140.89048476791552,14.089048476791552,pareto,closest,
4,0.25,in_window,10.0,230.08574668305576,3.9648788705885054,-0.03512112941149459,0.03512112941149459,4,thickness_grids_L10000mm.csv,89,19,192,2,2500,10,1.4472713567839195,1.4822713567839194,0.035,65.8036231698364,1,3.692917983190649,65.8036231698364,87.49268336944746,3062.2439179306543,3062.2439180626225,5103.739863437704,154.44514673701835,6.518868068010605,90.0312088921394,240.68897913214084,671.5167401115568,16848.22853924982,0.8953556534820758,0.3584258809276385,0.0142857142857143,0.3441401666419241,0.0285714285701973,0.0285714285714286,0.6558598333580758,10.0,10.0,1.0,25000.0,2500.0,10.0,3.499999999999992,34.99999999999992,12248.975671722616,1224.8975671722617,1224.897567225049,1.0000000000430953,230085.74668305577,201.69250162910265,201.69250162910265,2.6885629169663203,2.6885629169663203,1.0,12248.975671722616,2.6885629169663203,201.69250162910265,136.37190274438018,136.37190274438018,2.4999999999999996e+16,0.6415741190723615,0.0142857142857143,0.6272884047866472,21.9550941675326,18517.08403641619,32.0,0,1,1,mechanical,92.03429867322232,9.20342986732223,pareto,closest,
6,0.25,outside_window,2.0,502.6548245743669,11.12607811670391,5.12607811670391,5.12607811670391,0,thickness_grids_L2000mm.csv,178,198,199,2,500,10,1.5,2.5,1.0,14.137166941154067,1,10.278138541776524,14.137166941154067,18.076602224811175,2259.575278101397,2328.031952495052,3880.05325415842,27.535854555988948,15.656555611109544,18.07660223387414,323.21964450189347,749.9999987514503,80804.91112547336,0.9999999983352672,0.4309595267199571,0.004,0.426959526719957,0.0077647569250231,0.008,0.5730404732800429,78.0,80.0,8.0,40000.0,4000.0,10.0,12.5,125.0,9038.301112405588,903.8301112405586,931.2127809980208,1.0302962574679857,502654.8245743669,2023.794126442345,2023.794126442345,49.547610530393854,49.547610530393854,1.0,9038.301112405588,49.547610530393854,2023.794126442345,31.76681286062951,31.76681286062952,2.5000000000000004e+16,0.5690404732800429,0.004,0.5650404732800429,70.63005916000536,128141.86079398802,32.0,0,1,1,mechanical,1005.3096491487338,100.53096491487338,pareto,closest,no design within +/-0.25 yr; nearest is 11.126 yr at 502.7 km
6,0.25,in_window,3.0,369.6584990952168,5.965888331269356,-0.03411166873064442,0.03411166873064442,5,thickness_grids_L3000mm.csv,145,111,180,2,750,10,1.3568793969849249,1.7808793969849246,0.424,17.352163202048185,1,10.12562522955062,17.352163202048185,27.475183908814813,2329.8955954674957,2340.7126819386126,3901.187803231021,44.35196015023144,16.34534378978719,27.47518391520888,287.817265585693,749.9999993706363,48813.808243333515,0.9999999991608484,0.3837563544362871,0.0058962264150943,0.3778601280211927,0.0117379566150166,0.0117924528301886,0.6221398719788073,50.0,50.0,5.0,37500.0,3750.0,10.0,8.479999999999999,84.79999999999998,9319.582381869985,931.9582381869984,936.2850727754452,1.0046427344178683,369658.4990952168,1092.3368980784255,1092.3368980784255,25.153226189845583,25.153226189845583,1.0,9319.582381869985,25.153226189845583,1092.3368980784255,44.584936666862845,44.584936666862845,2.5000000000000004e+16,0.6162436455637129,0.0058962264150943,0.6103474191486186,51.75746114380285,69233.61411615406,32.0,0,1,1,mechanical,492.8779987936224,49.28779987936224,pareto,closest,
