source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m
thickness_grids_L8000mm.csv,11,14,96,8.0,1.4545757575757576,1.4665347413529233,0.0119589837771655,53.17561851171512,3.781913204597589,53.17561851171512,7.33364470012771,267.9075807720975,2032.593659835126,2032.593659835126,3387.65609972521,749.9999999999998,0.131805774103334,192870.27859459983,1,192.87027859459985,96.43513929729993
thickness_grids_L8000mm.csv,12,14,97,8.0,1.4697171717171718,1.4816761554943374,0.0119589837771655,54.28844427642083,3.759633427518096,54.28844427642083,7.008115731111733,266.65559223494137,2034.8143431795688,2034.8143431795688,3391.357238632615,750.0000000000001,0.1310466446871362,193747.39985790444,1,193.74739985790444,96.87369992895222
thickness_grids_L8000mm.csv,13,14,98,8.0,1.484858585858586,1.4968175696357515,0.0119589837771655,55.412794027387896,3.7376489599097193,55.412794027387896,6.700600519409303,265.42365010568994,2037.010807778303,2037.0108077783027,3395.018012963838,749.9999999999999,0.1303005605528319,194620.97430596428,1,194.62097430596427,97.31048715298212
thickness_grids_L8000mm.csv,14,14,99,8.0,1.5,1.5119589837771656,0.0119589837771655,56.54866776461627,3.715952336024677,56.54866776461627,6.409922779504372,264.21123840032345,2039.1836118845588,2039.1836118845583,3398.6393531409312,750.0000000000001,0.1295671644576167,195491.05661273317,1,195.49105661273316,97.74552830636658
thickness_grids_L8000mm.csv,15,15,94,8.0,1.4242929292929294,1.4377254361799818,0.0134325068870523,50.98453894108769,4.054050069770227,50.98453894108769,6.390328375650489,255.0787511340711,2005.8911200000775,2005.8911200000775,3343.151866666796,750.0,0.1271648040069399,204778.81415980935,1,204.77881415980937,102.38940707990469
thickness_grids_L8000mm.csv,16,15,95,8.0,1.4394343434343435,1.452866850321396,0.0134325068870523,52.07431673327074,4.02982148680225,52.07431673327074,6.099853839324777,253.86013416077972,2008.2372947492152,2008.2372947492152,3347.062157915359,750.0000000000002,0.1264094312084176,205716.28611988577,1,205.71628611988575,102.85814305994288
thickness_grids_L8000mm.csv,17,15,96,8.0,1.4545757575757576,1.46800826446281,0.0134325068870523,53.17561851171512,4.005921715497156,53.17561851171512,5.825809288293448,252.6614064940913,2010.557526590883,2010.557526590883,3350.929210984805,750.0000000000001,0.1256673351309206,206649.8491059596,1,206.6498491059596,103.3249245529798
thickness_grids_L8000mm.csv,18,15,97,8.0,1.4697171717171718,1.4831496786042242,0.0134325068870523,54.28844427642083,3.982342268784643,54.28844427642083,5.567098951859296,251.4820468885718,2012.8524231974077,2012.8524231974077,3354.7540386623464,749.9999999999998,0.124938144491037,207579.5649090277,1,207.57956490902768,103.78978245451384
thickness_grids_L8000mm.csv,19,15,98,8.0,1.484858585858586,1.4982910927456383,0.0134325068870523,55.412794027387896,3.959074968557115,55.412794027387896,5.322710728882972,250.32155257377784,2015.122571823901,2015.122571823901,3358.537619706501,750.0000000000001,0.1242215019939011,208505.49349474165,1,208.50549349474164,104.25274674737082
thickness_grids_L8000mm.csv,20,15,99,8.0,1.5,1.5134325068870524,0.0134325068870523,56.54866776461627,3.936111931699223,56.54866776461627,5.0917090164961065,249.17943842658352,2017.36854015526,2017.36854015526,3362.2809002587674,750.0000000000001,0.1235170636731582,209427.69307606973,1,209.42769307606972,104.71384653803486
