row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m
15,27,7.0,0.40981818181818164,0.42325068870523397,0.013432506887052343,3.693434122126205,7.701951288158891,3.693434122126205,3095.306562501008,459.5026682356067,1709.8619170079628,1709.8619170079626,2849.7698616799375,749.9999999999999,0.26873671123085596,110220.31265849162,1,110.22031265849162,62.98303580485235
15,28,7.0,0.424959595959596,0.4383921028466483,0.013432506887052343,3.9713959957156213,7.565930105887862,3.9713959957156213,2609.844612840046,451.6208245591889,1719.1870981836805,1719.1870981836803,2865.3118303061337,750.0000000000002,0.2626944007643647,111658.63083241774,1,111.65863083241774,63.80493190423871
15,29,7.0,0.4401010101010101,0.45353351698806244,0.013432506887052343,4.259441357283701,7.436659332043128,4.259441357283701,2214.0507372308793,444.1418038603513,1728.1535268969526,1728.1535268969526,2880.2558781615876,749.9999999999999,0.25700367296524046,113071.46118857885,1,113.07146118857885,64.61226353633077
15,30,7.0,0.455242424242424,0.46867493112947634,0.013432506887052343,4.5575702068304444,7.3135881008748695,4.5575702068304444,1889.0409895042378,437.0329016805022,1736.7858279861348,1736.7858279861348,2894.643046643558,750.0,0.2516331574326913,114460.25958490191,1,114.46025958490192,65.40586261994395
15,31,7.0,0.47038383838383835,0.4838163452708907,0.013432506887052343,4.865782544355865,7.196226275570872,4.865782544355865,1620.3656679368949,430.26501379021215,1745.1062674677175,1745.1062674677175,2908.510445779529,750.0000000000001,0.24655519369290876,115826.35391127736,1,115.82635391127735,66.18648794930135
15,32,7.0,0.48552525252525247,0.4989577594123048,0.013432506887052343,5.184078369859948,7.084136107004318,5.184078369859948,1396.8672911173578,423.8121418187454,1753.1350409695387,1753.1350409695387,2921.8917349492312,750.0,0.24174529167152117,117170.95914477538,1,117.17095914477538,66.9548337970145
15,33,7.0,0.5006666666666666,0.5140991735537189,0.013432506887052343,5.5124576833427,6.976925251143251,5.5124576833427,1209.857125905336,417.6509793984291,1760.890519607129,1760.890519607129,2934.817532678548,750.0000000000001,0.2371816843511719,118495.19019716795,1,118.49519019716794,67.71153725552455
15,34,7.0,0.5158080808080807,0.529240587695133,0.013432506887052343,5.850920484804119,6.874240891157802,5.850920484804119,1052.5149864584016,411.76056377426784,1768.3894606009699,1768.3894606009699,2947.315767668283,750.0,0.23284495465966815,119800.07293778873,1,119.80007293778873,68.45718453587928
15,35,7.0,0.530949494949495,0.5443820018365473,0.013432506887052343,6.199466774244209,6.775764763487671,6.199466774244209,919.4473380867781,406.12198098482355,1775.64718851575,1775.64718851575,2959.4119808595833,750.0000000000001,0.228717722536028,121086.55369898213,1,121.08655369898213,69.19231639941836
15,36,7.0,0.5460909090909091,0.5595234159779614,0.013432506887052343,6.558096551662965,6.681208928075072,6.558096551662965,806.3588628229295,400.7181151448591,1782.677751890515,1782.677751890515,2971.129586484192,750.0000000000002,0.22478438109181587,122355.50751200061,1,122.35550751200061,69.91743286400035
15,37,7.0,0.5612323232323231,0.5746648301193754,0.013432506887052343,6.926809817060386,6.5903121546886645,6.926809817060386,709.8061756363891,395.5334342405111,1789.4940591510963,1789.4940591510963,2982.4900985851605,750.0000000000001,0.22103087306595756,123607.74527481999,1,123.60774527481999,70.63299729989714
15,38,7.0,0.5763737373737373,0.5898062442607896,0.013432506887052343,7.30560657043648,6.502836822046007,7.30560657043648,627.0115912899057,390.55380631590947,1796.1079969973125,1796.1079969973125,2993.513328328854,750.0000000000001,0.21744450053606318,124844.02001683276,1,124.84402001683276,71.33944000961871
15,39,7.0,0.5915151515151515,0.6049476584022039,0.013432506887052343,7.6944868117912435,6.418566245897285,7.6944868117912435,555.7211837565796,385.76634108360383,1802.5305339005265,1802.5305339005265,3004.2175565008774,750.0,0.21401376222395382,126065.03239578275,1,126.06503239578275,72.03716136901872
15,40,7.0,0.6066565656565657,0.620089072543618,0.013432506887052343,8.093450541124671,6.337302367693142,8.093450541124671,494.0957938273981,381.1592529057186,1808.771810894231,1808.771810894231,3014.6196848237187,749.9999999999998,0.21072821381337145,127271.43553941848,1,127.27143553941848,72.72653459395342
15,41,7.0,0.6217979797979797,0.635230486685032,0.013432506887052343,8.502497758436762,6.258863747689132,8.502497758436762,440.6267437082244,376.7217418196959,1814.8412214800194,1814.8412214800194,3024.7353691333656,750.0,0.2075783475495867,128463.83932492464,1,128.46383932492463,73.40790818567122
15,42,7.0,0.636939393939394,0.6503719008264464,0.013432506887052343,8.921628463727531,6.1830838162318225,8.921628463727531,394.0702201541099,372.44388986642053,1820.7474821709247,1820.7474821709247,3034.5791369515414,749.9999999999999,0.20455548806929885,129642.8141744306,1,129.6428141744306,74.08160809967463
15,43,7.0,0.652080808080808,0.6655133149678604,0.013432506887052343,9.35084265699696,6.109809344858636,9.35084265699696,353.3958656177602,368.31657044770355,1826.4986949547424,1826.4986949547424,3044.1644915912375,750.0000000000002,0.20165170195034265,130808.89443190722,1,130.80889443190722,74.74793967537555
15,44,7.0,0.6672222222222222,0.6806547291092745,0.013432506887052343,9.79014033824506,6.0388991053026695,9.79014033824506,317.74625696885096,364.331368821376,1832.1024027578078,1832.1024027578078,3053.5040045963465,750.0000000000002,0.19885971890706497,131962.58137692208,1,131.9625813769221,75.4071893582412
15,45,7.0,0.6823636363636364,0.6957961432506887,0.013432506887052343,10.23952150747183,5.97022268970115,10.23952150747183,286.40478186728774,360.48051215209136,1837.5656388267403,1837.5656388267403,3062.609398044567,749.9999999999999,0.1961728629091329,133104.34592207923,1,133.10434592207923,76.05962624118813
15,46,7.0,0.6975050505050506,0.710937557392103,0.013432506887052343,10.698986164677269,5.903659469595507,10.698986164677269,258.77003260000583,356.7568077894289,1842.8949708082528,1842.8949708082528,3071.4916180137548,750.0000000000001,0.1935849917876564,134234.63103395957,1,134.23463103395957,76.7055034479769
15,47,7.0,0.7126464646464646,0.726078971533517,0.013432506887052343,11.168534309861368,5.839097674836554,11.168534309861368,234.3352881529086,353.1535886536906,1848.0965401926364,1848.0965401926364,3080.160900321061,750.0000000000001,0.19109044412630066,135353.85391170476,1,135.35385391170476,77.345059378117
15,48,7.0,0.7277878787878788,0.7412203856749311,0.013432506887052343,11.648165943024138,5.776433576407639,11.648165943024138,212.67199119036158,349.6646647820234,1853.1760976916792,1853.1760976916792,3088.626829486132,750.0000000000001,0.18868399242660566,136462.4079524814,1,136.46240795248139,77.97851882998937
15,49,7.0,0.742929292929293,0.7563617998163453,0.013432506887052343,12.137881064165583,5.715570759580961,12.137881064165583,193.4163784996916,346.28428022989107,1858.1390350422662,1858.139035042266,3096.89839173711,750.0000000000002,0.18636080169426844,137560.66452882937,1,137.56066452882936,78.60609401647392
15,50,7.0,0.7580707070707071,0.7715032139577594,0.013432506887052343,12.63767967328569,5.656419475844755,12.63767967328569,176.25861355713238,343.00707464229015,1862.9904136580758,1862.9904136580758,3104.98402276346,749.9999999999999,0.18411639272409266,138648.9745996987,1,138.6489745996987,79.22798548554212
15,51,7.0,0.7732121212121214,0.7866446280991737,0.013432506887052343,13.147561770384469,5.598896063705946,13.147561770384469,160.93391423199722,339.8280489081943,1867.734990495431,1867.734990495431,3112.8916508257184,749.9999999999997,0.18194660946950098,139727.67017394747,1,139.72767017394747,79.84438295654141
15,52,7.0,0.7883535353535354,0.8017860422405877,0.013432506887052343,13.667527355461907,5.542922429873044,13.667527355461907,147.2152789154821,336.7425343951454,1872.3772414514178,1872.3772414514178,3120.6287357523634,750.0000000000001,0.17984758997290065,140797.0656425849,1,140.7970656425849,80.45546608147708
15,53,7.0,0.8034949494949495,0.8169274563820018,0.013432506887052343,14.197576428518017,5.488425583527216,14.197576428518017,134.9074990641903,333.74616533097935,1876.9213825695258,1876.9213825695258,3128.202304282543,750.0,0.17781574040894416,141857.45899400857,1,141.85745899400857,81.06140513943348
15,54,7.0,0.8186363636363637,0.832068870523416,0.013432506887052343,14.737708989552802,5.435337217368859,14.737708989552802,123.84221157317471,330.8348539592787,1881.3713892945066,1881.3713892945066,3135.6189821575113,750.0,0.17584771185626358,142909.13292468627,1,142.90913292468628,81.6623616712493
15,55,7.0,0.8337777777777777,0.8472102846648301,0.013432506887052343,15.287925038566247,5.383593329992539,15.287925038566247,113.87379518213051,328.0047681449855,1885.7310139864635,1885.7310139864635,3142.885023310773,750.0000000000001,0.17394037946672922,143952.35585616028,1,143.9523558561603,82.25848906066302
15,56,7.0,0.848919191919192,0.8623516988062443,0.013432506887052343,15.848224575558362,5.333133884846178,15.848224575558362,104.87595474934861,325.25231114961673,1890.003801879686,1890.003801879686,3150.0063364661437,750.0000000000002,0.172090823746566,144987.38286789568,1,144.9873828678957,82.84993306736897
15,57,7.0,0.8640606060606061,0.8774931129476584,0.013432506887052343,16.418607600529146,5.2839025016667245,16.418607600529146,96.73886829465997,322.57410333193167,1894.1931056475614,1894.1931056475617,3156.988509412603,750.0000000000001,0.17029631370221587,146014.4565544992,1,146.0144565544992,83.43683231685668
15,58,7.0,0.8792020202020202,0.8926345270890725,0.013432506887052343,16.999074113478596,5.2358461767873195,16.999074113478596,89.36679618472301,319.9669655608229,1898.3020987174891,1898.3020987174891,3163.836831195815,750.0000000000001,0.16855429163619196,147033.80781460242,1,147.03380781460243,84.01931875120138
15,59,7.0,0.8943434343434344,0.9077759412304868,0.013432506887052343,17.58962411440672,5.188915029186579,17.58962411440672,82.6760711904916,317.4279041545758,1902.3337874608717,1902.3337874608717,3170.5563124347864,750.0000000000002,0.16686235940657962,148045.65657824522,1,148.04565657824523,84.59751804471156
15,60,7.0,0.9094848484848485,0.9229173553719008,0.013432506887052343,18.1902576033135,5.143062069511571,18.1902576033135,76.5934035292484,314.95409718260595,1906.291022371028,1906.291022371028,3177.1517039517134,749.9999999999999,0.16521826598693667,149050.21247827023,1,149.05021247827023,85.17154998758299
15,61,7.0,0.9246262626262627,0.938058769513315,0.013432506887052343,18.80097458019896,5.098242989663751,18.80097458019896,71.05444727208743,312.5428819866956,1910.1765083272028,1910.176508327203,3183.627513878672,750.0000000000002,0.163619896184567,150047.67547117214,1,150.04767547117214,85.7415288406698
15,62,7.0,0.9397676767676768,0.9532001836547291,0.013432506887052343,19.421775045063086,5.054415970819021,19.421775045063086,66.00258432653402,310.1917437952502,1913.9928140324216,1913.9928140324218,3189.98802338737,750.0000000000002,0.1620652603923495,151038.23641198603,1,151.03823641198602,86.30756366399201
15,63,7.0,0.954909090909091,0.9683415977961434,0.013432506887052343,20.05265899790588,5.011541507990839,20.05265899790588,61.38789010689483,307.89830531903556,1917.742380704392,1917.742380704392,3196.237301173987,749.9999999999998,0.16055248526444083,152022.0775872189,1,152.0220775872189,86.86975862126793
15,64,7.0,0.970050505050505,0.9834830119375574,0.013432506887052343,20.693626438727332,4.9695822494877975,20.693626438727332,57.16625138090579,305.66031723001237,1921.4275300880265,1921.4275300880265,3202.3792168133778,750.0000000000001,0.15907980521961665,152999.37320968084,1,152.99937320968084,87.42821326267476
15,65,7.0,0.9851919191919192,0.9986244260789715,0.013432506887052343,21.344677367527463,4.928502849786053,21.344677367527463,53.29861194776559,303.475649435776,1925.0504718525237,1925.0504718525237,3208.41745308754,749.9999999999998,0.15764555468705913,153970.2898783961,1,153.9702898783961,87.98302278765492
15,66,7.0,1.0003333333333333,1.0137658402203857,0.013432506887052343,22.005811784306257,4.888269834508553,22.005811784306257,49.75032600027975,301.34228307237356,1928.6133104288322,1928.6133104288322,3214.355517381387,749.9999999999998,0.15624816101957179,154934.9870066851,1,154.9349870066851,88.53427828953436
15,67,7.0,1.0154747474747474,1.0289072543617999,0.013432506887052343,22.677029689063723,4.848851476353004,22.677029689063723,46.49060244706388,299.2583031462556,1932.1180513371226,1932.1180513371226,3220.1967522285377,750.0,0.1548861380075373,155893.61722094318,1,155.89361722094318,89.0820669833961
15,68,7.0,1.0306161616161618,1.0440486685032142,0.013432506887052343,23.35833108179986,4.810217680933616,23.35833108179986,43.49202627180705,297.22189176429805,1935.5666070490736,1935.5666070490738,3225.94434508179,750.0000000000003,0.15355807993476217,156846.3267327226,1,156.84632673272262,89.62647241869863
15,69,7.0,1.0457575757575759,1.0591900826446283,0.013432506887052343,24.049715962514657,4.772339881604123,24.049715962514657,40.730145305567724,295.2313218967556,1938.9608024260713,1938.960802426071,3231.601337376785,750.0000000000001,0.1522626561235047,157793.25568601585,1,157.79325568601584,90.16757467772334
15,70,7.0,1.06089898989899,1.0743314967860425,0.013432506887052343,24.751184331208123,4.73519094245315,24.751184331208123,38.18311267942329,293.28495162459905,1942.3023797681196,1942.3023797681196,3237.170632946866,749.9999999999999,0.15099860592232434,158734.53848209602,1,158.734538482096,90.70545056119772
15,71,7.0,1.0760404040404041,1.0894729109274566,0.013432506887052343,25.462736187880257,4.698745068708546,25.462736187880257,35.8313767887013,291.3812188268728,1945.5930035083732,1945.593003508373,3242.6550058472885,750.0,0.14976473409466534,159670.30408321816,1,159.67030408321816,91.24017376183895
15,72,7.0,1.0911818181818183,1.1046143250688707,0.013432506887052343,26.184371532531063,4.662977723914778,26.184371532531063,33.65741189189955,289.5186362691919,1948.8342645803973,1948.834264580397,3248.057107633995,750.0000000000003,0.14855990657139234,160600.67629727762,1,160.60067629727763,91.77181502701578
15,73,7.0,1.1063232323232324,1.1197557392102848,0.013432506887052343,26.91609036516053,4.627865553261111,26.91609036516053,31.645483543469226,287.695787057649,1952.0276844873374,1952.0276844873374,3253.3794741455627,749.9999999999998,0.14738304653358786,161525.77404445477,1,161.52577404445478,92.30044231111701
15,74,7.0,1.1214646464646465,1.134897153351699,0.013432506887052343,27.65789268576867,4.593386312544709,27.65789268576867,29.78144395245176,285.9113204267253,1955.1747190954125,1955.1747190954125,3258.6245318256874,750.0,0.14623313079610908,162445.71160755894,1,162.44571160755893,92.82612091860511
15,75,7.0,1.1366060606060606,1.150038567493113,0.013432506887052343,28.409778494355475,4.559518802276876,28.409778494355475,28.052553106524034,284.1639478322512,1958.2767621745252,1958.2767621745252,3263.794603624209,750.0000000000005,0.14510918646489357,163360.59886704548,1,163.3605988670455,93.3489136383117
15,76,7.0,1.1517474747474747,1.1651799816345272,0.013432506887052343,29.17174779092095,4.52624280649556,29.17174779092095,26.447322125548286,282.4524393236609,1961.335148706085,1961.3351487060847,3268.8919145101413,750.0,0.14401028784397096,164270.5415218453,1,164.2705415218453,93.86888086962588
15,77,7.0,1.1668888888888889,1.1803213957759413,0.013432506887052343,29.94380057546509,4.493539035893015,29.94380057546509,24.95537583285869,280.7756201722787,1964.351157975975,1964.3511579759747,3273.9185966266245,750.0000000000001,0.1429355535705662,165175.64129710596,1,165.17564129710595,94.3860807412034
15,78,7.0,1.1820303030303032,1.1954628099173557,0.013432506887052343,30.725936847987914,4.4613890749065765,30.725936847987914,23.567331973389386,279.1323677344983,1967.3260164688172,1967.3260164688172,3278.8766941146955,749.9999999999999,0.14188414395877158,166075.9961397744,1,166.0759961397744,94.90056922272822
15,79,7.0,1.197171717171717,1.2106042240587696,0.013432506887052343,31.518156608489384,4.4297753324411895,31.518156608489384,22.274694879695698,277.5216085305719,1970.2609005794309,1970.2609005794309,3283.768167632385,750.0000000000003,0.14085525853401243,166971.70040273605,1,166.97170040273605,95.41240023013489
15,80,7.0,1.2123131313131315,1.225745638200184,0.013432506887052343,32.320459856969535,4.398680995938877,32.320459856969535,21.069761700544966,275.94231552181344,1973.1569391545079,1973.156939154508,3288.594898590847,750.0000000000003,0.13984813374249588,167862.84501843114,1,167.86284501843113,95.92162572481779
15,81,7.0,1.2274545454545456,1.240887052341598,0.013432506887052343,33.132846593428354,4.368089988523843,33.132846593428354,19.945539572973455,274.3935055703801,1976.0152158776054,1976.0152158776052,3293.358693129342,750.0000000000001,0.1388620408211351,168749.5176625925,1,168.7495176625925,96.42829580719571
15,82,7.0,1.2425959595959597,1.2560284664830121,0.013432506887052343,33.955316817865835,4.337986928985683,33.955316817865835,18.89567234415256,272.87423706725025,1978.8367715085565,1978.8367715085562,3298.061285847594,750.0,0.13789628381487268,169631.80290875986,1,169.63180290875985,96.93245880500564
15,83,7.0,1.2577373737373738,1.2711698806244263,0.013432506887052343,34.787870530281985,4.3083570943785165,34.787870530281985,17.914375641452114,271.38360771551635,1981.622605988045,1981.622605988045,3302.7043433134086,749.9999999999998,0.1369501977296042,170509.7823742586,1,170.50978237425858,97.43416135671919
15,84,7.0,1.272878787878788,1.2863112947658404,0.013432506887052343,35.630507730676804,4.279186385038232,35.630507730676804,16.99637925253454,269.92075245688324,1984.3736804167397,1984.3736804167397,3307.289467361233,750.0000000000002,0.13602314680982716,171383.53485810407,1,171.38353485810407,97.93344849034519
15,85,7.0,1.288020202020202,1.3014527089072545,0.013432506887052343,36.48322841905029,4.250461291828003,36.48322841905029,16.136875917120555,268.48484153061986,1987.090918918478,1987.090918918478,3311.8181981974635,750.0000000000001,0.13511452293121504,172253.13647134157,1,172.25313647134158,98.43036369790947
15,86,7.0,1.3031616161616162,1.3165941230486686,0.013432506887052343,37.34603259540244,4.22216886545563,37.34603259540244,15.331475751249455,267.07507865505585,1989.7752103946536,1989.7752103946536,3316.292017324423,750.0000000000001,0.1342237440992563,173118.66076040763,1,173.11866076040764,98.92494900594721
15,87,7.0,1.3183030303030305,1.331735537190083,0.013432506887052343,38.218920259733274,4.194296687698098,38.218920259733274,14.576165627641172,265.69069932252927,1992.4274101783783,1992.4274101783785,3320.7123502972977,749.9999999999998,0.133350253045727,173980.17882381336,1,173.98017882381336,99.41724504217906
15,88,7.0,1.3334444444444444,1.3468769513314969,0.013432506887052343,39.101891412042754,4.166832844405536,39.101891412042754,13.86727292334261,264.3309691995356,1995.0483415941715,1995.0483415941717,3325.08056932362,749.9999999999999,0.1324935159156686,174837.75942272283,1,174.83775942272283,99.90729109869876
15,89,7.0,1.3485858585858588,1.3620183654729112,0.013432506887052343,39.994946052330924,4.139765900145004,39.994946052330924,13.201433121869243,262.99518262434964,1997.6387974305842,1997.638797430584,3329.3979957176402,749.9999999999999,0.1316530210379479,175691.46908560602,1,175.69146908560603,100.39512519177487
15,90,7.0,1.363727272727273,1.3771597796143253,0.013432506887052343,40.89808418059775,4.113084874374979,40.89808418059775,12.575560821979394,261.682661195217,2000.1995413308157,2000.1995413308155,3333.665902218026,750.0000000000003,0.1308282777732809,176541.37220744332,1,176.54137220744332,100.88078411853904
15,91,7.0,1.378868686868687,1.3923011937557395,0.013432506887052343,41.81130579684324,4.086779219038403,41.81130579684324,11.986823761713685,260.3927524428236,2002.7313091070992,2002.7313091070992,3337.8855151784987,750.0000000000001,0.13001881543406715,177387.53114386369,1,177.3875311438637,101.36430351077925
15,92,7.0,1.3940101010101011,1.4074426078971536,0.013432506887052343,42.734610901067406,4.060838797474279,42.734610901067406,11.432619514976928,259.1248285808097,2005.234809983929,2005.234809983929,3342.0580166398818,749.9999999999998,0.12922418227064714,178230.00630025865,1,178.23000630025865,101.84571788586209
