conductor_length_m,n_pancakes,thickness_m,scan_bin,scan_yr_mid,pancake_length_p60_m,rebco_total_km,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged
2.0,500,0.004,5.0,5.0,4124.546942404916,2062.273471202458,39,37,2.0,0.9444067796610168,1.244325600222063,0.2999188205610461,2.0622734712024573,0.4124546942404913,5.603999147891443,5.603999147891443,24.466557827931496,5.189634936162269,96.13259829156269,261.60301447285866,750.0,4124.546942404919,2062273.4712024592,523.2060289457173,5.442545382564967,True
2.0,500,0.004,6.0,6.0,4124.546942404914,2062.273471202457,39,35,2.0,0.8938983050847458,1.2064394778569236,0.3125411727721778,2.0622734712024573,0.4124546942404913,5.020605482369536,5.020605482369536,25.67202478398738,6.176290150006685,94.68267620315804,254.81954897322737,749.9999999999999,4124.546942404914,2062273.471202457,509.6390979464547,5.382601320361245,True
2.0,500,0.004,7.0,7.0,3914.9662912346257,1957.4831456173129,37,35,2.0,0.8938983050847458,1.192535289675537,0.2986369845907912,1.9574831456173136,0.3914966291234626,5.020605482369536,5.020605482369536,25.09448576188942,6.764800314662642,96.53617974742166,258.020618177445,750.0000000000001,3914.9662912346257,1957483.1456173123,516.04123635489,5.345573418225851,True
2.0,500,0.004,8.0,8.0,3810.175965649479,1905.0879828247396,36,34,2.0,0.8686440677966102,1.166597983669307,0.2979539158726968,1.9050879828247416,0.3810175965649482,4.740930453429728,4.740930453429728,25.42753034468253,7.768309080864761,96.80001939742654,256.16396543301374,750.0,3810.175965649479,1905087.9828247395,512.3279308660275,5.292642853330336,True
2.0,500,0.004,9.0,9.0,3495.8049888940477,1747.9024944470239,33,34,2.0,0.8686440677966102,1.1449529075844291,0.2763088397878189,1.7479024944470258,0.349580498889405,4.740930453429728,4.740930453429728,24.486517413329608,9.033064956077634,99.99238361074076,261.4874584880886,750.0000000000001,3495.8049888940477,1747902.4944470238,522.9749169761772,5.230147518155586,True
2.0,500,0.004,10.0,10.0,3370.056598191879,1685.0282990959395,31,34,2.0,0.8686440677966102,1.130292601044468,0.2616485332478578,1.6431121688618822,0.3286224337723764,4.740930453429728,4.740930453429728,23.82806547301205,10.073678417511678,102.38904441624967,265.35980460702604,750.0000000000001,3286.224337723765,1643112.1688618823,530.7196092140521,5.183363242032798,True
2.0,500,0.004,11.0,11.0,3998.798551702743,1999.3992758513716,37,30,2.0,0.7676271186440679,1.1010620466467498,0.3334349280026819,1.9574831456173136,0.3914966291234626,3.7023756964781342,3.7023756964781342,28.61415679395557,11.044932643686296,93.37042619064096,239.77721902039607,750.0,3914.96629123463,1957483.1456173148,479.55443804079215,5.136042081050934,True
2.0,500,0.004,12.0,12.0,3663.469509830281,1831.7347549151405,35,30,2.0,0.7676271186440679,1.0858092990740869,0.318182180430019,1.8526928200321695,0.3705385640064338,3.7023756964781342,3.7023756964781342,27.95202871804542,12.129238805348324,95.22943829973808,242.9902323454549,750.0000000000002,3705.385640064338,1852692.820032169,485.9804646909098,5.103258754517367,True
2.0,500,0.004,13.0,13.0,3726.3437051813694,1863.1718525906847,36,29,2.0,0.7423728813559323,1.0758837455579298,0.3335108642019975,1.9050879828247416,0.3810175965649482,3.4627733469421456,3.4627733469421456,29.100101579470905,12.905166041272787,93.75640871375874,237.47792640305713,750.0000000000001,3810.175965649484,1905087.982824742,474.95585280611425,5.065849463754199,True
2.0,500,0.004,14.0,14.0,3600.5953144791974,1800.2976572395987,34,29,2.0,0.7423728813559323,1.0602688514455143,0.3178959700895822,1.800297657239598,0.3600595314479195,3.4627733469421456,3.4627733469421456,28.4107058275223,14.204093524710297,95.6689933707874,240.75449009303347,750.0000000000001,3600.5953144791974,1800297.6572395987,481.50898018606694,5.033072505737226,True
