row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged
3,6,3.0,0.16152542372881357,0.2865801064729143,0.12505468274410075,0.17604761066986852,0.03520952213397369,0.2458968160578109,0.2458968160578109,33.798986392982464,6.275450883009123e-09,217.52054131442452,217.5085208065537,587.0950559769791,352.0952213397371,264071.41600480286,435.0170416131074,1.9998894770323925,True
3,7,3.0,0.18677966101694918,0.3015366257768044,0.11475696475985522,0.17604761066986852,0.03520952213397369,0.32879885247544327,0.32879885247544327,31.984223179136706,2.5016466227478808e-08,224.76071661593105,224.76891333445738,662.4945114574299,352.0952213397368,264071.41600480257,449.53782666891476,2.0000729372877055,True
3,8,3.0,0.21203389830508476,0.31779878688520063,0.10576488858011587,0.17604761066986852,0.03520952213397369,0.42372269271422125,0.42372269271422125,30.336836684119675,8.524987248845768e-08,231.8290507435447,231.83903836088402,734.1156952642351,352.09522133973707,264071.4160048028,463.67807672176804,2.000086163639175,True
3,9,3.0,0.23728813559322035,0.3351766015230787,0.09788846592985836,0.17604761066986852,0.03520952213397369,0.5306683367741449,0.5306683367741449,27.885491958119918,2.937835519221892e-07,230.8180809118483,243.31835649599438,749.9999999999999,352.0952213397366,264071.41600480245,486.63671299198876,2.1083127936491253,True
3,10,3.0,0.26254237288135596,0.3535055762974993,0.09096320341614333,0.17604761066986852,0.03520952213397369,0.6496357846552144,0.6496357846552144,25.555461703769474,9.353902749773035e-07,228.26175392975122,255.45856052407817,750.0000000000002,352.09522133973667,264071.4160048025,510.91712104815633,2.238294905967444,True
3,11,3.0,0.28779661016949154,0.37264538604456704,0.0848487758750755,0.17604761066986852,0.03520952213397369,0.7806250363574295,0.7806250363574295,23.573849953668994,2.693369031952602e-06,226.41206453047968,266.88884798567,749.9999999999999,352.09522133973724,264071.4160048029,533.77769597134,2.3575497051283794,True
3,12,3.0,0.3130508474576271,0.3924774235662386,0.07942657610861148,0.17604761066986852,0.03520952213397369,0.9236360918807904,0.9236360918807904,21.86885476747564,7.127667577292966e-06,225.10255304031588,277.66798398220044,750.0000000000001,352.09522133973707,264071.4160048028,555.3359679644009,2.467035404369404,True
3,13,3.0,0.3383050847457627,0.4129019560138845,0.07459687126812181,0.17604761066986852,0.03520952213397369,1.0786689512252967,1.0786689512252967,20.387154082474357,1.755392786885414e-05,224.21589501867155,287.84750544627457,750.0000000000003,352.0952213397377,264071.41600480326,575.6950108925491,2.5675923236602305,True
3,14,3.0,0.36355932203389835,0.43383530925110503,0.07027598721720668,0.17604761066986852,0.03520952213397369,1.2457236143909494,1.2457236143909494,19.088262409432176,4.063209547317476e-05,223.66746955309233,297.4733926150306,750.0,352.0952213397365,264071.4160048024,594.9467852300612,2.6599611754843844,True
3,15,3.0,0.38881355932203393,0.455207292151524,0.06639373282949007,0.17604761066986852,0.03520952213397369,1.424800081377747,1.424800081377747,17.940866056072704,8.910254895162445e-05,223.39500411406425,306.58709170640924,750.0,352.0952213397366,264071.41600480245,613.1741834128185,2.744798102556202,True
