target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,ri,rf,th,v,v_bore,b0,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,pancake_length_m,search_pool,pick_rule,note
2.0,0.25,in_window,8.0,417.4887157759314,2.0068649090662007,0.006864909066200742,0.006864909066200742,10,thickness_grids_L8000mm.csv,64,33,149,1.5,1.5215226341155803,0.0215226341155803,56.54866776461627,56.54866776461627,4.967682138293059,1281.0631854890296,1281.0631854890296,196.3384727435471,750.0,417488.71577593137,3202.6579637225736,True,0.1532621302114754,208.7443578879657,pareto,closest,
2.0,0.25,in_window,9.0,418.2683566181803,2.0102881160135544,0.010288116013554394,0.010288116013554394,8,thickness_grids_L9000mm.csv,62,30,146,1.47,1.4881344083599837,0.0181344083599837,61.09800808627965,61.09800808627965,4.655484263056321,1299.676551282495,1299.676551282495,215.04426629106015,750.0,418268.35661818035,3249.191378206237,True,0.1654598338939475,185.89704738585797,pareto,closest,
2.0,0.25,in_window,10.0,414.53713807481313,1.9943989259179329,-0.0056010740820671145,0.0056010740820671145,10,thickness_grids_L10000mm.csv,62,27,146,1.47,1.485068870771587,0.0150688707715868,67.88667565142183,67.88667565142183,4.2726290525239445,1323.3288342688402,1323.3288342688402,235.2796050767503,750.0,414537.1380748131,3308.3220856721,True,0.1777937569135988,165.81485522992526,pareto,closest,
3.0,0.25,outside_window,2.0,693.0658598845341,5.816118778106168,2.8161187781061683,2.8161187781061683,0,thickness_grids_L2000mm.csv,53,149,149,1.5,1.9,0.4,14.137166941154067,14.137166941154067,12.087644442409593,972.5815241592404,972.5815241592404,47.32961753765375,749.9999999999999,693065.8598845341,2431.453810398101,True,0.0486639077156728,1386.1317197690682,pareto,closest,no design within +/-0.25 yr; nearest is 5.816 yr at 693.1 km
3.0,0.25,in_window,3.0,565.5106934335457,2.9804064950315547,-0.019593504968445252,0.019593504968445252,9,thickness_grids_L3000mm.csv,74,93,148,1.49,1.6470516643394442,0.1570516643394441,20.9239495507041,20.9239495507041,10.304574263132972,1033.7107848922672,1033.7107848922672,75.53631211057979,750.0000000000002,565510.6934335458,2584.276962230668,True,0.073072965102567,754.0142579113943,pareto,closest,
3.0,0.25,in_window,4.0,459.06237901367666,2.9998777038706894,-0.00012229612931058398,0.00012229612931058398,8,thickness_grids_L4000mm.csv,61,63,149,1.5,1.5731527408675283,0.0731527408675285,28.274333882308134,28.274333882308134,8.005081840164735,1126.3159378333955,1126.3159378333955,109.814217231456,750.0,459062.37901367666,2815.7898445834885,True,0.0974985912413677,459.06237901367666,pareto,closest,
3.0,0.25,in_window,5.0,417.9114994442856,2.985521789624432,-0.014478210375568068,0.014478210375568068,7,thickness_grids_L5000mm.csv,55,49,148,1.49,1.5350430160803568,0.0450430160803567,34.8732492511735,34.8732492511735,6.7293002999452245,1186.062916099533,1186.062916099533,138.95187271737484,750.0,417911.4994442856,2965.1572902488315,True,0.1171538801451863,334.3291995554285,pareto,closest,
3.0,0.25,in_window,6.0,391.9518415646921,3.0382113122680794,0.03821131226807939,0.03821131226807939,8,thickness_grids_L6000mm.csv,52,40,148,1.49,1.5206833926399712,0.0306833926399711,41.8478991014082,41.8478991014082,5.75554037630646,1236.5843426109816,1236.5843426109816,167.00832309099417,749.9999999999999,391951.8415646921,3091.460856527454,True,0.1350561521249452,261.3012277097947,pareto,closest,
3.0,0.25,in_window,7.0,378.04784815025016,3.0410628706121967,0.04106287061219671,0.04106287061219671,6,thickness_grids_L7000mm.csv,48,34,148,1.49,1.5127237511823792,0.0227237511823791,48.8225489516429,48.8225489516429,5.060521309472756,1275.6401204366127,1275.6401204366125,192.8336729758851,750.0000000000001,378047.84815025015,3189.100301091531,True,0.1511662026668493,216.02734180014295,pareto,closest,
3.0,0.25,in_window,8.0,374.013124998054,2.983257252127047,-0.016742747872953156,0.016742747872953156,6,thickness_grids_L8000mm.csv,50,30,147,1.48,1.4981344083599837,0.0181344083599837,55.05075638738466,55.05075638738466,4.600728062493529,1303.002454636884,1303.002454636884,215.4248414274347,749.9999999999998,374013.12499805394,3257.50613659221,True,0.1653295745229187,187.00656249902696,pareto,closest,
