candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
2,thickness_grids_L4000mm.csv,82,70,149,4.0,1.5,1.5898428899599115,0.0898428899599117,28.274333882308134,28.274333882308134,8.81178773241193,2.0431984380750494,1091.815303561786,1091.815303561786,98.62312123750468,750.0,525180.1343586241,2729.538258904465,True,0.0903294915502378,525.1801343586241,525.1801343586241,0.04319843807504942,0.04319843807504942,2.0,0.25,pareto,closest
3,thickness_grids_L4000mm.csv,85,71,149,4.0,1.5,1.5923706139363092,0.0923706139363091,28.274333882308134,28.274333882308134,8.925801401429846,1.9407865644987257,1087.124988335124,1087.124988335124,97.1951113373019,750.0,534870.8434788508,2717.81247083781,True,0.0894056455147362,534.8708434788508,534.8708434788508,-0.059213435501274336,0.059213435501274336,2.0,0.25,pareto,closest
4,thickness_grids_L4000mm.csv,86,72,147,4.0,1.48,1.5749341921535065,0.0949341921535066,27.52537819369233,27.52537819369233,9.130251972052394,1.938649186376638,1078.8240113866448,1078.8240113866448,96.30029627081284,749.9999999999999,542200.7966265992,2697.060028466612,True,0.0892641387792576,542.2007966265992,542.2007966265992,-0.06135081362336203,0.06135081362336203,2.0,0.25,pareto,closest
5,thickness_grids_L4000mm.csv,81,70,148,4.0,1.49,1.5798428899599115,0.0898428899599117,27.8985994009388,27.8985994009388,8.855945434309481,2.0940812669122,1089.9934757410977,1089.9934757410977,98.87811549747772,750.0,524004.18885267247,2724.983689352744,True,0.0907144104053003,524.0041888526724,524.0041888526724,0.09408126691219998,0.09408126691219998,2.0,0.25,pareto,closest
6,thickness_grids_L4000mm.csv,87,72,148,4.0,1.49,1.5849341921535065,0.0949341921535066,27.8985994009388,27.8985994009388,9.084695371546696,1.8910011077255109,1080.6616116662003,1080.6616116662003,96.0513247174702,750.0000000000001,543413.8875061183,2701.654029165501,True,0.0888819623835578,543.4138875061183,543.4138875061183,-0.10899889227448911,0.10899889227448911,2.0,0.25,pareto,closest
7,thickness_grids_L4000mm.csv,80,70,147,4.0,1.48,1.5698428899599115,0.0898428899599117,27.52537819369233,27.52537819369233,8.900447618514843,2.146756988668803,1088.1641709636606,1088.1641709636606,99.13554531685816,750.0,522823.1053522248,2720.4104274091515,True,0.0911034823257094,522.8231053522247,522.8231053522247,0.14675698866880316,0.14675698866880316,2.0,0.25,pareto,closest
8,thickness_grids_L4000mm.csv,79,69,149,4.0,1.5,1.5873510202243142,0.0873510202243142,28.274333882308134,28.274333882308134,8.697454734016906,2.1527715572778026,1096.5635781337248,1096.5635781337248,100.09028435761633,750.0,515549.9054058849,2741.408945334312,True,0.0912763166254008,515.5499054058849,515.5499054058849,0.15277155727780256,0.15277155727780256,2.0,0.25,pareto,closest
9,thickness_grids_L4000mm.csv,88,72,149,4.0,1.5,1.5949341921535063,0.0949341921535066,28.274333882308134,28.274333882308134,9.039490164188216,1.844976799067348,1082.4918412862733,1082.4918412862733,95.8046996535377,749.9999999999999,544621.6150219459,2706.229603215683,True,0.088503853793205,544.6216150219459,544.6216150219459,-0.15502320093265198,0.15502320093265198,2.0,0.25,pareto,closest
10,thickness_grids_L4000mm.csv,89,73,147,4.0,1.48,1.577533624611504,0.097533624611504,27.52537819369233,27.52537819369233,9.244651108484398,1.8444554813620289,1074.239616482526,1074.239616482526,94.93790748284049,749.9999999999998,551979.196860303,2685.5990412063147,True,0.0883768444452865,551.9791968603031,551.9791968603031,-0.15554451863797114,0.15554451863797114,2.0,0.25,pareto,closest
11,thickness_grids_L4000mm.csv,90,73,148,4.0,1.49,1.587533624611504,0.097533624611504,27.8985994009388,27.8985994009388,9.19857245606502,1.7990843483714145,1076.081007274748,1076.081007274748,94.69300788767144,749.9999999999998,553208.3544540023,2690.20251818687,True,0.0879980291887952,553.2083544540023,553.2083544540023,-0.2009156516285855,0.2009156516285855,2.0,0.25,pareto,closest
12,thickness_grids_L4000mm.csv,78,69,148,4.0,1.49,1.5773510202243142,0.0873510202243142,27.8985994009388,27.8985994009388,8.741083679845557,2.2063385252803016,1094.7463205138872,1094.7463205138872,100.34962719358458,749.9999999999999,514389.793807948,2736.865801284718,True,0.0916647311922265,514.389793807948,514.389793807948,0.2063385252803016,0.2063385252803016,2.0,0.25,pareto,closest
13,thickness_grids_L4000mm.csv,91,73,149,4.0,1.5,1.597533624611504,0.097533624611504,28.274333882308134,28.274333882308134,9.152848579568106,1.7552603588482398,1077.91508160531,1077.91508160531,94.45041186901298,750.0000000000002,554432.0338183577,2694.787704013275,True,0.0876232399757785,554.4320338183577,554.4320338183577,-0.24473964115176017,0.24473964115176017,2.0,0.25,pareto,closest
0,thickness_grids_L4000mm.csv,61,63,149,4.0,1.5,1.5731527408675283,0.0731527408675285,28.274333882308134,28.274333882308134,8.005081840164735,2.9998777038706894,1126.3159378333955,1126.3159378333955,109.814217231456,750.0,459062.37901367666,2815.7898445834885,True,0.0974985912413677,459.06237901367666,459.06237901367666,-0.00012229612931058398,0.00012229612931058398,3.0,0.25,pareto,closest
1,thickness_grids_L4000mm.csv,62,64,147,4.0,1.48,1.555429485158326,0.0754294851583262,27.52537819369233,27.52537819369233,8.203401588890332,2.9747768272060924,1117.6140905109255,1117.6140905109255,108.64277040708004,749.9999999999998,466153.4132864855,2794.0352262773135,True,0.0972095567955958,466.1534132864855,466.1534132864855,-0.025223172793907622,0.025223172793907622,3.0,0.25,pareto,closest
2,thickness_grids_L4000mm.csv,60,63,148,4.0,1.49,1.5631527408675283,0.0731527408675285,27.8985994009388,27.8985994009388,8.045470919425465,3.074166474539516,1124.5317133952983,1124.5317133952983,110.1022521957445,750.0000000000002,457996.5883699061,2811.3292834882454,True,0.0979094238821534,457.99658836990614,457.99658836990614,0.07416647453951608,0.07416647453951608,3.0,0.25,pareto,closest
3,thickness_grids_L4000mm.csv,63,64,148,4.0,1.49,1.565429485158326,0.0754294851583262,27.8985994009388,27.8985994009388,8.162142128479594,2.902128565414851,1119.412300805847,1119.412300805847,108.35712207805489,750.0,467239.3480939134,2798.5307520146175,True,0.0967982234964278,467.2393480939134,467.2393480939134,-0.0978714345851488,0.0978714345851488,3.0,0.25,pareto,closest
4,thickness_grids_L4000mm.csv,59,63,147,4.0,1.48,1.5531527408675283,0.0731527408675285,27.52537819369233,27.52537819369233,8.086178809739398,3.151061773197717,1122.7396675836285,1122.7396675836285,110.39307343018793,749.9999999999999,456926.4037484126,2806.849168959071,True,0.0983247288908719,456.9264037484126,456.9264037484126,0.15106177319771685,0.15106177319771685,3.0,0.25,pareto,closest
