candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
10,thickness_grids_L10000mm.csv,78,30,147,10.0,1.48,1.4981344083599837,0.0181344083599837,68.81344548423083,68.81344548423083,4.805863145507455,1.1909073798014729,1935.9561506015857,1935.9561506015857,220.044741190939,750.0000000000001,321411.7766136918,3226.593584335976,True,0.1136620481422378,321.4117766136918,128.56471064547674,0.19090737980147288,0.19090737980147288,1.0,0.25,pareto,closest
11,thickness_grids_L10000mm.csv,77,30,146,10.0,1.47,1.4881344083599837,0.0181344083599837,67.88667565142183,67.88667565142183,4.82218191282498,1.229188333215041,1934.4972067859553,1934.4972067859553,220.6715014459034,749.9999999999999,320404.0961022214,3224.1620113099257,True,0.1140717601823448,320.4040961022214,128.16163844088857,0.22918833321504106,0.22918833321504106,1.0,0.25,pareto,closest
0,thickness_grids_L10000mm.csv,59,26,146,10.0,1.47,1.4841187333903878,0.0141187333903878,67.88667565142183,67.88667565142183,4.254903970102019,2.02784024147191,1986.6701327942692,1986.6701327942692,250.06482134033175,749.9999999999999,274883.79874763393,3311.116887990449,True,0.1258713347588375,274.88379874763393,109.95351949905356,0.027840241471909888,0.027840241471909888,2.0,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,60,26,147,10.0,1.48,1.4941187333903878,0.0141187333903878,68.81344548423083,68.81344548423083,4.240504930600452,1.9646866500194888,1988.034640346623,1988.0346403466228,249.35442286053097,750.0,275769.2198765724,3313.3910672443717,True,0.1254276046301964,275.7692198765724,110.30768795062896,-0.035313349980511166,0.035313349980511166,2.0,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,58,26,145,10.0,1.46,1.4741187333903878,0.0141187333903878,66.96618900392002,66.96618900392002,4.269450692775583,2.0934759320401586,1985.2937119346368,1985.2937119346368,250.78382103427936,749.9999999999999,273997.6209749362,3308.8228532243943,True,0.1263207652986996,273.9976209749362,109.59904838997448,0.09347593204015858,0.09347593204015858,2.0,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,61,26,148,10.0,1.49,1.5041187333903878,0.0141187333903878,69.746498502347,69.746498502347,4.226251092184267,1.903905463195309,1989.3874119316904,1989.3874119316904,248.65248379102067,749.9999999999995,276653.91116335336,3315.645686552817,True,0.1249894727893043,276.65391116335337,110.66156446534134,-0.09609453680469104,0.09609453680469104,2.0,0.25,pareto,closest
4,thickness_grids_L10000mm.csv,57,25,149,10.0,1.5,1.5132044502499888,0.0132044502499887,70.68583470577035,70.68583470577035,4.073475366320845,2.109791714673587,2004.014403367528,2004.014403367528,256.3931185561836,750.0,266534.2800496086,3340.0240056125467,True,0.1279397583796518,266.53428004960864,106.61371201984343,0.10979171467358695,0.10979171467358695,2.0,0.25,pareto,closest
5,thickness_grids_L10000mm.csv,62,26,149,10.0,1.5,1.5141187333903878,0.0141187333903878,70.68583470577035,70.68583470577035,4.2121400307793815,1.8453925247684373,1990.7286211375351,1990.7286211375351,247.95886561007876,750.0000000000001,277537.89897925605,3317.8810352292253,True,0.1245568396301003,277.53789897925606,111.0151595917024,-0.1546074752315627,0.1546074752315627,2.0,0.25,pareto,closest
6,thickness_grids_L10000mm.csv,63,27,145,10.0,1.46,1.4750688707715869,0.0150688707715868,66.96618900392002,66.96618900392002,4.410770770119315,1.8377990814501917,1972.0298242406336,1972.0298242406336,242.75500504596127,750.0,285070.5418028122,3286.7163737343894,True,0.1230990536055602,285.0705418028122,114.02821672112488,-0.16220091854980834,0.16220091854980834,2.0,0.25,pareto,closest
7,thickness_grids_L10000mm.csv,56,25,148,10.0,1.49,1.5032044502499888,0.0132044502499887,69.746498502347,69.746498502347,4.087121888185127,2.1766881126145634,2002.6982840454916,2002.6982840454912,257.1103659181292,750.0000000000001,265680.3226066133,3337.8304734091525,True,0.1283819774383393,265.6803226066133,106.27212904264532,0.1766881126145634,0.1766881126145634,2.0,0.25,pareto,closest
