row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,valid,b0,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m
16,58,9.0,0.8792020202020202,0.8942096724823998,0.015007652280379554,21.85595243161534,21.85595243161534,1,1.6783189660219153,3662.779686692135,90.70342181342986,2268.742358694254,2268.7423586948453,3781.237264491409,300.85202891718023,5.566776379577735,105.08486074746311,68.17147904783104,280.8972982470527,0.37452973099607023,0.2426918289113389,0.03997960432387282,0.039979604323883235,0.7772979732506028,4.0,9000.0,3.751913070094898,1361.2454152165526,1361.245415216907,1.0000000000002605,50142.034309748524,12.917271951340435,12.917271951340435,13.94209182087227,13.94209182087227,4.0,5444.98166086621,3.4855229552180673,3.229317987835109,119.77082154420707,119.77082154420707,2.5000000000000004e+16,0.7573081710886611,0.019989802161941617,0.7373183689267195,2.7663544251972105,5106.171072106284,43.0,1,1,1,packing,50.142034309748524,22.285348582110455
16,59,9.0,0.8943434343434344,0.909351086623814,0.015007652280379554,22.615231004237213,22.615231004237213,1,1.6773321052485028,3276.385003536535,90.70841838814927,2268.867336787557,2268.8673367880865,3781.445561313478,298.4246788990843,5.518311352028882,103.43821805816411,69.29261990583589,302.6511741893082,0.4035348989190776,0.22895209341726652,0.03997960432387391,0.039979604323883235,0.7910377087446752,4.0,9000.0,3.751913070094898,1361.3204020725345,1361.320402072852,1.0000000000002331,50998.26110751783,13.39023633537328,13.39023633537328,14.45098769768334,14.45098769768334,4.0,5445.281608290138,3.612746924420835,3.34755908384332,117.6430382778249,117.6430382778249,2.5e+16,0.7710479065827335,0.019989802161941617,0.7510581044207919,2.8179047183770676,5287.586669100777,43.0,1,1,1,packing,50.99826110751783,22.66589382556348
16,60,9.0,0.9094848484848485,0.924492500765228,0.015007652280379554,23.387474061403072,23.387474061403072,1,1.6763303845956081,2936.4665982043616,90.7134908157767,2268.9942121709737,2268.9942121724475,3781.6570202874127,296.0589425025462,5.470989998126587,101.87032967348483,70.4123202676126,326.77029485464067,0.4356937264728542,0.21547956278870017,0.03997960432385727,0.039979604323883235,0.8045102393732415,4.0,9000.0,3.751913070094898,1361.396527302584,1361.3965273034685,1.0000000000006497,51854.487905287104,13.862260023288211,13.862260023288211,14.958731250202659,14.958731250202659,4.0,5445.586109210336,3.7396828125506647,3.465565005822053,115.62922584685228,115.62922584685228,2.5e+16,0.7845204372112998,0.019989802161941617,0.7645306350493583,2.8684524821296398,5470.302965456139,43.0,1,1,1,packing,51.8544879052871,23.04643906901649
16,61,9.0,0.9246262626262627,0.9396339149066423,0.015007652280379554,24.17268160311295,24.17268160311295,1,1.6753138912067513,2636.779005440171,90.7186386828113,2269.122974501709,2269.1229745021938,3781.8716241703232,293.75232536296534,5.4247656093643055,100.37090216757369,71.5305700698588,353.73015969762594,0.4716402129301679,0.20221790002583961,0.03997960432387469,0.039979604323883235,0.8177719021361021,4.0,9000.0,3.751913070094898,1361.4737847010254,1361.4737847013162,1.0000000000002136,52710.71470305641,14.33488103099343,14.33488103099343,15.466979926176652,15.466979926176652,4.0,5445.895138804101,3.866744981544163,3.5837202577483573,113.71355497415851,113.71355497415851,2.5e+16,0.7977820999741604,0.019989802161941617,0.7777922978122188,2.9182090879808067,5654.626979748169,43.0,1,1,1,packing,52.71071470305641,23.426984312469514
16,62,9.0,0.9397676767676768,0.9547753290480564,0.015007652280379554,24.97085362936682,24.97085362936682,1,1.6742827132007683,2372.0005918433744,90.72386157077023,2269.2536133123535,2269.2536133129697,3782.089355521616,291.5024715445454,5.379594083763908,98.93138073812075,72.64735975508654,384.136535504264,0.5121820473390186,0.18911858946122073,0.03997960432387238,0.039979604323883235,0.830871212700721,4.0,9000.0,3.751913070094898,1361.552167987412,1361.5521679877818,1.0000000000002716,53566.9415008257,14.809493525393908,14.809493525393908,15.977235249590965,15.977235249590965,4.0,5446.208671949648,3.9943088123977413,3.702373381348477,111.88302061393905,111.88302061393905,2.5e+16,0.8108814105387793,0.019989802161941617,0.7908916083768377,2.9673565624974327,5840.835338525038,43.0,1,1,1,packing,53.5669415008257,23.80752955592253
16,63,9.0,0.954909090909091,0.9699167431894706,0.015007652280379554,25.7819901401647,25.7819901401647,1,1.6732369396596964,2137.584839123846,90.72915905666612,2269.38611802283,2269.3861180230647,3782.310196705108,289.30715379898754,5.335433742331246,97.54462936909802,73.76268026681883,418.77344457429405,0.5583645927657255,0.17613982267142703,0.0399796043238791,0.039979604323883235,0.8438499794905147,4.0,9000.0,3.751913070094898,1361.6316708136978,1361.6316708138388,1.0000000000001035,54423.16829859499,15.287361644508714,15.287361644508714,16.490857792446203,16.490857792446203,4.0,5446.526683254791,4.122714448111551,3.821840411127178,110.12688991821653,110.12688991821653,2.5e+16,0.823860177328573,0.019989802161941617,0.8038703751666314,3.0160517672497735,6029.177926865565,43.0,1,1,1,packing,54.42316829859499,24.18807479937555
16,64,9.0,0.970050505050505,0.9850581573308846,0.015007652280379554,26.60609113550657,26.60609113550657,1,1.6721766606028086,1929.637444656489,90.7345307128088,2269.5204779354285,2269.520477936433,3782.5341298940552,287.16426464990207,5.29224516106906,96.20467736587608,74.87652304358566,458.6741405204088,0.6115655206938784,0.1632455733358572,0.03997960432386554,0.039979604323883235,0.8567442288260845,4.0,9000.0,3.751913070094898,1361.712286761257,1361.7122867618598,1.0000000000004428,55279.39509636428,15.769631852440325,15.769631852440325,17.00908055995563,17.00908055995563,4.0,5446.849147045028,4.252270139988908,3.9424079631100812,108.43627212650277,108.43627212650277,2.5e+16,0.8367544266641428,0.019989802161941617,0.8167646245022012,3.06442986986096,6219.8809040568485,43.0,1,1,1,packing,55.279395096364276,24.568620042828567
16,65,9.0,0.9851919191919192,1.0001995714722987,0.015007652280379554,27.44315661539245,27.44315661539245,1,1.6711019669699985,1744.8144418374713,90.73997610718115,2269.656682244195,2269.6566822445257,3782.7611370742097,285.07180822174263,5.249991017017112,94.90651644432896,75.98888001355503,505.22901520499056,0.6736386869399874,0.15040482182663928,0.0399796043238777,0.039979604323883526,0.8695849803353024,4.0,9000.0,3.75191307009487,1361.7940093465165,1361.7940093467153,1.0000000000001459,56135.62189413356,16.25734400184298,16.25734400184298,17.533020975704854,17.533020975704854,4.0,5447.176037386066,4.383255243926214,4.064336000460745,106.80377953918374,106.80377953918374,2.4999999999999996e+16,0.8495951781733607,0.019989802161941763,0.8296053760114189,3.112607253278212,6413.149228130104,43.0,1,1,1,packing,56.135621894133564,24.949165286281584
16,66,9.0,1.0003333333333333,1.0153409856137128,0.015007652280379554,28.29318657982233,28.29318657982233,1,1.6700129505965953,1580.2374912578414,90.74549480315935,2269.794720027998,2269.7947200292133,3782.991200048689,283.02789274070244,5.208635946966937,93.64593680374688,77.09974358791236,560.3549629108587,0.7471399505478117,0.13759089985998285,0.03997960432386212,0.039979604323883526,0.8823989023019588,4.0,9000.0,3.75191307009487,1361.8768320167985,1361.876832017528,1.0000000000005356,56991.84869190285,16.751441253408423,16.751441253408423,18.063691629141285,18.063691629141285,4.0,5447.507328067194,4.515922907285321,4.187860313352107,105.22325748699345,105.22325748699345,2.4999999999999996e+16,0.8624091001400171,0.019989802161941763,0.8424192979780754,3.160683974584086,6609.168795956068,43.0,1,1,1,packing,56.99184869190285,25.3297105297346
16,67,9.0,1.0154747474747474,1.030482399755127,0.015007652280379554,29.15618102879621,29.15618102879621,1,1.6689097041989833,1433.4232434480966,90.75108636003515,2269.934580263495,2269.9345802643347,3783.224300440558,281.0307236433041,5.168146417615967,92.41939361009396,78.2091066553473,626.7712952590358,0.8356950603453811,0.12478093245004873,0.03997960432386873,0.039979604323883526,0.895208869711893,4.0,9000.0,3.75191307009487,1361.9607481580967,1361.9607481586008,1.0000000000003701,57848.075489672134,17.25277898363486,17.25277898363486,18.60200992700849,18.60200992700849,4.0,5447.842992632387,4.650502481752122,4.313194745908715,103.68956724638055,103.68956724638055,2.5000000000000004e+16,0.8752190675499513,0.019989802161941763,0.8552292653880095,3.208745858736907,6808.1082791719555,43.0,1,1,1,packing,57.848075489672134,25.710255773187615
