candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,valid,b0,scan,je_coil,je_tape,je_max,j_crit,je_mech,b0_mech,je_closed,stress,sigma_struct,util,f_struct,f_tape_min,f_tape_built,fill,n_tp,n_tot,pitch,i0,i_max,i_margin,length_tape,em_tot,em_dump,l_self,l_dump,r_ee,u_ee,tau_ee,miits,j_cu_max,j_cu,gamma_op,f_cu_req,f_cu_have,f_cu_add,t_cu_add,m_cu,n_eval,binding_code,feasible,converged,binding,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
0,thickness_grids_L10000mm.csv,32,56,98,10.0,1.484858585858586,1.6462023262932357,0.1613437404346495,69.26599253423487,69.26599253423487,1,3.982699140769619,2.470383560040311,20.58430720246948,2012.8176474559543,2012.8176474569732,3354.6960790949556,68.27843384965604,13.210668552085,21.00053737905508,68.16582121044534,603.1758872394984,0.8042345163193312,0.1130115156333815,0.010226613040916,0.0102266130409212,0.8921017908870791,11.0,27500.0,14.667612766786329,1207.6905884735727,1207.690588474184,1.000000000000506,270504.24388785375,270.8163105949661,270.8163105949661,371.3585686835925,371.3585686835925,4.0,4830.762353894291,92.83964217089812,67.70407764874153,23.20696104320717,23.20696104320717,2.4999999999999996e+16,0.8869884843666185,0.0051133065204606,0.8818751778461579,12.935003617288269,126130.32110238523,43.0,1,1,1,packing,270.50424388785376,108.20169755514152,-0.02961643995968899,0.02961643995968899,2.5,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,31,55,98,10.0,1.484858585858586,1.6405622895622896,0.1557037037037037,69.26599253423487,69.26599253423487,1,3.9404582564216257,2.57802702389122,21.100270542873886,1991.1456198034075,2016.9430142622464,3361.571690437078,69.6261418601777,13.002625013657882,21.100270542875965,68.87992248018634,746.2499999991315,0.994999999998842,0.0923014036586485,0.0104615105105445,0.0105970504281636,0.9129971215554332,11.0,27500.0,14.154882154882152,1194.6873718820443,1210.165808557348,1.0129560561529327,270016.97969395603,264.12884146598014,264.12884146598014,370.1155022524434,370.1155022524434,4.0,4778.749487528178,92.52887556311084,66.03221036649504,23.2458997159657,23.2458997159657,2.5e+16,0.9076985963413514,0.0052985252140818,0.9024000711272696,12.773366663363774,124338.8934302412,43.0,0,1,1,mechanical,270.01697969395605,108.00679187758242,0.07802702389122018,0.07802702389122018,2.5,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,30,56,97,10.0,1.4697171717171718,1.6310609121518214,0.1613437404346495,67.86055534552604,67.86055534552604,1,3.985571005818746,2.6374710085885074,20.58144575725585,2012.537843653641,2012.537843654363,3354.2297394239386,68.56869032158498,13.278240376108112,21.20567266511939,67.57115029147478,550.5645203728435,0.7340860271637913,0.1227306660547531,0.0102266130409175,0.0102266130409212,0.8823826404657075,11.0,27500.0,14.667612766786329,1207.5227061921846,1207.5227061926178,1.0000000000003586,267887.9953391143,264.91390283773484,264.91390283773484,363.3658716222674,363.3658716222674,4.0,4830.0908247687385,90.84146790556684,66.22847570943372,23.4608061183413,23.4608061183413,2.5e+16,0.8772693339452469,0.0051133065204606,0.8721560274247863,12.79244688248544,123541.7182892592,43.0,1,1,1,packing,267.8879953391143,107.1551981356457,0.13747100858850736,0.13747100858850736,2.5,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,29,55,97,10.0,1.4697171717171718,1.6254208754208754,0.1557037037037037,67.86055534552604,67.86055534552604,1,3.982550213464303,2.645482278995964,21.307361598508,2010.6879497222812,2012.832159664227,3354.720266107045,69.92338447160046,13.069351100373607,21.307361598519236,69.64272140092743,746.24999999539,0.9949999999938534,0.0933235797673134,0.0105857617070577,0.0105970504281636,0.9119749454467684,11.0,27500.0,14.154882154882152,1206.4127698333689,1207.6992957985362,1.001066406123457,267400.73114521656,263.53429571206595,263.53429571206595,362.1389898500025,362.1389898500025,4.0,4825.6510793334755,90.53474746250062,65.88357392801649,23.500513659591753,23.500513659591753,2.5e+16,0.9066764202326866,0.0052985252140818,0.9013778950186048,12.758897881004089,122995.48537735568,43.0,0,1,1,mechanical,267.4007311452166,106.96029245808664,0.145482278995964,0.145482278995964,2.5,0.25,pareto,closest
4,thickness_grids_L10000mm.csv,33,56,99,10.0,1.5,1.6613437404346496,0.1613437404346495,70.68583470577035,70.68583470577035,1,3.9798061984836743,2.3155398709395203,20.587190529654816,2013.0995909668504,2013.099590968065,3355.165984946775,67.99232784221088,13.14391526157902,20.79844534271277,68.75995922313977,665.9986722230034,0.8879982296306712,0.1032433878488516,0.010226613040915,0.0102266130409212,0.9018699186716088,11.0,27500.0,14.667612766786329,1207.85975458011,1207.859754580839,1.0000000000006035,273120.4924365932,276.8139862884981,276.8139862884981,379.47660209790735,379.47660209790735,4.0,4831.4390183204405,94.86915052447684,69.20349657212452,22.957389163008305,22.957389163008305,2.4999999999999996e+16,0.8967566121511483,0.0051133065204606,0.8916433056306877,13.078278733088238,128752.689936168,43.0,1,1,1,packing,273.1204924365932,109.2481969746373,-0.1844601290604797,0.1844601290604797,2.5,0.25,pareto,closest
5,thickness_grids_L10000mm.csv,34,59,95,10.0,1.4394343434343435,1.6183079277624732,0.1788735843281298,65.09289591658843,65.09289591658843,1,4.264339200218467,2.3121835877608716,19.83902786490099,1971.4877909891572,1985.7771267294547,3309.628544549091,65.31928489617431,14.04018326955378,19.83902786490616,69.18615495282077,746.2499999977022,0.9949999999969364,0.092711765431201,0.0099905611751987,0.010062972723228,0.912319720930413,12.0,30000.0,14.906132027344142,1182.8926745934943,1191.4662760376727,1.0072479960594267,288185.41967288667,292.64456852050336,292.64456852050336,418.29221234606,418.29221234606,4.0,4731.570698373977,104.573053086515,73.16114213012584,21.86629023612299,21.86629023612299,2.4999999999999996e+16,0.9072882345687988,0.005031486361614,0.9022567482071848,13.4491582113385,139685.1531212785,43.0,0,1,1,mechanical,288.18541967288667,115.27416786915468,-0.18781641223912837,0.18781641223912837,2.5,0.25,pareto,closest
6,thickness_grids_L10000mm.csv,35,60,95,10.0,1.4394343434343435,1.624354453627181,0.1849201101928375,65.09289591658843,65.09289591658843,1,4.289391336521069,2.2586378603209525,19.306383423451905,1983.4103056054987,1983.4103056055403,3305.683842675901,64.11937896342863,14.245708406202745,19.745940642522783,67.9961781094494,588.9547320641188,0.7852729760854918,0.115452299485127,0.00973393320025,0.0097339332002502,0.8894146671149982,12.0,30000.0,15.410009182736458,1190.0461833632992,1190.0461833633242,1.000000000000021,288755.29130997584,297.2817804483172,297.2817804483172,419.82728203923944,419.82728203923944,4.0,4760.184733453197,104.95682050980986,74.3204451120793,21.826277330452776,21.826277330452776,2.5000000000000004e+16,0.884547700514873,0.0048669666001251,0.8796807339147479,13.555888187502612,141065.92064395364,43.0,1,1,1,packing,288.75529130997586,115.50211652399034,-0.24136213967904752,0.24136213967904752,2.5,0.25,pareto,closest
7,thickness_grids_L10000mm.csv,36,59,96,10.0,1.4545757575757576,1.6334493419038876,0.1788735843281298,66.4695231396439,66.4695231396439,1,4.219017187691511,2.2505441661809065,19.644866432425715,1952.1931513418615,1990.074722992845,3316.791204988075,65.04077088443596,13.9684396025826,19.644866432433687,68.42078680437118,746.2499999963943,0.9949999999951924,0.0916861464719621,0.0098714215126968,0.010062972723228,0.9133453398896518,12.0,30000.0,14.906132027344162,1171.3158908051169,1194.0448337957068,1.019404622757203,291039.5089987843,293.3065664388507,293.3065664388507,427.566539748588,427.566539748588,4.0,4685.263563220467,106.891634937147,73.32664160971268,21.62783971214562,21.62783971214562,2.5e+16,0.9083138535280378,0.005031486361614,0.9032823671664238,13.46444622295468,141228.01390545518,43.0,0,1,1,mechanical,291.0395089987843,116.41580359951372,-0.24945583381909353,0.24945583381909353,2.5,0.25,pareto,closest
0,thickness_grids_L10000mm.csv,24,51,98,10.0,1.484858585858586,1.6190183654729111,0.1341597796143251,69.26599253423487,69.26599253423487,1,3.677824730360906,3.397115203745488,22.842325296250326,2043.01421841578,2043.014218416496,3405.023697360827,75.51634763143146,12.158827407602042,23.277831291262633,68.62145674756022,610.4172955075896,0.8138897273434529,0.1124172877351031,0.0111806981519467,0.0111806981519507,0.8931730613408722,10.0,25000.0,13.415977961432525,1225.808531049468,1225.8085310498975,1.0000000000003504,243777.9256987428,226.87274436014096,226.87274436014096,301.972254328807,301.972254328807,4.0,4903.234124197872,75.49306358220176,56.71818609003524,25.73543285668805,25.73543285668805,2.5e+16,0.8875827122648968,0.0055903490759753,0.8819923631889215,11.83279010669436,104038.3723676761,43.0,1,1,1,packing,243.7779256987428,97.51117027949714,-0.10288479625451208,0.10288479625451208,3.5,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,23,50,98,10.0,1.484858585858586,1.6138864401591675,0.1290278543005815,69.26599253423487,69.26599253423487,1,3.6228201596934024,3.608172456403099,23.39220807468884,2012.164276819894,2048.5682775693763,3414.280462615627,77.12814446198149,11.945062892072809,23.39220807470158,68.9886955852027,746.2499999951965,0.9949999999935956,0.0924471632638482,0.0114188081162926,0.0116253967651482,0.913365535118726,10.0,25000.0,12.90278543005816,1207.2985660919362,1229.1409665416256,1.0180919625543778,243374.86522713213,219.3970430928632,219.3970430928632,301.0449845012566,301.0449845012566,4.0,4829.194264367745,75.26124612531414,54.84926077321579,25.77503714143482,25.77503714143482,2.5e+16,0.9075528367361516,0.0058126983825741,0.9017401383535776,11.63495951884717,102140.7679385714,43.0,0,1,1,mechanical,243.37486522713215,97.34994609085284,0.10817245640309903,0.10817245640309903,3.5,0.25,pareto,closest
