source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m
thickness_grids_L4000mm.csv,19,31,99,4.0,1.5,1.5508295071931435,0.0508295071931435,28.274333882308134,6.733709279085382,28.274333882308134,5.991688217525549,132.58457108590449,1778.7666430605552,1778.7666430605552,2964.611071767592,749.9999999999999,0.0745373608186056,242084.20940173583,1,242.08420940173585,242.08420940173585
thickness_grids_L4000mm.csv,20,32,96,4.0,1.4545757575757576,1.5086063666972758,0.0540306091215182,26.58780925585756,7.095885660679861,26.58780925585756,5.964485385915615,130.0621511552706,1752.2896462043027,1752.289646204303,2920.4827436738383,750.0000000000002,0.0742241166789993,248886.7978991979,1,248.88679789919792,248.88679789919792
thickness_grids_L4000mm.csv,21,32,97,4.0,1.4697171717171718,1.52374778083869,0.0540306091215182,27.144222138210417,7.041075793386105,27.144222138210417,5.741964672195188,129.5263660707377,1756.2409449395252,1756.2409449395252,2927.0682415658753,750.0,0.0737520477722365,249831.23702559137,1,249.83123702559135,249.83123702559135
thickness_grids_L4000mm.csv,22,32,98,4.0,1.484858585858586,1.538889194980104,0.0540306091215182,27.706397013693948,6.986929798771912,27.706397013693948,5.5308969485310895,128.99856587206256,1760.163622574686,1760.163622574686,2933.6060376244764,750.0,0.073287826323424,250770.1737563417,1,250.7701737563417,250.7701737563417
thickness_grids_L4000mm.csv,23,32,99,4.0,1.5,1.554030609121518,0.0540306091215182,28.274333882308134,6.933434826119474,28.274333882308134,5.330560847486403,128.47854293456584,1764.0580555976912,1764.058055597691,2940.096759329485,749.9999999999997,0.0728312441457802,251703.69536253088,1,251.70369536253088,251.70369536253088
thickness_grids_L4000mm.csv,24,33,96,4.0,1.4545757575757576,1.511909090909091,0.0573333333333333,26.58780925585756,7.299468166324968,26.58780925585756,5.32640933245481,126.1361806854997,1737.7822635599516,1737.7822635599516,2896.3037725999193,750.0000000000002,0.07258457134158,258554.59279639937,1,258.55459279639933,258.55459279639933
thickness_grids_L4000mm.csv,25,33,97,4.0,1.4697171717171718,1.527050505050505,0.0573333333333333,27.144222138210417,7.243164121090628,27.144222138210417,5.127471909112214,125.61806732360752,1741.7681085932095,1741.7681085932095,2902.9468476553493,749.9999999999999,0.0721210054908323,259525.86933359437,1,259.52586933359436,259.52586933359436
thickness_grids_L4000mm.csv,26,33,98,4.0,1.484858585858586,1.5421919191919191,0.0573333333333333,27.706397013693948,7.187540429307162,27.706397013693948,4.938782303059022,125.1076563065122,1745.7255329615748,1745.7255329615748,2909.542554935958,750.0,0.0716651351797957,260491.4044508202,1,260.4914044508202,260.4914044508202
thickness_grids_L4000mm.csv,27,33,99,4.0,1.5,1.5573333333333332,0.0573333333333333,28.274333882308134,7.1325839705268645,28.274333882308134,4.759694543481316,124.60474779590736,1749.6549053245562,1749.6549053245562,2916.0915088742604,750.0000000000001,0.0712167567539803,261451.2899943896,1,261.4512899943896,261.4512899943896
thickness_grids_L4000mm.csv,28,34,97,4.0,1.4697171717171718,1.5304548515457608,0.0607376798285889,27.144222138210417,7.444610494282174,27.144222138210417,4.5946102021807285,121.9247971926566,1727.5990610231495,1727.5990610231495,2879.331768371916,750.0,0.0705747067959438,269346.94312230486,1,269.3469431223049,269.3469431223049
thickness_grids_L4000mm.csv,29,34,98,4.0,1.484858585858586,1.545596265687175,0.0607376798285889,27.706397013693948,7.387520489529061,27.706397013693948,4.425336419617056,121.43085241341736,1731.5888516408988,1731.5888516408988,2885.981419401498,750.0,0.0701268388846153,270339.11785632384,1,270.3391178563238,270.3391178563238
thickness_grids_L4000mm.csv,30,34,99,4.0,1.5,1.560737679828589,0.0607376798285889,28.274333882308134,7.3311136654531,28.274333882308134,4.26468386462414,120.94414965425317,1735.5508006055263,1735.5508006055268,2892.584667675878,750.0,0.0696863206839328,271325.402983028,1,271.32540298302797,271.32540298302797
thickness_grids_L4000mm.csv,31,35,97,4.0,1.4697171717171718,1.5339608203244568,0.0642436486072849,27.144222138210417,7.645373593338089,27.144222138210417,4.130681832448187,118.42936521481975,1713.7271975830365,1713.7271975830365,2856.211995971727,749.9999999999999,0.0691063113089686,279292.90053608007,1,279.2929005360801,279.2929005360801
thickness_grids_L4000mm.csv,32,35,98,4.0,1.484858585858586,1.549102234465871,0.0642436486072849,27.706397013693948,7.586829114349696,27.706397013693948,3.978321502062068,117.9510369346179,1717.7470793304874,1717.7470793304872,2862.911798884146,750.0,0.0686661257375508,280311.7638482391,1,280.3117638482391,280.3117638482391
thickness_grids_L4000mm.csv,33,35,99,4.0,1.5,1.564243648607285,0.0642436486072849,28.274333882308134,7.528983492907192,28.274333882308134,3.833727812365301,117.4797033372996,1721.7393460097137,1721.7393460097137,2869.565576682856,750.0000000000001,0.0682331524859261,281324.4918463364,1,281.3244918463364,281.3244918463364
thickness_grids_L4000mm.csv,34,36,97,4.0,1.4697171717171718,1.5375684113865933,0.0678512396694214,27.144222138210417,7.845414476992289,27.144222138210417,3.7252294123599783,115.1163381028064,1700.145949772267,1700.145949772267,2833.576582953778,749.9999999999999,0.0677096799355526,289362.2239478084,1,289.3622239478084,289.3622239478084
thickness_grids_L4000mm.csv,35,36,98,4.0,1.484858585858586,1.5527098255280074,0.0678512396694214,27.706397013693948,7.785427793261027,27.706397013693948,3.587659028886523,114.65284229408594,1704.1937486144352,1704.1937486144352,2840.322914357392,750.0000000000003,0.0672768823306049,290407.8328321751,1,290.4078328321751,290.4078328321751
