candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
3,thickness_grids_L5000mm.csv,53,35,97,5.0,1.4697171717171718,1.5339608203244568,0.0642436486072849,33.93027767276302,8.049819987883506,33.93027767276302,1.597491448105085,116.32105652111466,1686.5099385135827,1686.5099385135827,2810.849897522638,750.0000000000001,0.0689714622278686,348434.8855944531,1,348.4348855944531,278.74790847556244,0.09749144810508503,0.09749144810508503,1.5,0.25,pareto,closest
4,thickness_grids_L5000mm.csv,57,36,98,5.0,1.484858585858586,1.5527098255280074,0.0678512396694214,34.632996267117434,8.204794768643259,34.632996267117434,1.3824098507796634,112.59399192793975,1676.3302232610984,1676.3302232610986,2793.8837054351643,750.0,0.0671669521706181,362416.6344755352,1,362.4166344755352,289.93330758042816,-0.11759014922033661,0.11759014922033661,1.5,0.25,pareto,closest
5,thickness_grids_L5000mm.csv,52,34,99,5.0,1.5,1.560737679828589,0.0607376798285889,35.34291735288517,7.731507896279665,35.34291735288517,1.6386132549310528,118.76963210516568,1707.850259281555,1707.850259281555,2846.4170988025917,749.9999999999999,0.0695433522111761,338460.93964892195,1,338.46093964892196,270.7687517191376,0.1386132549310528,0.1386132549310528,1.5,0.25,pareto,closest
6,thickness_grids_L5000mm.csv,58,36,99,5.0,1.5,1.5678512396694215,0.0678512396694214,35.34291735288517,8.14922692247344,35.34291735288517,1.3276011915617942,112.13304861038962,1679.9647339838664,1679.9647339838664,2799.941223306444,750.0,0.0667472634050343,363742.6067841948,1,363.7426067841948,290.99408542735586,-0.17239880843820576,0.17239880843820576,1.5,0.25,pareto,closest
7,thickness_grids_L5000mm.csv,59,37,97,5.0,1.4697171717171718,1.5412776247321702,0.0715604530149984,33.93027767276302,8.471454937425523,33.93027767276302,1.3024204195114335,109.96852305160029,1659.126073606538,1659.1260736065378,2765.210122677563,750.0,0.066280992626772,373887.30268172134,1,373.88730268172134,299.10984214537706,-0.1975795804885665,0.1975795804885665,1.5,0.25,pareto,closest
8,thickness_grids_L5000mm.csv,51,34,98,5.0,1.484858585858586,1.545596265687175,0.0607376798285889,34.632996267117434,7.784395862414278,34.632996267117434,1.7061140377737356,119.2607734055738,1704.263566547978,1704.2635665479777,2840.439277579963,750.0,0.0699778929424273,337206.1636527426,1,337.2061636527426,269.7649309221941,0.2061140377737356,0.2061140377737356,1.5,0.25,pareto,closest
9,thickness_grids_L5000mm.csv,60,37,98,5.0,1.484858585858586,1.5564190388735843,0.0715604530149984,34.632996267117434,8.413899067260136,34.632996267117434,1.2500244771152222,109.51476973799028,1662.8065693731085,1662.8065693731085,2771.344282288514,750.0000000000001,0.0658614006915297,375256.94391265727,1,375.2569439126573,300.2055551301258,-0.24997552288477776,0.24997552288477776,1.5,0.25,pareto,closest
0,thickness_grids_L5000mm.csv,41,31,97,5.0,1.4697171717171718,1.5205466789103153,0.0508295071931435,33.93027767276302,7.198285133818335,33.93027767276302,2.4984291252595887,131.31099356741592,1744.9595498809658,1744.9595498809658,2908.2659164682764,750.0000000000002,0.0752515974232029,299439.96262133593,1,299.43996262133595,239.55197009706873,-0.0015708747404112877,0.0015708747404112877,2.5,0.25,pareto,closest
1,thickness_grids_L5000mm.csv,40,30,99,5.0,1.5,1.547730027548209,0.0477300275482093,35.34291735288517,6.88856998295502,35.34291735288517,2.6002612207339375,134.50352566804872,1767.338817745073,1767.338817745073,2945.564696241788,750.0,0.0761051159616695,289834.8856342868,1,289.8348856342868,231.86790850742943,0.1002612207339375,0.1002612207339375,2.5,0.25,pareto,closest
2,thickness_grids_L5000mm.csv,42,31,98,5.0,1.484858585858586,1.5356880930517294,0.0508295071931435,34.632996267117434,7.14891833177887,34.632996267117434,2.398536687811338,130.7596425760375,1748.484978108307,1748.484978108307,2914.141630180511,749.9999999999998,0.0747845387367908,300595.0998721156,1,300.5950998721156,240.47607989769247,-0.10146331218866189,0.10146331218866189,2.5,0.25,pareto,closest
3,thickness_grids_L5000mm.csv,43,31,99,5.0,1.5,1.5508295071931435,0.0508295071931435,35.34291735288517,7.100132259093059,35.34291735288517,2.303920684694928,130.21667626672487,1751.984318169309,1751.984318169309,2919.9738636155153,749.9999999999998,0.0743252521819324,301744.1474221819,1,301.7441474221819,241.39531793774552,-0.19607931530507194,0.19607931530507194,2.5,0.25,pareto,closest
4,thickness_grids_L5000mm.csv,39,30,98,5.0,1.484858585858586,1.5325886134067952,0.0477300275482093,34.632996267117434,6.935968636930067,34.632996267117434,2.7069437182132514,135.06582573318104,1763.873167879563,1763.8731678795627,2939.7886131326045,749.9999999999999,0.0765734340726721,288720.82848392014,1,288.7208284839201,230.97666278713612,0.20694371821325142,0.20694371821325142,2.5,0.25,pareto,closest
0,thickness_grids_L5000mm.csv,31,28,98,5.0,1.484858585858586,1.5266945209672482,0.0418359351086623,34.632996267117434,6.508688551593971,34.632996267117434,3.4908705687093855,144.52649324238357,1795.6638796908446,1795.6638796908446,2992.7731328180744,749.9999999999999,0.0804863843823969,265479.5371694714,1,265.47953716947137,212.3836297355771,-0.009129431290614498,0.009129431290614498,3.5,0.25,pareto,closest
1,thickness_grids_L5000mm.csv,30,28,97,5.0,1.4697171717171718,1.511553106825834,0.0418359351086623,33.93027767276302,6.5538199854017005,33.93027767276302,3.6358435144235464,145.140544884729,1792.2466999117055,1792.2466999117055,2987.077833186176,749.9999999999998,0.0809824589951145,264429.8128217998,1,264.42981282179977,211.54385025743983,0.13584351442354636,0.13584351442354636,3.5,0.25,pareto,closest
2,thickness_grids_L5000mm.csv,32,28,99,5.0,1.5,1.5418359351086623,0.0418359351086623,35.34291735288517,6.464091935563468,35.34291735288517,3.3535376030345754,143.9218390264276,1799.0546301652282,1799.0546301652282,2998.424383608714,750.0000000000001,0.0799985929350069,266523.95053075574,1,266.52395053075577,213.21916042460455,-0.14646239696542462,0.14646239696542462,3.5,0.25,pareto,closest
3,thickness_grids_L5000mm.csv,33,29,96,5.0,1.4545757575757576,1.4993079277624732,0.0447321701867156,33.23476156982195,6.816207420509467,33.23476156982195,3.329621342674306,140.8389123522765,1772.6586576851353,1772.6586576851353,2954.4310961418923,750.0,0.0794506667945841,274839.74172007624,1,274.83974172007623,219.871793376061,-0.1703786573256938,0.1703786573256938,3.5,0.25,pareto,closest
0,thickness_grids_L6000mm.csv,53,29,98,6.0,1.484858585858586,1.5295907560453017,0.0447321701867156,41.55959552054093,6.9272212309842915,41.55959552054093,1.4816103094972208,137.91276196169517,1764.5116306627565,1764.5116306627565,2940.8527177712604,749.9999999999997,0.0781591685569648,331098.9183054696,1,331.0989183054696,220.73261220364645,-0.018389690502779166,0.018389690502779166,1.5,0.25,pareto,closest
1,thickness_grids_L6000mm.csv,52,29,97,6.0,1.4697171717171718,1.5144493419038874,0.0447321701867156,40.71633320731563,6.9713963655121,40.71633320731563,1.546559478770252,138.51236910237898,1761.2925125008985,1761.292512500898,2935.4875208348303,750.0,0.0786424561049783,329799.47694693704,1,329.79947694693703,219.8663179646247,0.046559478770251905,0.046559478770251905,1.5,0.25,pareto,closest
2,thickness_grids_L6000mm.csv,54,29,99,6.0,1.5,1.5447321701867156,0.0447321701867156,42.411500823462205,6.8835770621834,42.411500823462205,1.4201658883367936,137.32242585111467,1767.7047550669847,1767.7047550669847,2946.174591778308,750.0,0.077684028092073,332392.0850701145,1,332.39208507011455,221.59472338007637,-0.07983411166320642,0.07983411166320642,1.5,0.25,pareto,closest
3,thickness_grids_L6000mm.csv,51,29,96,6.0,1.4545757575757576,1.4993079277624732,0.0447321701867156,39.88171388378634,7.016115167898402,39.88171388378634,1.6152573050405448,139.12149182063288,1758.04686585169,1758.04686585169,2930.0781097528165,750.0000000000001,0.0791341200982347,328493.67296477215,1,328.49367296477214,218.99578197651476,0.11525730504054477,0.11525730504054477,1.5,0.25,pareto,closest
4,thickness_grids_L6000mm.csv,50,28,99,6.0,1.5,1.5418359351086623,0.0418359351086623,42.411500823462205,6.664283347923405,42.411500823462205,1.6165233285240723,142.12370002716676,1783.9426772493682,1783.9426772493682,2973.2377954156136,750.0000000000002,0.0796683110055447,318508.2967430891,1,318.5082967430891,212.33886449539273,0.11652332852407232,0.11652332852407232,1.5,0.25,pareto,closest
5,thickness_grids_L6000mm.csv,55,30,97,6.0,1.4697171717171718,1.517447199265381,0.0477300275482093,40.71633320731563,7.192947118501666,40.71633320731563,1.364640512007983,133.96478664925272,1745.3400014046172,1745.3400014046174,2908.900002341029,749.9999999999998,0.0767556960485867,343804.2909717348,1,343.8042909717348,229.2028606478232,-0.13535948799201702,0.13535948799201702,1.5,0.25,pareto,closest
6,thickness_grids_L6000mm.csv,49,28,98,6.0,1.484858585858586,1.5266945209672482,0.0418359351086623,41.55959552054093,6.706597422022894,41.55959552054093,1.6864026323091483,142.73612286935978,1780.7840377898422,1780.7840377898422,2967.9733963164035,750.0000000000001,0.0801535277947076,317257.955487337,1,317.25795548733703,211.50530365822468,0.18640263230914833,0.18640263230914833,1.5,0.25,pareto,closest
7,thickness_grids_L6000mm.csv,56,30,98,6.0,1.484858585858586,1.5325886134067952,0.0477300275482093,41.55959552054093,7.147435814189015,41.55959552054093,1.3072816531409803,133.38628911685566,1748.5910906929848,1748.5910906929846,2914.3184844883076,749.9999999999999,0.0762821507136887,345147.0503207053,1,345.14705032070526,230.09803354713685,-0.19271834685901967,0.19271834685901967,1.5,0.25,pareto,closest
8,thickness_grids_L6000mm.csv,57,30,99,6.0,1.5,1.547730027548209,0.0477300275482093,42.411500823462205,7.102470132428799,42.411500823462205,1.253020359189569,132.8167181739685,1751.8162761867377,1751.8162761867377,2919.6937936445624,750.0,0.0758165796147738,346483.24603404856,1,346.48324603404853,230.9888306893657,-0.246979640810431,0.246979640810431,1.5,0.25,pareto,closest
0,thickness_grids_L6000mm.csv,38,25,99,6.0,1.5,1.5337569635751451,0.0337569635751454,42.411500823462205,6.004637779340963,42.411500823462205,2.452723173611713,158.6170751135653,1834.823447077187,1834.8234470771868,3058.039078461978,750.0,0.0864481404825282,278131.18743412546,1,278.1311874341255,185.4207916227503,-0.047276826388286786,0.047276826388286786,2.5,0.25,pareto,closest
1,thickness_grids_L6000mm.csv,37,25,98,6.0,1.484858585858586,1.5186155494337312,0.0337569635751454,41.55959552054093,6.0429158282424495,41.55959552054093,2.558491874565574,159.30509453179758,1831.7839726904035,1831.7839726904035,3052.9732878173395,749.9999999999999,0.0869671843988353,277008.1545271978,1,277.0081545271978,184.67210301813188,0.05849187456557381,0.05849187456557381,2.5,0.25,pareto,closest
2,thickness_grids_L6000mm.csv,39,26,96,6.0,1.4545757575757576,1.4909240893786349,0.0363483318028772,39.88171388378634,6.345103523585784,39.88171388378634,2.41475849165857,154.75012184774002,1808.1706061466189,1808.1706061466189,3013.6176769110316,750.0000000000003,0.0855838057104174,287862.4091009077,1,287.86240910090766,191.90827273393845,-0.08524150834143018,0.08524150834143018,2.5,0.25,pareto,closest
3,thickness_grids_L6000mm.csv,36,25,97,6.0,1.4697171717171718,1.503474135292317,0.0337569635751454,40.71633320731563,6.081664009735424,40.71633320731563,2.670275289125014,160.00400041254397,1828.7183877249329,1828.7183877249329,3047.8639795415547,750.0000000000001,0.0874951558898039,275879.93272398866,1,275.87993272398865,183.91995514932577,0.17027528912501388,0.17027528912501388,2.5,0.25,pareto,closest
4,thickness_grids_L6000mm.csv,40,26,97,6.0,1.4697171717171718,1.506065503520049,0.0363483318028772,40.71633320731563,6.304490123057385,40.71633320731563,2.312308922994023,154.06785565885556,1811.3053293251107,1811.3053293251107,3018.842215541851,749.9999999999999,0.0850590196829272,289038.6636499086,1,289.03866364990864,192.6924424332724,-0.1876910770059772,0.1876910770059772,2.5,0.25,pareto,closest
0,thickness_grids_L6000mm.csv,29,23,98,6.0,1.484858585858586,1.5137376798285889,0.028879093970003,41.55959552054093,5.599717386018073,41.55959552054093,3.469810732682871,172.4993998078307,1867.6670607657825,1867.6670607657825,3112.7784346096378,749.9999999999999,0.0923608942040785,251269.37606180715,1,251.26937606180715,167.5129173745381,-0.0301892673171289,0.0301892673171289,3.5,0.25,pareto,closest
1,thickness_grids_L6000mm.csv,28,23,97,6.0,1.4697171717171718,1.4985962656871747,0.028879093970003,40.71633320731563,5.635711777908066,40.71633320731563,3.621184332516308,173.25924095607843,1864.695354955423,1864.695354955423,3107.825591592372,750.0000000000003,0.0929155749198615,250225.58494626757,1,250.22558494626756,166.81705663084506,0.12118433251630778,0.12118433251630778,3.5,0.25,pareto,closest
2,thickness_grids_L6000mm.csv,30,23,99,6.0,1.5,1.528879093970003,0.028879093970003,42.411500823462205,5.564161540444174,42.411500823462205,3.3265715699254863,171.75143312233706,1870.6127713840829,1870.6127713840829,3117.687952306805,750.0000000000001,0.0918155995456273,252308.4808267012,1,252.3084808267012,168.20565388446747,-0.1734284300745137,0.1734284300745137,3.5,0.25,pareto,closest
0,thickness_grids_L7000mm.csv,50,25,97,7.0,1.4697171717171718,1.503474135292317,0.0337569635751454,47.50238874186823,6.192417338483746,47.50238874186823,1.486102936896497,158.6000617854102,1820.0177557095117,1820.0177557095117,3033.3629261825195,750.0000000000001,0.0871420409432115,320560.95189592947,1,320.56095189592946,183.17768679767397,-0.013897063103502916,0.013897063103502916,1.5,0.25,pareto,closest
1,thickness_grids_L7000mm.csv,49,25,96,7.0,1.4545757575757576,1.488332721150903,0.0337569635751454,46.52866619775073,6.23014952388236,46.52866619775073,1.5540990892618889,159.3191463274728,1817.0742490945065,1817.0742490945065,3028.4570818241777,750.0000000000001,0.0876789412468233,319250.8708228164,1,319.2508708228164,182.42906904160935,0.05409908926188889,0.05409908926188889,1.5,0.25,pareto,closest
2,thickness_grids_L7000mm.csv,51,25,98,7.0,1.484858585858586,1.5186155494337312,0.0337569635751454,48.48619477396441,6.155162128891772,48.48619477396441,1.421858141714373,157.892334302653,1822.9343296575732,1822.9343296575732,3038.223882762622,750.0,0.0866143841464174,321865.1497043123,1,321.86514970431233,183.92294268817847,-0.07814185828562703,0.07814185828562703,1.5,0.25,pareto,closest
3,thickness_grids_L7000mm.csv,48,24,99,7.0,1.5,1.531267217630854,0.031267217630854,49.48008429403925,5.893840023721805,49.48008429403925,1.5806890758167391,163.46347462452607,1843.6840269437769,1843.6840269437769,3072.8067115729614,750.0000000000001,0.0886613282079006,307995.48820566945,1,307.99548820566946,175.99742183181112,0.08068907581673912,0.08068907581673912,1.5,0.25,pareto,closest
4,thickness_grids_L7000mm.csv,52,25,99,7.0,1.5,1.5337569635751451,0.0337569635751454,49.48008429403925,6.118372224005682,49.48008429403925,1.361119474380855,157.1956730258796,1825.8245515156225,1825.8245515156225,3043.040919192704,750.0,0.0860957165327802,323163.5486319023,1,323.1635486319023,184.6648849325156,-0.138880525619145,0.138880525619145,1.5,0.25,pareto,closest
5,thickness_grids_L7000mm.csv,47,24,98,7.0,1.484858585858586,1.5161258034894398,0.031267217630854,48.48619477396441,5.929326594372414,48.48619477396441,1.6511737161644702,164.18935461894367,1840.8359431106744,1840.8359431106744,3068.059905184458,750.0000000000001,0.0891928230939981,306746.45004320797,1,306.746450043208,175.28368573897598,0.15117371616447017,0.15117371616447017,1.5,0.25,pareto,closest
6,thickness_grids_L7000mm.csv,53,26,96,7.0,1.4545757575757576,1.4909240893786349,0.0363483318028772,46.52866619775073,6.458515486803369,46.52866619775073,1.345679895879089,153.40470450844506,1799.479604177297,1799.4796041772968,2999.132673628828,750.0000000000001,0.0852494822127089,334527.5581919624,1,334.52755819196244,191.15860468112135,-0.15432010412091102,0.15432010412091102,1.5,0.25,pareto,closest
7,thickness_grids_L7000mm.csv,54,26,97,7.0,1.4697171717171718,1.506065503520049,0.0363483318028772,47.50238874186823,6.419455082029932,47.50238874186823,1.2867586809571565,152.71376341330273,1802.462529971474,1802.4625299714735,3004.104216619123,750.0000000000002,0.0847250696610706,335887.84788564907,1,335.8878478856491,191.93591307751376,-0.2132413190428435,0.2132413190428435,1.5,0.25,pareto,closest
8,thickness_grids_L7000mm.csv,46,24,97,7.0,1.4697171717171718,1.5009843893480257,0.031267217630854,47.50238874186823,5.965262956701593,47.50238874186823,1.7257242167995082,164.92678412417345,1837.9615709449663,1837.9615709449663,3063.2692849082778,750.0000000000002,0.0897335323716144,305491.891434091,1,305.49189143409103,174.56679510519487,0.22572421679950816,0.22572421679950816,1.5,0.25,pareto,closest
0,thickness_grids_L7000mm.csv,37,22,96,7.0,1.4545757575757576,1.48116835016835,0.0265925925925925,46.52866619775073,5.544700302377938,46.52866619775073,2.477195471832998,179.92491609013203,1872.229402197502,1872.229402197502,3120.382336995837,750.0,0.0961019605177377,274984.22970654175,1,274.9842297065417,157.1338455465953,-0.02280452816700196,0.02280452816700196,2.5,0.25,pareto,closest
1,thickness_grids_L7000mm.csv,36,21,99,7.0,1.5,1.5244077134986227,0.0244077134986225,49.48008429403925,5.220594738733625,49.48008429403925,2.567792351816391,185.4168443543528,1899.610240451735,1899.610240451735,3166.0170674195588,750.0000000000002,0.0976078357580657,264088.068084732,1,264.088068084732,150.9074674769897,0.06779235181639098,0.06779235181639098,2.5,0.25,pareto,closest
2,thickness_grids_L7000mm.csv,38,22,97,7.0,1.4697171717171718,1.4963097643097645,0.0265925925925925,47.50238874186823,5.510988669096384,47.50238874186823,2.3690361726063425,179.10810950716424,1875.0370626980691,1875.0370626980691,3125.061771163449,750.0,0.0955224369002275,276145.4084689647,1,276.14540846896466,157.7973762679798,-0.13096382739365753,0.13096382739365753,2.5,0.25,pareto,closest
3,thickness_grids_L7000mm.csv,35,21,98,7.0,1.484858585858586,1.5092662993572086,0.0244077134986225,48.48619477396441,5.252142389636713,48.48619477396441,2.682058770534674,186.2447330159012,1896.90652481529,1896.90652481529,3161.5108746921505,750.0000000000001,0.0981834004888757,262985.4609944379,1,262.9854609944379,150.27740628253596,0.1820587705346739,0.1820587705346739,2.5,0.25,pareto,closest
4,thickness_grids_L7000mm.csv,39,22,98,7.0,1.484858585858586,1.5114511784511784,0.0265925925925925,48.48619477396441,5.477705836440837,48.48619477396441,2.2668325090960484,178.3042647852458,1877.8180803631356,1877.8180803631356,3129.696800605226,749.9999999999999,0.0949528959433413,277301.5305636739,1,277.30153056367385,158.4580174649565,-0.2331674909039516,0.2331674909039516,2.5,0.25,pareto,closest
0,thickness_grids_L7000mm.csv,29,20,96,7.0,1.4545757575757576,1.4769002142638508,0.022324456688093,46.52866619775073,5.088541822740679,46.52866619775073,3.4922006760968745,196.6490359215744,1911.019814858471,1911.019814858471,3185.033024764118,750.0000000000001,0.1029026671479793,246825.787208818,1,246.825787208818,141.04330697646745,-0.0077993239031255435,0.0077993239031255435,3.5,0.25,pareto,closest
