source_file,pareto_rank,solenoid_length_m,length_tape_km,scan,row_i,col_j,ri,rf,th,v,b0,v_bore,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,pancake_length_m
thickness_grids_L9000mm.csv,12,9.0,200.33757673112828,6.404683261252833,13,95,1.4394343434343435,1.4500214263850628,0.0105870829507193,58.58360632492958,3.608811093546433,58.58360632492958,284.8920058999121,2049.988124814445,2049.988124814445,3416.646874690742,750.0,0.1389725152313743,200337.57673112827,1,89.03892299161257
thickness_grids_L9000mm.csv,13,9.0,201.25798912382072,6.113155481028033,13,96,1.4545757575757576,1.465162840526477,0.0105870829507193,59.82257082567951,3.5879638721796305,59.82257082567951,283.5249580256613,2052.1050278473267,2052.1050278473267,3420.1750464122115,750.0000000000002,0.138162985898963,201257.9891238207,1,89.44799516614255
thickness_grids_L9000mm.csv,14,9.0,202.17461103472905,5.838024457326261,13,97,1.4697171717171718,1.480304254667891,0.0105870829507193,61.074499810973435,3.567403540942559,61.074499810973435,282.1799767746266,2054.197493893582,2054.197493893582,3423.6624898226364,750.0000000000002,0.1373675012326955,202174.61103472905,1,89.8553826821018
thickness_grids_L9000mm.csv,15,9.0,203.08750428560072,5.578205422213564,13,98,1.484858585858586,1.4954456688093052,0.0105870829507193,62.339393280811386,3.5471227177227056,62.339393280811386,280.8564922345974,2056.266097282805,2056.266097282805,3427.110162138008,750.0,0.1365856746875938,203087.5042856007,1,90.26111301582252
thickness_grids_L9000mm.csv,16,9.0,203.9967289023156,5.332695686627365,13,99,1.5,1.5105870829507193,0.0105870829507193,63.61725123519331,3.527114284733972,63.61725123519331,279.5539544789744,2058.31139334133,2058.31139334133,3430.518988902217,750.0,0.1358171340756971,203996.7289023156,1,90.6652128454736
thickness_grids_L9000mm.csv,17,9.0,214.30574731422575,5.272706049363665,14,94,1.4242929292929294,1.436251913070095,0.0119589837771655,57.35760630872365,3.855976779468158,57.35760630872365,269.2329395558683,2025.2495458564003,2025.2495458564003,3375.4159097606675,750.0000000000001,0.1329381557481204,214305.7473142258,1,95.24699880632258
thickness_grids_L9000mm.csv,18,9.0,215.2884163540356,5.029854021750335,14,95,1.4394343434343435,1.4513933272115092,0.0119589837771655,58.58360632492958,3.833537519250715,58.58360632492958,267.9274191506841,2027.4684704976737,2027.4684704976737,3379.114117496123,750.0000000000002,0.1321487475881275,215288.4163540356,1,95.6837406017936
thickness_grids_L9000mm.csv,19,9.0,216.26696416992243,4.800812802684551,14,96,1.4545757575757576,1.4665347413529233,0.0119589837771655,59.82257082567951,3.8114105244319183,59.82257082567951,266.6431642264306,2029.661737615272,2029.661737615272,3382.7695626921204,750.0000000000002,0.1313732033692077,216266.96416992243,1,96.11865074218775
thickness_grids_L9000mm.csv,20,9.0,217.24145870835517,4.584658856817805,14,97,1.4697171717171718,1.4816761554943374,0.0119589837771655,61.074499810973435,3.7895876832425226,61.074499810973435,265.3796207530485,2031.8299531333944,2031.8299531333944,3386.383255222324,750.0,0.1306111371888146,217241.45870835517,1,96.55175942593564
thickness_grids_L9000mm.csv,21,9.0,218.21196592133484,4.380539266708804,14,98,1.484858585858586,1.4968175696357515,0.0119589837771655,62.339393280811386,3.768061176836939,62.339393280811386,264.1362543035719,2033.9737028459128,2033.9737028459128,3389.956171409855,749.9999999999999,0.1298621776348413,218211.96592133484,1,96.9830959650377
thickness_grids_L9000mm.csv,22,9.0,219.17854984305836,4.187665675416727,14,99,1.5,1.5119589837771656,0.0119589837771655,63.61725123519331,3.746823466085261,63.61725123519331,262.91254917441967,2036.0935532515,2036.0935532515,3393.4892554191665,749.9999999999999,0.1291259671023301,219178.54984305837,1,97.41268881913706
thickness_grids_L9000mm.csv,23,9.0,230.69510312087047,3.9956648806709234,15,95,1.4394343434343435,1.452866850321396,0.0134325068870523,58.58360632492958,4.060610181467953,58.58360632492958,252.67756079709253,2005.2569041113932,2005.2569041113932,3342.0948401856554,750.0000000000001,0.1260075755276173,230695.10312087048,1,102.5311569426091
thickness_grids_L9000mm.csv,24,9.0,231.73259241346025,3.813637803435123,15,96,1.4545757575757576,1.46800826446281,0.0134325068870523,59.82257082567951,4.037193458059302,59.82257082567951,251.4678078641383,2007.522793882324,2007.522793882324,3345.871323137207,750.0,0.1252627410410756,231732.59241346025,1,102.99226329487122
thickness_grids_L9000mm.csv,25,9.0,232.76575847862696,3.641856975644884,15,97,1.4697171717171718,1.4831496786042242,0.0134325068870523,61.074499810973435,4.014098221226459,61.074499810973435,250.27754592227265,2009.763076443917,2009.763076443917,3349.6051274065285,750.0,0.1245308707557284,232765.75847862696,1,103.4514482127231
thickness_grids_L9000mm.csv,26,9.0,233.79467150678636,3.4796439909861334,15,98,1.484858585858586,1.4982910927456383,0.0134325068870523,62.339393280811386,3.99131621504334,62.339393280811386,249.1062725270978,2011.9783475710192,2011.9783475710192,3353.297245951699,750.0000000000002,0.1238116070323688,233794.67150678637,1,103.90874289190504
thickness_grids_L9000mm.csv,27,9.0,234.8193996446834,3.3263718152155746,15,99,1.5,1.5134325068870524,0.0134325068870523,63.61725123519331,3.968839478647057,63.61725123519331,247.95350281885217,2014.1691835033691,2014.1691835033691,3356.948639172282,750.0000000000001,0.1231046055364481,234819.39964468335,1,104.36417761985928
thickness_grids_L9000mm.csv,28,9.0,246.53559567453533,3.2085029688790505,16,95,1.4394343434343435,1.454441995714723,0.0150076522803795,58.58360632492958,4.289562025779171,58.58360632492958,238.92126895922252,1983.3942007935163,1983.3942007935163,3305.6570013225273,750.0000000000001,0.1204608084785338,246535.59567453532,1,109.57137585534905
thickness_grids_L9000mm.csv,29,9.0,247.6327361573385,3.0622681862444696,16,96,1.4545757575757576,1.4695834098561371,0.0150076522803795,59.82257082567951,4.264848577088722,59.82257082567951,237.778795610191,1985.7289413031276,1985.7289413031276,3309.5482355052127,750.0,0.1197438334429217,247632.7361573385,1,110.058993847706
thickness_grids_L9000mm.csv,30,9.0,248.7252764926567,2.924268586006244,16,97,1.4697171717171718,1.4847248239975512,0.0150076522803795,61.074499810973435,4.240473971922537,61.074499810973435,236.65471015926403,1988.0375763203083,1988.0375763203083,3313.3959605338473,750.0,0.1190393546772351,248725.2764926567,1,110.54456733006964
thickness_grids_L9000mm.csv,31,9.0,249.81329121675503,2.793958675396506,16,98,1.484858585858586,1.4998662381389654,0.0150076522803795,62.339393280811386,4.216429518187474,62.339393280811386,235.548539092247,1990.3207101843311,1990.3207101843311,3317.201183640552,749.9999999999998,0.1183470271333467,249813.29121675505,1,111.02812942966892
thickness_grids_L9000mm.csv,32,9.0,250.89685269286335,2.6708342868505626,16,99,1.5,1.5150076522803797,0.0150076522803795,63.61725123519331,4.192706834121445,63.61725123519331,234.45982544888184,1992.5789275074633,1992.5789275074633,3320.9648791791055,750.0000000000002,0.1176665186067033,250896.85269286335,1,111.50971230793928
thickness_grids_L9000mm.csv,33,9.0,262.7916998552309,2.6025307272083675,17,95,1.4394343434343435,1.4561187633914907,0.0166844199571472,58.58360632492958,4.520012094685887,58.58360632492958,226.4679343982538,1961.9089752724688,1961.9089752724688,3269.8482921207815,750.0000000000001,0.1154324371072322,262791.69985523087,1,116.79631104676928
thickness_grids_L9000mm.csv,34,9.0,263.9491271523082,2.483856079176124,17,96,1.4545757575757576,1.4712601775329048,0.0166844199571472,59.82257082567951,4.493997379114511,59.82257082567951,225.38643921757307,1964.3088184034705,1964.3088184034705,3273.848030672451,750.0000000000003,0.1147408376452538,263949.12715230824,1,117.31072317880366
thickness_grids_L9000mm.csv,35,9.0,265.10167050559363,2.3718677345893986,17,97,1.4697171717171718,1.486401591674319,0.0166844199571472,61.074499810973435,4.468338849640549,61.074499810973435,224.3223312577053,1966.682112904537,1966.682112904537,3277.803521507562,750.0000000000001,0.1140613064947288,265101.67050559365,1,117.82296466915273
thickness_grids_L9000mm.csv,36,9.0,266.24940890577227,2.2661225907461597,17,98,1.484858585858586,1.501543005815733,0.0166844199571472,62.339393280811386,4.443027379998197,62.339393280811386,223.2751632706808,1969.029470337962,1969.029470337962,3281.7157838966036,750.0000000000001,0.1133935101704486,266249.40890577226,1,118.33307062478768
thickness_grids_L9000mm.csv,37,9.0,267.3924190373757,2.166211128811463,17,99,1.5,1.5166844199571472,0.0166844199571472,63.61725123519331,4.418054169396447,63.61725123519331,222.24450362591497,1971.3514823922744,1971.3514823922744,3285.5858039871237,749.9999999999998,0.1127371276055839,267392.4190373757,1,118.84107512772256
thickness_grids_L9000mm.csv,38,9.0,279.44819705906934,2.1309725168257168,18,95,1.4394343434343435,1.457897153351699,0.0184628099173553,58.58360632492958,4.751646253420072,58.58360632492958,215.15408675273105,1940.8206554663132,1940.8206554663132,3234.7010924438555,750.0000000000002,0.1108572737757867,279448.19705906935,1,124.19919869291972
thickness_grids_L9000mm.csv,39,9.0,280.66649002309146,2.0337501361485413,18,96,1.4545757575757576,1.473038567493113,0.0184628099173553,59.82257082567951,4.724327792822488,59.82257082567951,214.1280582136938,1943.281915096378,1943.281915096378,3238.803191827297,750.0000000000001,0.1101888802392698,280666.49002309144,1,124.74066223248508
thickness_grids_L9000mm.csv,40,9.0,281.87960839375626,1.942008150456056,18,97,1.4697171717171718,1.4881799816345271,0.0184628099173553,61.074499810973435,4.697382813675128,61.074499810973435,213.118505810999,1945.716235615869,1945.716235615869,3242.860392693115,750.0000000000002,0.1095321619411484,281879.60839375627,1,125.27982595278056
thickness_grids_L9000mm.csv,41,9.0,283.0876357270634,1.8553831937111889,18,98,1.484858585858586,1.5033213957759413,0.0184628099173553,62.339393280811386,4.6708017584663555,62.339393280811386,212.12500623191923,1948.1242345484648,1948.1242345484648,3246.8737242474413,749.9999999999999,0.1088867960626163,283087.6357270634,1,125.81672698980596
thickness_grids_L9000mm.csv,42,9.0,284.29065313592366,1.7735394537277993,18,99,1.5,1.5184628099173554,0.0184628099173553,63.61725123519331,4.644575410143331,63.61725123519331,211.14715092701584,1950.5065094391991,1950.5065094391991,3250.844182398666,750.0,0.1082524718093475,284290.65313592367,1,126.35140139374386
thickness_grids_L9000mm.csv,43,9.0,296.49218852193155,1.7602383269390478,19,95,1.4394343434343435,1.4597771655953475,0.0203428221610039,58.58360632492958,4.984202688460602,58.58360632492958,204.8397803567499,1920.141702541136,1920.141702541136,3200.2361709018937,750.0,0.1066795122910266,296492.18852193153,1,131.7743060097473
thickness_grids_L9000mm.csv,44,9.0,297.7718828371642,1.679885978481905,19,96,1.4545757575757576,1.4749185797367617,0.0203428221610039,59.82257082567951,4.955579760528117,59.82257082567951,203.86438316055188,1922.6607809910845,1922.6607809910845,3204.4346349851407,749.9999999999999,0.1060324240116162,297771.88283716416,1,132.34305903873965
thickness_grids_L9000mm.csv,45,9.0,299.0461050227335,1.6040654583617504,19,97,1.4697171717171718,1.4900599938781758,0.0203428221610039,61.074499810973435,4.927347533699631,61.074499810973435,202.90462963132663,1925.1525798509592,1925.1525798509592,3208.5876330849323,750.0,0.1053966484293078,299046.1050227335,1,132.90938001010375
thickness_grids_L9000mm.csv,46,9.0,300.3149433142551,1.5324761370863254,19,98,1.484858585858586,1.50520140801959,0.0203428221610039,62.339393280811386,4.899496022962568,62.339393280811386,201.9601183457511,1927.6177214250647,1927.6177214250647,3212.696202375108,750.0000000000001,0.1047718726078345,300314.9433142551,1,133.47330813966894
thickness_grids_L9000mm.csv,47,9.0,301.5784833631932,1.464840193443915,19,99,1.5,1.520342822161004,0.0203428221610039,63.61725123519331,4.872015598552207,63.61725123519331,201.03046186198603,1930.056807973172,1930.056807973172,3216.7613466219536,750.0000000000002,0.1041577952687807,301578.48336319317,1,134.0348814947525
thickness_grids_L9000mm.csv,48,9.0,315.25419736039413,1.3989872578166056,20,96,1.4545757575757576,1.4769002142638508,0.022324456688093,59.82257082567951,5.187534309867999,59.82257082567951,194.47616111050573,1902.4526844035215,1902.4526844035215,3170.7544740058697,750.0000000000002,0.1022239147942226,315254.1973603941,1,140.1129766046196
thickness_grids_L9000mm.csv,49,9.0,316.5900196933633,1.335808758311324,20,97,1.4697171717171718,1.4920416284052649,0.022324456688093,61.074499810973435,5.158015524221517,61.074499810973435,193.5620194080559,1904.9985174932167,1904.9985174932167,3174.9975291553615,750.0000000000001,0.1016074383421377,316590.0196933633,1,140.70667541927256
thickness_grids_L9000mm.csv,50,9.0,317.9201584286463,1.2761579007227988,20,98,1.484858585858586,1.507183042546679,0.022324456688093,62.339393280811386,5.128894150601582,62.339393280811386,192.66237678293945,1907.517403774007,1907.517403774007,3179.195672956679,749.9999999999999,0.1010016351105151,317920.1584286463,1,141.29784819050946
