target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,ri,rf,th,v,b0,v_bore,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,pancake_length_m,search_pool,pick_rule,note
2.5,0.25,in_window,3.0,402.9221713626894,2.469037945020551,-0.03096205497944915,0.03096205497944915,7,thickness_grids_L3000mm.csv,53,58,99,1.5,1.6729286807468626,0.1729286807468625,21.205750411731103,10.68133009291918,21.205750411731103,71.53318999433452,1530.148717725491,1530.148717725491,2550.2478628758186,749.9999999999999,0.0467491748780248,402922.1713626894,1,537.2295618169192,pareto,closest,
2.5,0.25,in_window,4.0,330.8439377135695,2.535331656448902,0.03533165644890213,0.03533165644890213,6,thickness_grids_L4000mm.csv,45,40,97,1.4697171717171718,1.553014998469544,0.0832978267523722,27.144222138210417,8.637647040805977,27.144222138210417,103.42989075370716,1648.5982607755554,1648.5982607755554,2747.663767959259,750.0000000000003,0.0627380807165539,330843.9377135695,1,330.8439377135695,pareto,closest,
2.5,0.25,in_window,5.0,299.43996262133595,2.4984291252595887,-0.0015708747404112877,0.0015708747404112877,5,thickness_grids_L5000mm.csv,41,31,97,1.4697171717171718,1.5205466789103153,0.0508295071931435,33.93027767276302,7.198285133818335,33.93027767276302,131.31099356741592,1744.9595498809658,1744.9595498809658,2908.2659164682764,750.0000000000002,0.0752515974232029,299439.96262133593,1,239.55197009706873,pareto,closest,
2.5,0.25,in_window,6.0,278.1311874341255,2.452723173611713,-0.047276826388286786,0.047276826388286786,5,thickness_grids_L6000mm.csv,38,25,99,1.5,1.5337569635751451,0.0337569635751454,42.411500823462205,6.004637779340963,42.411500823462205,158.6170751135653,1834.823447077187,1834.8234470771868,3058.039078461978,750.0,0.0864481404825282,278131.18743412546,1,185.4207916227503,pareto,closest,
2.5,0.25,in_window,7.0,274.9842297065417,2.477195471832998,-0.02280452816700196,0.02280452816700196,5,thickness_grids_L7000mm.csv,37,22,96,1.4545757575757576,1.48116835016835,0.0265925925925925,46.52866619775073,5.544700302377938,46.52866619775073,179.92491609013203,1872.229402197502,1872.229402197502,3120.382336995837,750.0,0.0961019605177377,274984.22970654175,1,157.1338455465953,pareto,closest,
2.5,0.25,in_window,8.0,266.6237308326219,2.452356411069461,-0.04764358893053888,0.04764358893053888,5,thickness_grids_L8000mm.csv,37,19,97,1.4697171717171718,1.4900599938781758,0.0203428221610039,54.28844427642083,4.888210747332694,54.28844427642083,203.88548775082165,1928.6185535271072,1928.6185535271072,3214.3642558785123,750.0000000000001,0.1057158178728243,266623.7308326219,1,133.31186541631095,pareto,closest,
2.5,0.25,in_window,9.0,263.9491271523082,2.483856079176124,-0.016143920823875835,0.016143920823875835,5,thickness_grids_L9000mm.csv,34,17,96,1.4545757575757576,1.4712601775329048,0.0166844199571472,59.82257082567951,4.493997379114511,59.82257082567951,225.38643921757307,1964.3088184034705,1964.3088184034705,3273.848030672451,750.0000000000003,0.1147408376452538,263949.12715230824,1,117.31072317880366,pareto,closest,
2.5,0.25,in_window,10.0,257.9616242447722,2.5061086635672547,0.006108663567254702,0.006108663567254702,4,thickness_grids_L10000mm.csv,34,15,97,1.4697171717171718,1.4831496786042242,0.0134325068870523,67.86055534552604,4.03680247989298,67.86055534552604,249.35852706666765,2007.560674001882,2007.560674001882,3345.9344566698037,750.0,0.1242097089746209,257961.62424477225,1,103.1846496979089,pareto,closest,
3.5,0.25,outside_window,2.0,539.1602635389121,4.3169677748551925,0.8169677748551925,0.8169677748551925,0,thickness_grids_L2000mm.csv,46,99,99,1.5,2.0,0.5,14.137166941154067,13.022827617827389,14.137166941154067,41.64078804863842,1415.3626461521728,1415.3626461521728,2358.937743586954,750.0000000000001,0.0294205786494674,539160.263538912,1,1078.3205270778242,pareto,closest,no design within +/-0.25 yr; nearest is 4.317 yr at 539.2 km
3.5,0.25,in_window,3.0,356.6137418654162,3.477040420038118,-0.022959579961881804,0.022959579961881804,5,thickness_grids_L3000mm.csv,42,53,98,1.484858585858586,1.6295870829507193,0.1447284970921334,20.779797760270466,9.972371535231757,20.779797760270466,79.02898204855256,1569.0724674650053,1569.0724674650053,2615.120779108342,750.0000000000001,0.0503666871270973,356613.74186541623,1,475.4849891538883,pareto,closest,
3.5,0.25,in_window,4.0,291.447054935184,3.457107678185136,-0.0428923218148638,0.0428923218148638,4,thickness_grids_L4000mm.csv,35,36,99,1.5,1.5678512396694215,0.0678512396694214,28.274333882308134,7.7261553661479185,28.274333882308134,114.19610597596277,1708.2141737938905,1708.2141737938907,2847.023622989818,750.0000000000001,0.0668511640565168,291447.05493518396,1,291.447054935184,pareto,closest,
3.5,0.25,in_window,5.0,265.47953716947137,3.4908705687093855,-0.009129431290614498,0.009129431290614498,4,thickness_grids_L5000mm.csv,31,28,98,1.484858585858586,1.5266945209672482,0.0418359351086623,34.632996267117434,6.508688551593971,34.632996267117434,144.52649324238357,1795.6638796908446,1795.6638796908446,2992.7731328180744,749.9999999999999,0.0804863843823969,265479.5371694714,1,212.3836297355771,pareto,closest,
3.5,0.25,in_window,6.0,251.26937606180715,3.469810732682871,-0.0301892673171289,0.0301892673171289,3,thickness_grids_L6000mm.csv,29,23,98,1.484858585858586,1.5137376798285889,0.028879093970003,41.55959552054093,5.599717386018073,41.55959552054093,172.4993998078307,1867.6670607657825,1867.6670607657825,3112.7784346096378,749.9999999999999,0.0923608942040785,251269.37606180715,1,167.5129173745381,pareto,closest,
3.5,0.25,in_window,7.0,246.825787208818,3.4922006760968745,-0.0077993239031255435,0.0077993239031255435,4,thickness_grids_L7000mm.csv,29,20,96,1.4545757575757576,1.4769002142638508,0.022324456688093,46.52866619775073,5.088541822740679,46.52866619775073,196.6490359215744,1911.019814858471,1911.019814858471,3185.033024764118,750.0000000000001,0.1029026671479793,246825.787208818,1,141.04330697646745,pareto,closest,
3.5,0.25,in_window,8.0,237.41977354560137,3.466631904258465,-0.03336809574153499,0.03336809574153499,4,thickness_grids_L8000mm.csv,28,17,98,1.484858585858586,1.501543005815733,0.0166844199571472,55.412794027387896,4.407070614543432,55.412794027387896,224.36668165835573,1972.37463541698,1972.37463541698,3287.2910590283,750.0000000000002,0.1137545969358515,237419.77354560135,1,118.70988677280069,pareto,closest,
3.5,0.25,in_window,9.0,233.79467150678636,3.4796439909861334,-0.020356009013866583,0.020356009013866583,3,thickness_grids_L9000mm.csv,26,15,98,1.484858585858586,1.4982910927456383,0.0134325068870523,62.339393280811386,3.99131621504334,62.339393280811386,249.1062725270978,2011.9783475710192,2011.9783475710192,3353.297245951699,750.0000000000002,0.1238116070323688,233794.67150678637,1,103.90874289190504,pareto,closest,
